id_badan_usaha,nama_badan_usaha,kode_badan_usaha,nib,npwp_badan_usaha,no_telp,email,alamat,kode_pos,rt,rw,jenis_badan_usaha,scraped_at
611426802283453705,ADARA JALA SAMUDERA,16939,0712210018919,053420468*******,0812200607_____,,Jl. Jendral Sudirman No. 236  Lingkungan Sudimampir Kel. Sungailiat Kec. Sungailiat Kab. bangka 35211 Provinsi Kepulauan Bangka Belitung,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:14.737932
611426883837499272,ADARA PARMA MINERAL ENERGY,20053,null_20053,99434327*******,,,"Menara Cakrawala 12 Th Floor Unit 5A Jl. MH Thamrin , Desa/Kelurahan
Kebon Sirih, Kec. Menteng, Kota Adm. Jakarta Pusat, Provinsi DKI
Jakarta,
Kode Pos: 10340",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:17.341905
611426464558095895,ADARO INDONESIA,53,8120102992689,001060136*******,02125533000,perizinan.govrel@adaro.com,"MENARA KARYA LT.22-23,JL. HR. RASUNA SAID BLK X-5, KAV.1-2,KUNINGAN TIMUR",12950,001,002,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:19.879738
611426863713227063,ADCOAL ENERGINDO,19344,null_19344,02648335*******,,,"EPIWALK OFFICE SUITES LANTAI 5 UNIT B528, KOMPLEK RASUNA
EPICENTRUM, JALAN HR RASUNA SAID, KUNINGAN, , Kota Adm.
Jakarta Selatan, Provinsi DKI Jakarta",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:22.401088
611426621269874342,ADE PUTRA TANRAJENG,8259,8120000912235,002630200*******,02129912099____,,"Desa Gunung Sari,Gunung Sari, KUTAI KARTANEGARA, KALIMANTAN TIMUR",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:24.876903
611426621269874343,ADE RESKY SEJAHTERA,8261,2701220038869,70068498*******,,,JA;AN DIPONEGORO NO 7 ENREKANG,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:27.517296
611426849058329353,ADE SINAR SURYA,18759,null_18759,61289087*******,,,"JL. H. AGUS SALIM RUKO THD B-21 SEMARANG, Desa/Kelurahan
Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Provinsi Jawa
Tengah",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:30.109551
611426888887441729,ADHIDAYA WIRA GAUTAMA,20181,null_20181,50510667*******,,ptadhidayawiragautama@gmail.com,"PERKANTORAN GRAND ANCOL, JL. RE MARTADINATA NO. 5, PADEMANGAN, ANCOL BARAT, RT 006, RW 004",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:32.600941
611426912014833009,ADHIGAMA MANDIRI NIAGA,21399,null_21399,,085283215705,adhigama.mandiriniaga@gmail.com,"Jl. Riau No. 23, Desa/Kelurahan Gondangdia, Kec. Menteng, Kota Adm.
Jakarta Pusat, Provinsi DKI Jakarta,
Kode Pos: 10350",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:35.127791
611426464566480900,ADHI KARTIKO PRATAMA,63,8120214043608,002832947*******,02172781783,perizinan@akp.co.id,"Jalan Malaka, Kawasan Citraland Kendari, Ruko Spazia Blok H01/003",93231,035,011,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:37.549908
611426841282090570,ADHI MINERAL SEJAHTERA,18609,null_18609,63464083*******,,,"TCC BATAVIA TOWER ONE, Lantai 8, SUITE 08-09, Jl. KH MAS
MANSYUR KAV 126, Jakarta Pusat 10220, Desa/Kelurahan Karet
Tengsin, Kec. Tanah Abang, Kota Adm. Jakarta Pusat, Provinsi DKI
Jakarta,",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:40.038254
611426828946641094,ADHITAMA BARA ENERGY,18091,null_18091,60206744*******,08115423233,pt.adhitamabaraenergy@gmail.com,"RUKO GRAND TRITI RESIDENCE, Desa/Kelurahan Loa Ipuh, Kec. Tenggarong, Kab. Kutai Kartanegara, Provinsi Kalimantan Timur, Kode Pos: 75513",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:42.495637
611426878091304915,ADHITAMA MULTI ENERGI,19734,null_19734,83523229*******,0812269222991,adhitamamultienergi@gmail.com,"Jl. Sinar Mas Land Boulevard Palladium Business District Blok F No.19 Grand City Balikpapan, Desa/Kelurahan Graha Indah, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur, Kode Pos: 76129",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:44.902602
611426928569750819,ADHITAMA NUSA KENCANA,21972,1112240094157,028531276*******,082141111218,adhitamanusakencana@gmail.com,Jalan Wonorejo II Nomor 42-F,60263,002,004,Perusahaan Komanditer (CV),2026-06-10T05:03:47.560351
611426464574870729,ADHITA NIKEL INDONESIA,72,2709210015581,002541166*******,02152963470,ptadhitanikelindonesia2024@gmail.com,"Gedung Granadi, Lantai 9, Jalan HR. Rasuna Said Blok X 1 no.Kav. 8-9,",12950,6,4,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:49.996455
611426923347843170,ADHYA MAHAKARSA ENERGI,21655,null_21655,,02154200433,adhyamahakarsa@gmail.com,"JALAN ARAFAH VI BLOK G-5 NOMOR 15 VILA ILHAMI, Kelurahan Panunggangan Barat, Kec. Cibodas, Kota Tangerang, Provinsi Banten, Kode Pos: 15139",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:52.550026
611426928662024293,ADHYA VENTURA BAKTI,22112,null_22112,,,,"Jalan. Joglo Raya No. 35, , Desa/Kelurahan Joglo, Kec. Kembangan, Kota
Adm. Jakarta Barat, Provinsi DKI Jakarta,
Kode Pos: 11640",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:55.006212
611426464579067626,ADI COAL RESOURCES,78,9120507802667,002830762*******,,,RUKAN BANDENGAN INDAH BLOK C02-03 JL. BANDENGAN UTARA 80 JAKARTA UTARA,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:03:57.668839
611426639208911758,ADIDAYA AKBAR BERKARYA,9505,9120010020379,081292048*******,081235077239,adidayaakbarberkarya@gmail.com,"JL H. HASAN BASRI SIMP. GUSTI NO 15 C, RT.034/RW 03 ALALAK UTARA BANJARMASIN UTARA, KALIMANTAN SELATAN",70123,034,003,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:00.207005
611426878129050349,ADIDAYA MINERAL SEJAHTERA,19794,null_19794,61291814*******,082126322231,ams.legal@outlook.com,"Jalan Satu No. 36, Desa/Kelurahan Gunungsamarinda, Kec. Balikpapan
Utara, Kota Balikpapan, Provinsi Kalimantan Timur,
Kode Pos: 76133",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:02.716443
611426464583261967,ADIDAYA TANGGUH,85,9120107350916,001542810*******,0215746609_____,,"Wisma 46 Kota BNI Lt. 32, Jl. Jend. Sudirman Kav. 1, Kel. Karet Tengsin, Kec. Tanah Abang, Jakarta Pusat",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:05.260845
611426883745224095,ADIGUNA SEJAHTERA MANDIRI,19915,null_19915,02895828*******,0721259680,adigunasejahteramandiri@gmail.com,"JL.	KH	AHMAD	DAHLAN NO. 43, Kelurahan Pahoman,	Kec. Enggal, Kota Bandar Lampung, Provinsi Lampung, Kode	Pos: 35213",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:07.759731
611426704191264257,ADIKARSA DAYA AGRO,13110,9120402292686,082897585*******,,,JALAN S.PARMAN GANG SUKAJADI DALAM NOMOR 25,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:10.467448
611426464587453872,ADIMAS PUSPITA SERASI,91,9120206802977,001562340*******,0217444676,adimaspuspitas@gmail.com,JL. IR.H. DJUANDA NO 35 A CIPUTAT- 15412,15412,001,001,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:13.139622
611426649275240661,ADIMITRA BARATAMA NIAGA,10022,8120015001689,083168780*******,021 5020 0608,,"Prosperity Tower Lantai 37, District 8, SCBD Lot. 28, Jalan Jend. Sudirman Kav. 52-53, Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta Selatan 12190",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:15.760458
611426464591648495,ADIMITRA BARATAMA NUSANTARA,93,8120105840381,002190483*******,02150200608,info@adimitra-baratama.co.id,"Prosperity Tower, lantai 37 District 8, SCDB Lot 28 Jl. Jend. Sudirman Kav. 52-53 Jakarta 12190, Indonesia
",12190,00,00,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:18.177538
611426654400683532,ADINATA BARANIAGA SUKSES,10321,null_10321,,,,"Gedung Menara 165 Lantai 4, Jl. Letjen TB Simatupang Kav. 1, Desa/Kelurahan Cilandak Timur, Kec. Pasar Minggu,",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:20.654512
611426900073651668,ADINDA RAHMA PUTRI,20735,0703230041625,40009249*******,6281257700202__,,"Jalan Pelita RT.002 Benao Hilir, Lahei Barat. Kab. Barito Utara Kalimantan Tengah",,,,Perusahaan Komanditer (CV),2026-06-10T05:04:23.106351
611426900010736610,ADIN JAYA ABADI,20647,0206220053048,65151172*******,082306776320___,,"Sinar Ogan Blok 1 Nomor 4 , Desa/Kelurahan Ogan Jaya, Kec. Sungkai
Utara, Kab. Lampung Utara, Provinsi Lampung",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:25.535594
611426639234077509,ADI PUTRO,9559,9120006420247,091066202*******,08125335887,cv.adiputro88@gmail.com,Jl. Ir. Sutami GG Pusaka Blok C. No.60,75243,000,000,Perusahaan Komanditer (CV),2026-06-10T05:04:28.087155
611426883887830557,ADI RACHMAT MANDIRI,20144,9120402872095,080499768*******,0542424979,armossbpp@gmail.com,Jalan Letjen Suprapto Nomor 76 ,76133,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:30.670700
611426649380100321,ADITYA BIRLA GLOBAL TRADING INDO,10184,8120008902209,002419209*******,0215722450,adityabirlaindo@gmail.com,"Menara Batavia lantai 16, Jalan Kyai Haji Mas -Mansyur Kaveling 126, Desa/Kelurahan Karet Tengsin, Kec. Tanah Abang, Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10220",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:33.206668
611426464595842395,ADITYA BUANA INTER,99,9120319152161,001656459*******,0215807047_____,,"Pertokoan Tomang Tol Raya A1/14,Lantai IV Ruang 401,RT 009 RW 004 Kelurahan Kedoya Selatan, Kecamatan Kebon Jeruk, Jakarta Barat",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:35.605497
611426464595842396,ADITYA BUMI PERTAMBANGAN,100,null_100,02747606*******,,,"JL. PULAU MATAHARI BLOK A-4/12A RT.017 RW.009 KEL. KEMBANGAN UTARA, KEC. KEMBANG JAKARTA BARAT",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:38.068140
611426464595842397,ADITYA KIRANA MANDIRI,101,0206012002265,001893827*******,,,"JL. TELUK BETUNG NO. 24 JAKARTA PUSAT, TELP. 021-3142124, FAX. 021-337996",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:40.535371
611426934299170789,ADIWIJAYA PRATAMA,22365,1258000102398,001737958*******,081122855333,adiwijayapratama1@gmail.com,Jl. Tawes Nomor 12 ,99511,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:42.998877
611426821367533851,ADIZAM MINERAL TRADING,17808,null_17808,,,,"Jalan Malik 5 Nomor 7A, Desa/Kelurahan Korumba, Kec. Mandonga, Kota
Kendari, Provinsi Sulawesi Tenggara,",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:45.386803
611426676303335952,ADNIS GLOBAL MANDIRI,11558,null_11558,,,,,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:47.831405
611426906428018741,ADS GLOBAL,21094,0108230083972,40690622*******,081242272879___,,"Jln.Jend.Sudirman, Kel.Batu Lappa, Kec.Watang Pulu, Kab.Sidenreng Rappang",,,,Perusahaan Komanditer (CV),2026-06-10T05:04:50.281040
611426870700939285,ADVANCE ENERGY MAHAJANA,19532,2102230020578,062818887*******,081385019919,legal.aem2023@gmail.com,"MENARA 165 LANTAI 4, JALAN TB SIMATUPANG KAV 1 ,
Desa/Kelurahan Cilandak Timur, Kec. Pasar Minggu, Kota Adm. Jakarta
Selatan, Provinsi DKI Jakarta,
Kode Pos: 12560",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:52.719296
611426464600038551,AEGA PRIMA,106,0220200602525,002762429*******,085217073073,info@aegaprima.co.id,"Kompleks Industri dan Pelabuhan Air Kantung, Kelurahan Jelitik, Kecamatan Sungailiat, Kabupaten Bangka, Provinsi Kepulauan Bangka Belitung",33211,000,000,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:55.325531
648238051943912861,AEPRRA ENERGI PERSADA,648238051943912861,1602240047734,003947416*******,,,-,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:04:58.060836
611426883845886425,AFA GLOBAL CENDANA,20066,null_20066,50986841*******,081221964947,afaglobalcendana@gmail.com,"GEDUNG JAYA LANTAI 9 BLOK A02 JL. M.H. THAMRIN NO. 12, Kelurahan Kebon Sirih, Kec. Menteng, Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10340",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:00.544205
611426841143678051,AFFAN PUTRA BARA,18454,null_18454,60441603*******,081254149104,herisiswanto198506@gmail.com,"PERUM Daun Village, Jl. Mt. Haryono BLOK C, Desa/Kelurahan Gunungbahagia, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur: Kode Pos: 76114",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:02.933728
611426665104546855,AFIT LINTAS JAYA,10852,9120204810669,80943598*******,,,jl. toddopuli VII no34,,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:05.359161
611426883871055803,AGAPE MULIA LESTARI,20112,null_20112,04987966*******,082211980198,agapemulialestari@gmail.com,"Jalan Letnan Soeprapto, Cempaka Putih, Ruko Mega Grosir Cempaka Mas Blok A 30, Lantai 3, Kelurahan Sumur Batu, Kec. Kemayoran, Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, Kode Pos: 10464",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:07.871796
611426748751549243,AGARO TRI NIAGA,14846,null_14846,42313496*******,02127814646,agarotrilogistindo@gmail.com,"PERUMAHAN GRIYA ARINI PERMAI BLOK A NO 2, JL. LALOMBAKU, KEL. WATULONDO, KEC. PUUWATU, KOTA KENDARI, SULAWESI TENGGARA",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:10.243265
611426841110125236,AGENSI SEJAHTERA,18423,null_18423,61638265*******,,,"Kp. Neglasari, Desa/Kelurahan Pamubulan, Kec. Bayah, Kab. Lebak,
Provinsi Banten,",,,,Perusahaan Komanditer (CV),2026-06-10T05:05:12.641614
611426883850082124,AGI BUMI INDONESIA,20076,null_20076,63155613*******,081214306680,ptabi.general@gmail.com,"Green Office Park Ground, 2nd Floor, Jalan Grand Boulevard, BSD Green
Office Park, Desa/Kelurahan Sampora, Kec. Cisauk, Kab. Tangerang,
Provinsi Banten,
Kode Pos: 15345",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:15.032889
611426464608426942,AGINCOURT RESOURCES,119,9120301181453,001072081*******,02180672000____,,"Pondok Indah Office Tower II Lantai 12 Suite 1201 Jalan Sultan Iskandar Muda Kav V-TA, Desa/Kelurahan Pondok Pinang, Kec. Kebayoran Lama",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:17.437756
611426883766195851,AGISNA GEMILANG NIAGA,19940,0808230073403,39884191*******,08112333773____,,Jl. Sekelimus VII No.37,,,,Perusahaan Komanditer (CV),2026-06-10T05:05:19.977197
611426928670416323,AGNES CINTYA,22130,null_22130,02202262*******,,,"JL.MERANTI NOMOR.175 , Desa/Kelurahan Labuh Baru Timur, Kec.
Payung Sekaki, Kota Pekanbaru, Provinsi Riau,
Kode Pos: 28292",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:22.586078
611426464612618446,AGRABUDI BARAMULIA MANDIRI,125,1269000530453,002406504*******,,,"Rukan Mitra Bahari II Blok D-16, Jl. Pakin Raya No.1, RT 002, RW 004, Kelurahan Penjaringan, Kecamatan Penjaringan, Jakarta Utara",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:25.013813
611426464612618447,AGRABUDI GASUTAMA PRIMA,126,9120001852784,003117521*******,021 29670599,,"APL TOWER LANTAI 35 SUITE 2, JL. LETJEN. S. PARMAN KAV.28, KEL. TANJUNG DUREN, KEC. GROGOL PETAMBURAN, JAKARTA BARAT",,,,Perusahaan Perseroan Terbatas (PT),2026-06-10T05:05:27.637184
