tahun,provinsi,jenis,jumlah,baris_md,sumber_kutipan,sumber_file
2019,Sulawesi Utara,Rumah Sakit,59,2236.0,"[2236] Rumah sakit di Indonesia dari tahun 2015-2019 mengalami peningkatan sebesar 13,52%. Pada tahun 2015 jumlah rumah sakit sebanyak 2.488 meningkat menjadi 2.877 pada tahun 2019. Jumlah rumah sakit di Indonesia sampai dengan tahun 2019 terdiri dari 2.344 Rumah Sakit Umum (RSU) dan 533 Rumah Sakit Khusus (RSK). Perkembangan jumlah rumah sakit umum dan rumah sakit khusus dalam lima tahun terakhir dapat dilihat pada Gambar 2.17.
[2238] ###### GAMBAR 2.17 PERKEMBANGAN JUMLAH RUMAH SAKIT UMUM DAN RUMAH SAKIT KHUSUS DI INDONESIA TAHUN 2015 – 2019

[...]

[2236] Rumah sakit di Indonesia dari tahun 2015-2019 mengalami peningkatan sebesar 13,52%. Pada tahun 2015 jumlah rumah sakit sebanyak 2.488 meningkat menjadi 2.877 pada tahun 2019. Jumlah rumah sakit di Indonesia sampai dengan tahun 2019 terdiri dari 2.344 Rumah Sakit Umum (RSU) dan 533 Rumah Sakit Khusus (RSK). Perkembangan jumlah rumah sakit umum dan rumah sakit khusus dalam lima tahun terakhir dapat dilihat pada Gambar 2.17.
[2238] ###### GAMBAR 2.17 PERKEMBANGAN JUMLAH RUMAH SAKIT UMUM DAN RUMAH SAKIT KHUSUS DI INDONESIA TAHUN 2015 – 2019
",Proxy Nasional (Markdown dengan Fallback Alignment)
2019,Sulawesi Barat,Puskesmas,160,1231.0,"[1231] - LAMPIRAN 4.a JUMLAH PUSKESMAS PER PROVINSI TAHUN 2015 - 2019

[...]

[1231] - LAMPIRAN 4.a JUMLAH PUSKESMAS PER PROVINSI TAHUN 2015 - 2019
",Proxy Nasional (Markdown dengan Fallback Alignment)
2019,Sulawesi Barat,Rumah Sakit,6,2236.0,"[2236] Rumah sakit di Indonesia dari tahun 2015-2019 mengalami peningkatan sebesar 13,52%. Pada tahun 2015 jumlah rumah sakit sebanyak 2.488 meningkat menjadi 2.877 pada tahun 2019. Jumlah rumah sakit di Indonesia sampai dengan tahun 2019 terdiri dari 2.344 Rumah Sakit Umum (RSU) dan 533 Rumah Sakit Khusus (RSK). Perkembangan jumlah rumah sakit umum dan rumah sakit khusus dalam lima tahun terakhir dapat dilihat pada Gambar 2.17.
[2238] ###### GAMBAR 2.17 PERKEMBANGAN JUMLAH RUMAH SAKIT UMUM DAN RUMAH SAKIT KHUSUS DI INDONESIA TAHUN 2015 – 2019

[...]

[2236] Rumah sakit di Indonesia dari tahun 2015-2019 mengalami peningkatan sebesar 13,52%. Pada tahun 2015 jumlah rumah sakit sebanyak 2.488 meningkat menjadi 2.877 pada tahun 2019. Jumlah rumah sakit di Indonesia sampai dengan tahun 2019 terdiri dari 2.344 Rumah Sakit Umum (RSU) dan 533 Rumah Sakit Khusus (RSK). Perkembangan jumlah rumah sakit umum dan rumah sakit khusus dalam lima tahun terakhir dapat dilihat pada Gambar 2.17.
[2238] ###### GAMBAR 2.17 PERKEMBANGAN JUMLAH RUMAH SAKIT UMUM DAN RUMAH SAKIT KHUSUS DI INDONESIA TAHUN 2015 – 2019
",Proxy Nasional (Markdown dengan Fallback Alignment)
2020,Gorontalo,Puskesmas,93,659.0,"Puskesmas di Provinsi Gorontalo tahun 2020 berjumlah 93 unit, jumlah ini masih sama dengan tahun 2019.",Profil Provinsi Lokal
2020,Gorontalo,Rumah Sakit,14,980.0,Di Provinsi Gorontalo tahun 2020 terdapat 14 unit Rumah Sakit yang terdiri dari 10 (sepuluh) Rumah Sakit Umum Daerah (RSUD) dan 4 (empat) Rumah Sakit Swasta yang terdiri dari 3 (tiga) RS Umum dan 1 (satu) RS Ibu dan Anak.,Profil Provinsi Lokal
2020,Sulawesi Tengah,Puskesmas,206,1174.0,"Tahun 2020 di Provinsi Sulawesi Tengah memiliki total Puskesmas Operasional sebanyak 213 Puskesmas namun yang sudah teregistrasi berjumlah 206 Puskesmas, dan yang belum teregistrasi berjumlah 7 puskesmas dengan rincian sebagai berikut : Puskesmas Non Rawat Inap",Profil Provinsi Lokal
2020,Sulawesi Tengah,Rumah Sakit,39,1317.0,"Saat ini di Provinsi Sulawesi Tengah terdapat 39 rumah sakit yang teregistrasi, dengan klasifikasi kelas B sebanyak 4 RS, kelas C sebanyak 24 RS, kelas D sebanyak 5 RS dan kelas D Pratama sebanyak 6 RS.",Profil Provinsi Lokal
2020,Sulawesi Tenggara,Puskesmas,263,9363.0,Bukti Forensik: [9363] 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 Aceh Sumatera Utara Sumatera Barat Riau Jambi Sumatera Selatan Bengkulu Lampung Kepulauan Bangka Bel... [Teks dipotong karena format PDF rusak],Proxy Nasional (Markdown dengan Fallback Alignment)
2020,Sulawesi Tenggara,Rumah Sakit,198,9404.0,Bukti Forensik: [9404] 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 Aceh Sumatera Utara Sumatera Barat Riau Jambi Sumatera Selatan Bengkulu Lampung Kepulauan Bangka Bel... [Teks dipotong karena format PDF rusak],Proxy Nasional (Markdown dengan Fallback Alignment)
2020,Sulawesi Selatan,Puskesmas,460,808.0,Jumlah puskesmas meningkat menjadi 460 unit terdiri dari Puskesmas Perawatan sebanyak 289 unit dan PuskesmasNon Perawatan sebanyak 171unit dengan 1.321Puskesmas Pembantu.,Profil Provinsi Lokal
2020,Sulawesi Selatan,Rumah Sakit,440,9404.0,Bukti Forensik: [9404] 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 Aceh Sumatera Utara Sumatera Barat Riau Jambi Sumatera Selatan Bengkulu Lampung Kepulauan Bangka Bel... [Teks dipotong karena format PDF rusak],Proxy Nasional (Markdown dengan Fallback Alignment)
2020,Sulawesi Utara,Puskesmas,57,9363.0,Bukti Forensik: [9363] 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 Aceh Sumatera Utara Sumatera Barat Riau Jambi Sumatera Selatan Bengkulu Lampung Kepulauan Bangka Bel... [Teks dipotong karena format PDF rusak],Proxy Nasional (Markdown dengan Fallback Alignment)
2020,Sulawesi Utara,Rumah Sakit,240,9404.0,Bukti Forensik: [9404] 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 Aceh Sumatera Utara Sumatera Barat Riau Jambi Sumatera Selatan Bengkulu Lampung Kepulauan Bangka Bel... [Teks dipotong karena format PDF rusak],Proxy Nasional (Markdown dengan Fallback Alignment)
2020,Sulawesi Barat,Puskesmas,77,9363.0,Bukti Forensik: [9363] 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 Aceh Sumatera Utara Sumatera Barat Riau Jambi Sumatera Selatan Bengkulu Lampung Kepulauan Bangka Bel... [Teks dipotong karena format PDF rusak],Proxy Nasional (Markdown dengan Fallback Alignment)
2020,Sulawesi Barat,Rumah Sakit,181,9404.0,Bukti Forensik: [9404] 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 Aceh Sumatera Utara Sumatera Barat Riau Jambi Sumatera Selatan Bengkulu Lampung Kepulauan Bangka Bel... [Teks dipotong karena format PDF rusak],Proxy Nasional (Markdown dengan Fallback Alignment)
2021,Gorontalo,Puskesmas,93,436.0,"Puskesmas di Provinsi Gorontalo tahun 2021 berjumlah 93 unit, jumlah ini masih sama dengan tahun 2020.",Profil Provinsi Lokal
2021,Gorontalo,Rumah Sakit,14,767.0,Di Provinsi Gorontalo tahun 2021 terdapat 14 unit Rumah Sakit yang terdiri dari 10 (sepuluh) Rumah Sakit Umum Daerah (RSUD) dan 4 (empat) Rumah Sakit Swasta yang terdiri dari 3 (tiga) RS Umum dan 1 (satu) RS Ibu dan Anak.,Profil Provinsi Lokal
