Provinsi,Kawasan/Perusahaan,Jenis Limbah B3,Estimasi Timbulan (Ton/Tahun),Sumber Referensi,Catatan
Sulawesi (Unknown),2024-2025PTFIENVIRONMENTALAUDITEXEC,Tailing,,Unknown (2024-2025PTFIEnvironmentalAuditExec.pdf),"[Nilai asli: 500.12 Ha (Area)] Teks: anted with mangrove seedlings, 97.0% of the 516.35 ha target included in the 2023 Pertek, while the audit team was informed anecdotally that the 2024 planting target of 500.12 ha was met although report is still being finalized. PTFI also introduced tailings retention infrastructure such as geotubes"
Sulawesi (Unknown),GTR-TZH-COMPENDIUM,Tailing,1,Unknown (GTR-TZH-compendium.pdf),"Teks: mme International Resource Panel Global Material Flows Database Figure 6. The global extraction of metal ores (includes copper, iron, aluminium and other non-ferrous metals) from 1970 to 2017. End result: 20,1 million tonnes of copper At most mines, tailings are pumped Tailings The price of copper i"
Sulawesi (Unknown),GTR-TZH-COMPENDIUM,Tailings Dam,1,Unknown (GTR-TZH-compendium.pdf),"Teks: extraction of metal ores (includes copper, iron, aluminium and other non-ferrous metals) from 1970 to 2017. End result: 20,1 million tonnes of copper At most mines, tailings are pumped Tailings The price of copper is variable. In 2016 the into large tailings dams, which remain after milling average"
Sulawesi Selatan,GORONTALO MINERALS,Slag,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 1.000 Ha (Area)] Teks: Granit seluas 1.000 Ha terdapat di Kecamatan Kwandang dan Sumalata, Slag pasir"
Sulawesi Selatan,GORONTALO MINERALS,Tailing,1,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[kg] Teks: -rata untuk amalgamasi sebanyak 1 Kg air raksa untuk 120 Kg batuan. Banyaknya air raksa yang terbuang setiap bulannya adalah 30 Kg/bulan atau 360 Kg/tahun (SLHD Kab. Gorontalo Utara, 2010). Kegiatan pertambangan emas telah menghasilkan limbah padat (tailing), pembuangannya dilakukan dengan membuat k"
Sulawesi Selatan,GORONTALO MINERALS,Tailing,120,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[kg] Teks: -rata untuk amalgamasi sebanyak 1 Kg air raksa untuk 120 Kg batuan. Banyaknya air raksa yang terbuang setiap bulannya adalah 30 Kg/bulan atau 360 Kg/tahun (SLHD Kab. Gorontalo Utara, 2010). Kegiatan pertambangan emas telah menghasilkan limbah padat (tailing), pembuangannya dilakukan dengan membuat k"
Sulawesi Selatan,GORONTALO MINERALS,Tailing,30,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[kg] Teks: -rata untuk amalgamasi sebanyak 1 Kg air raksa untuk 120 Kg batuan. Banyaknya air raksa yang terbuang setiap bulannya adalah 30 Kg/bulan atau 360 Kg/tahun (SLHD Kab. Gorontalo Utara, 2010). Kegiatan pertambangan emas telah menghasilkan limbah padat (tailing), pembuangannya dilakukan dengan membuat k"
Sulawesi Selatan,GORONTALO MINERALS,Tailing,360,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[kg] Teks: -rata untuk amalgamasi sebanyak 1 Kg air raksa untuk 120 Kg batuan. Banyaknya air raksa yang terbuang setiap bulannya adalah 30 Kg/bulan atau 360 Kg/tahun (SLHD Kab. Gorontalo Utara, 2010). Kegiatan pertambangan emas telah menghasilkan limbah padat (tailing), pembuangannya dilakukan dengan membuat k"
Sulawesi Selatan,GORONTALO MINERALS,Tailing,15,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[kg] Teks: -rata untuk amalgamasi sebanyak 1 Kg air raksa untuk 120 Kg batuan. Banyaknya air raksa yang terbuang setiap bulannya adalah 30 Kg/bulan atau 360 Kg/tahun (SLHD Kab. Gorontalo Utara, 2010). Kegiatan pertambangan emas telah menghasilkan limbah padat (tailing), pembuangannya dilakukan dengan membuat k"
Sulawesi Selatan,GORONTALO MINERALS,Slag,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 14.800 Ha (Area)] Teks: pertambangan mineral logam (emas). Potensi pertambangan dan energi terdiri dari potensi emas seluas 14.800 Ha yang tersebar di Kecamatan Sumalata 8,500 Ha, Kec. Atinggola 5.000 Ha, Granit seluas 1.000 Ha terdapat di Kecamatan Kwandang dan Sumalata, Slag pasir besi 300 Ha berada di Kecamatan Sumalata"
Sulawesi Selatan,GORONTALO MINERALS,Slag,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 8,500 Ha (Area)] Teks: pertambangan mineral logam (emas). Potensi pertambangan dan energi terdiri dari potensi emas seluas 14.800 Ha yang tersebar di Kecamatan Sumalata 8,500 Ha, Kec. Atinggola 5.000 Ha, Granit seluas 1.000 Ha terdapat di Kecamatan Kwandang dan Sumalata, Slag pasir besi 300 Ha berada di Kecamatan Sumalata"
Sulawesi Selatan,GORONTALO MINERALS,Slag,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 5.000 Ha (Area)] Teks: pertambangan mineral logam (emas). Potensi pertambangan dan energi terdiri dari potensi emas seluas 14.800 Ha yang tersebar di Kecamatan Sumalata 8,500 Ha, Kec. Atinggola 5.000 Ha, Granit seluas 1.000 Ha terdapat di Kecamatan Kwandang dan Sumalata, Slag pasir besi 300 Ha berada di Kecamatan Sumalata"
Sulawesi Selatan,GORONTALO MINERALS,Slag,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 300 Ha (Area)] Teks: pertambangan mineral logam (emas). Potensi pertambangan dan energi terdiri dari potensi emas seluas 14.800 Ha yang tersebar di Kecamatan Sumalata 8,500 Ha, Kec. Atinggola 5.000 Ha, Granit seluas 1.000 Ha terdapat di Kecamatan Kwandang dan Sumalata, Slag pasir besi 300 Ha berada di Kecamatan Sumalata"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,300,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"Teks: dalam proses amalgamasi, karena lebih efektif, mudah, murah dan tersedia di pasaran. Efektifitas penggunaan merkuri ini juga disebabkan kemampuan merkuri untuk mengikat emas diperkirakan 50-60%. Dalam proses pengolahan emas secara tradisional, logam merkuri dari proses amalgamasi sebagian ikut dibua"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,700,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"Teks: dalam proses amalgamasi, karena lebih efektif, mudah, murah dan tersedia di pasaran. Efektifitas penggunaan merkuri ini juga disebabkan kemampuan merkuri untuk mengikat emas diperkirakan 50-60%. Dalam proses pengolahan emas secara tradisional, logam merkuri dari proses amalgamasi sebagian ikut dibua"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,150,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"Teks: proses pengolahan emas secara tradisional, logam merkuri dari proses amalgamasi sebagian ikut dibuang bersama partikel lainnya ke badan air, sungai dan selanjutnya ke perairan pesisir laut. Secara global diperkirakan setiap tahun lebih dari 300 ton merkuri menguap ke udara, 700 ton mencemari sungai,"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,50,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"Teks: 50 ton diantaranya terjadi di Indonesia (Speigel, et al., 2010). Kawasan pesisir dan pantai memiliki konsentrasi merkuri jauh lebih tinggi dibandingkan dengan laut terbuka. Pesisir pantai dan muara yang belum tercemar mengandung kurang lebih 20 ng/L merkuri. Bertambahnya kedalaman akan makin meningk"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.22 ppm (Konsentrasi)] Teks: i memakan ikan, serangga, udang di habitat pantai, muara dan tambak. Biasanya terbang mencari makan sendirian, duduk dia di atas batu atau tanggul tepi air menunggu mangsa. 19 Berdasarkan hasil analisis laboratorium pada Butorides striatus diperoleh merkuri pada organ ginjal 0.22 ppm, hati 0.17 ppm"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.17 ppm (Konsentrasi)] Teks: i memakan ikan, serangga, udang di habitat pantai, muara dan tambak. Biasanya terbang mencari makan sendirian, duduk dia di atas batu atau tanggul tepi air menunggu mangsa. 19 Berdasarkan hasil analisis laboratorium pada Butorides striatus diperoleh merkuri pada organ ginjal 0.22 ppm, hati 0.17 ppm"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.12 ppm (Konsentrasi)] Teks: i memakan ikan, serangga, udang di habitat pantai, muara dan tambak. Biasanya terbang mencari makan sendirian, duduk dia di atas batu atau tanggul tepi air menunggu mangsa. 19 Berdasarkan hasil analisis laboratorium pada Butorides striatus diperoleh merkuri pada organ ginjal 0.22 ppm, hati 0.17 ppm"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.43 ppm (Konsentrasi)] Teks: nga melanoleuca Spesies ini dikenal sebagai burung trinil, termasuk dalam famili Scolopacidae dan genus Tringa. Burung trinil merupakan jenis pemakan krustase, serangga dan invertebrate yang hidup di perairan pesisir dan muara sungai. Hasil analisis merkuri pada organ ginjal Tringa melanoleuca diper"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.31 ppm (Konsentrasi)] Teks: nga melanoleuca Spesies ini dikenal sebagai burung trinil, termasuk dalam famili Scolopacidae dan genus Tringa. Burung trinil merupakan jenis pemakan krustase, serangga dan invertebrate yang hidup di perairan pesisir dan muara sungai. Hasil analisis merkuri pada organ ginjal Tringa melanoleuca diper"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.19 ppm (Konsentrasi)] Teks: s ini termasuk dalam famili Scolopacidae dari genus Actitis. Actitis hypoleucos dikenal sebagai Trinil pantai, merupakan jenis burung pemakan krustase, serangga dan invertebrata lain yang hidup di habitat pantai pasir, lumpur, sungai. Hasil analisis merkuri pada organ ginjal Actitis hypoleucos diper"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.18 ppm (Konsentrasi)] Teks: s ini termasuk dalam famili Scolopacidae dari genus Actitis. Actitis hypoleucos dikenal sebagai Trinil pantai, merupakan jenis burung pemakan krustase, serangga dan invertebrata lain yang hidup di habitat pantai pasir, lumpur, sungai. Hasil analisis merkuri pada organ ginjal Actitis hypoleucos diper"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.10 ppm (Konsentrasi)] Teks: s ini termasuk dalam famili Scolopacidae dari genus Actitis. Actitis hypoleucos dikenal sebagai Trinil pantai, merupakan jenis burung pemakan krustase, serangga dan invertebrata lain yang hidup di habitat pantai pasir, lumpur, sungai. Hasil analisis merkuri pada organ ginjal Actitis hypoleucos diper"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0.11 ppm (Konsentrasi)] Teks: termasuk dalam famili Charadriidae dan genus Pluvialis. Merupakan jenis burung pemakan invertebrata di habitat berlumpur dan pasir di daerah pasang surut. Biasanya mencari makan dalam kelompok kecil. Berdasarkan hasil analisis laboratorium, paparan merkuri pada organ ginjal Pluvialis squatarola menc"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 0,01 ppm (Konsentrasi)] Teks: n, bioakumulasi dan biokonsentrasi penumpukan metil merkuri di dalam jaringan adiposa tingkat trofik berturut-turut: zooplankton, nekton kecil, invertebrata lain, ikan, burung predator dan hewan yang lebih besar yang makan ikan ini juga mengkonsumsi merkuri semakin tinggi. Proses ini menjelaskan men"
Sulawesi Selatan,GORONTALO MINERALS,Merkuri,,Academic Report (GORONTALO_MINERALS_e4c43e.pdf),"[Nilai asli: 1 ppm (Konsentrasi)] Teks: ekton kecil, invertebrata lain, ikan, burung predator dan hewan yang lebih besar yang makan ikan ini juga mengkonsumsi merkuri semakin tinggi. Proses ini menjelaskan mengapa ikan predator seperti hiu atau burung predator lainnya memiliki konsentrasi merkuri yang lebih tinggi, misalnya, ikan mengandu"
Sulawesi Utara,TAMBANG TONDANO NUSAJAYA,Tailing,700.000,Academic Report (TAMBANG_TONDANO_NUSAJAYA_4f3477.pdf),"Teks: karena kegagalan konstruksi, iklim dan gempa bumi. Beberapa kasus lain terjadi misalnya bulan Februari tahun 1994 di Afrika Selatan di mana 500.000 m3 lumpur mengalir sampai 2 km dan 17 orang meninggal. Bulan September 1995 sebanyak 50.000 m3 limbah tailing lepas dari dam, 12 orang mati. Desember ta"
Sulawesi Utara,TAMBANG TONDANO NUSAJAYA,Tailing,,Academic Report (TAMBANG_TONDANO_NUSAJAYA_4f3477.pdf),"[Nilai asli: 500.000 m3 (Volume)] Teks: karena kegagalan konstruksi, iklim dan gempa bumi. Beberapa kasus lain terjadi misalnya bulan Februari tahun 1994 di Afrika Selatan di mana 500.000 m3 lumpur mengalir sampai 2 km dan 17 orang meninggal. Bulan September 1995 sebanyak 50.000 m3 limbah tailing lepas dari dam, 12 orang mati. Desember ta"
Sulawesi Utara,TAMBANG TONDANO NUSAJAYA,Tailing,,Academic Report (TAMBANG_TONDANO_NUSAJAYA_4f3477.pdf),"[Nilai asli: 50.000 m3 (Volume)] Teks: karena kegagalan konstruksi, iklim dan gempa bumi. Beberapa kasus lain terjadi misalnya bulan Februari tahun 1994 di Afrika Selatan di mana 500.000 m3 lumpur mengalir sampai 2 km dan 17 orang meninggal. Bulan September 1995 sebanyak 50.000 m3 limbah tailing lepas dari dam, 12 orang mati. Desember ta"
Sulawesi Utara,TAMBANG TONDANO NUSAJAYA,Sianida,700.000,Academic Report (TAMBANG_TONDANO_NUSAJAYA_4f3477.pdf),"Teks: lan September 1995 sebanyak 50.000 m3 limbah tailing lepas dari dam, 12 orang mati. Desember tahun 1998 di Spanyol, sebanyak 50.000m3 air asam dan beracun tumpah dari tailing dam. Pada bulan April 1999 di Filipina, 700.000 ton tailing terkontaminasi sianida keluar dan 17 buah rumah terkubur.12 Kajia"
Sulawesi Utara,TAMBANG TONDANO NUSAJAYA,Sianida,,Academic Report (TAMBANG_TONDANO_NUSAJAYA_4f3477.pdf),"[Nilai asli: 50.000 m3 (Volume)] Teks: lan September 1995 sebanyak 50.000 m3 limbah tailing lepas dari dam, 12 orang mati. Desember tahun 1998 di Spanyol, sebanyak 50.000m3 air asam dan beracun tumpah dari tailing dam. Pada bulan April 1999 di Filipina, 700.000 ton tailing terkontaminasi sianida keluar dan 17 buah rumah terkubur.12 Kajia"
Sulawesi Tenggara,ANEKA TAMBANG,Tailing,"5,500",Corporate Report (ANEKA_TAMBANG_38b863.pdf),"Teks: Audit MoEF Roadmap target of 5,500 tons of TSS with the highest measured value being in October 2021 at 2,496 tons of TSS. Despite the fact that sediment discharges from the outlet channels are well below the sediment load target established in the Tailings Management Roadmap, the reclamation works"
Sulawesi Tenggara,ANEKA TAMBANG,Tailing,"2,496",Corporate Report (ANEKA_TAMBANG_38b863.pdf),"Teks: Audit MoEF Roadmap target of 5,500 tons of TSS with the highest measured value being in October 2021 at 2,496 tons of TSS. Despite the fact that sediment discharges from the outlet channels are well below the sediment load target established in the Tailings Management Roadmap, the reclamation works"
Sulawesi Tenggara,VALE INDONESIA,Tailing,"5,500",Corporate Report (VALE_INDONESIA_38b863.pdf),"Teks: Audit MoEF Roadmap target of 5,500 tons of TSS with the highest measured value being in October 2021 at 2,496 tons of TSS. Despite the fact that sediment discharges from the outlet channels are well below the sediment load target established in the Tailings Management Roadmap, the reclamation works"
Sulawesi Tenggara,VALE INDONESIA,Tailing,"2,496",Corporate Report (VALE_INDONESIA_38b863.pdf),"Teks: Audit MoEF Roadmap target of 5,500 tons of TSS with the highest measured value being in October 2021 at 2,496 tons of TSS. Despite the fact that sediment discharges from the outlet channels are well below the sediment load target established in the Tailings Management Roadmap, the reclamation works"
Sulawesi Tenggara,MODERN CAHAYA MAKMUR,Tailing,100,NGO Report (MODERN_CAHAYA_MAKMUR_9c320f.pdf),"Teks: r-indonesia-battery-materials/81396124. Accessed August 5, 2024. 28 ESDM. “Penuhi Kebutuhan Listrik Smelter di Sulawesi, Pemerintah Manfaatkan Aliran Gas Donggi Senoro dan Eni Muara Bakau”. 10 | HPAL: A New Challenge for the Environment in Indonesia Tailings. Nickel processing using HPAL technology"
Sulawesi Tenggara,MODERN CAHAYA MAKMUR,Residu,100,NGO Report (MODERN_CAHAYA_MAKMUR_9c320f.pdf),Teks: ”. 10 | HPAL: A New Challenge for the Environment in Indonesia Tailings. Nickel processing using HPAL technology produces large volumes of toxic tailings. It is estimated that every ton of nickel metal processed through the HPAL produces 100 tons of residue.29 Government Regulation Number 22 of 2021
Sulawesi Tenggara,MODERN CAHAYA MAKMUR,Tailing,"1,6",NGO Report (MODERN_CAHAYA_MAKMUR_fb2aed.pdf),"Teks: mencetak 1,4–1,6 ton limbah tailing. Kajian lain menyebut setiap ton logam nikel dikeruk"
Sulawesi Tenggara,MODERN CAHAYA MAKMUR,Residu,100,NGO Report (MODERN_CAHAYA_MAKMUR_fb2aed.pdf),Teks: melalui proses HPAL menghasilkan 100 ton residu.29 Peraturan pemerintah (PP) Nomor 22
Sulawesi Tenggara,MODERN CAHAYA MAKMUR,Tailing,"12,5",NGO Report (MODERN_CAHAYA_MAKMUR_fb2aed.pdf),"[Mt] Teks: praktik perampasan tanah; produksi MHP melalui teknologi HPAL, oleh HNC dan QMB, memiliki jejak padat karbon karena bersandar pasokan listrik dari PLTU batubara off- HPAL dalam Industri Nikel | vii grid di IMIP; HNC dan QMB mengelola limbah beracun tailing sekitar 12,5 juta ton per tahun dengan tekn"
Sulawesi Tenggara,MODERN CAHAYA MAKMUR,Tailing,100,NGO Report (MODERN_CAHAYA_MAKMUR_fb2aed.pdf),"Teks: 500 kilo volt ke smelter-smelter nikel Huadi di Sulawesi Selatan, Pomala-Ceria di Sulawesi Tenggara, dan Konawe-Morowali di perbatasan Sulawesi Tengah dan Sulawesi Tenggara.28 Tailing. Pengolahan nikel via teknologi HPAL menghasilkan limbah beracun tailing dalam volume besar. Diperkirakan setiap ton"
Sulawesi Tenggara,MODERN CAHAYA MAKMUR,Residu,"1,6",NGO Report (MODERN_CAHAYA_MAKMUR_fb2aed.pdf),"Teks: limbah beracun tailing dalam volume besar. Diperkirakan setiap ton bijih nikel yang dihasilkan melalui proses HPAL akan mencetak 1,4–1,6 ton limbah tailing. Kajian lain menyebut setiap ton logam nikel dikeruk melalui proses HPAL menghasilkan 100 ton residu.29 Peraturan pemerintah (PP) Nomor 22 Tahun"
Sulawesi Tengah,MULTI DINAR KARYA,Tailing,"58,4",NGO Report (MULTI_DINAR_KARYA_475682.pdf),"[Mt] Teks: rang dunia, 37% ikan terumbu karang, dan hutan mangrove terbesar di dunia.40 Setelah diundangkannya PP 22/2021, tambang emas PT Amman Mineral Nusa Tenggara diberikan izin DSTP oleh KHLK per Maret 2022. Izin ini diberikan untuk membuang 58,4 juta ton tailing pertahun ke laut Sumbawa, Nusa Tenggara Ba"
Sulawesi Tengah,MULTI DINAR KARYA,Dstp,"58,4",NGO Report (MULTI_DINAR_KARYA_475682.pdf),"[Mt] Teks: i Episentrum Nikel Indonesia 21 dibangun. Laut Morowali memiliki 76% terumbu karang dunia, 37% ikan terumbu karang, dan hutan mangrove terbesar di dunia.40 Setelah diundangkannya PP 22/2021, tambang emas PT Amman Mineral Nusa Tenggara diberikan izin DSTP oleh KHLK per Maret 2022. Izin ini diberikan"
Sulawesi Tenggara,SULAWESI CAHAYA MINERAL,Tailing,100,NGO Report (SULAWESI_CAHAYA_MINERAL_9c320f.pdf),"Teks: r-indonesia-battery-materials/81396124. Accessed August 5, 2024. 28 ESDM. “Penuhi Kebutuhan Listrik Smelter di Sulawesi, Pemerintah Manfaatkan Aliran Gas Donggi Senoro dan Eni Muara Bakau”. 10 | HPAL: A New Challenge for the Environment in Indonesia Tailings. Nickel processing using HPAL technology"
Sulawesi Tenggara,SULAWESI CAHAYA MINERAL,Residu,100,NGO Report (SULAWESI_CAHAYA_MINERAL_9c320f.pdf),Teks: ”. 10 | HPAL: A New Challenge for the Environment in Indonesia Tailings. Nickel processing using HPAL technology produces large volumes of toxic tailings. It is estimated that every ton of nickel metal processed through the HPAL produces 100 tons of residue.29 Government Regulation Number 22 of 2021
Sulawesi Tengah,TRIO KENCANA,Tailing,,NGO Report (TRIO_KENCANA_c0e32b.pdf),"[Nilai asli: 2.000 Ha (Area)] Teks: anfaatan. Pertemuan ini terbatas antara pemerintah denegan 2.000 hektar. Terdapat 6 klaster di dalam kompleks industri ini. perusahaan-perusahaan yang mengajukan rencana untuk membuang limbah mereka ke laut dalam atau dikenal dengan istilah Deep Sea Tailing Placement. PT QMB New Energy Material, PT"
Sulawesi Tengah,MULTI DINAR KARYA,Chromium,"3,700",Other (MULTI_DINAR_KARYA_febfaa.pdf),"[kg] Teks: Executive Summary Policy Paper Severe Air Pollution Risks: Smelters and captive power plants in Central Sulawesi, Southeast Sulawesi, and North Maluku are projected to exceed WHO air quality limits by 2030. NO₂ levels are expected to surpass 30 µg/m³, while PM2.5 and SO₂ concentrations will rise bey"
Sulawesi Tenggara,SULAWESI CAHAYA MINERAL,Chromium,"3,700",Other (SULAWESI_CAHAYA_MINERAL_febfaa.pdf),"[kg] Teks: Executive Summary Policy Paper Severe Air Pollution Risks: Smelters and captive power plants in Central Sulawesi, Southeast Sulawesi, and North Maluku are projected to exceed WHO air quality limits by 2030. NO₂ levels are expected to surpass 30 µg/m³, while PM2.5 and SO₂ concentrations will rise bey"
Sulawesi Tenggara,VALE INDONESIA,Chromium,"3,700",Other (VALE_INDONESIA_febfaa.pdf),"[kg] Teks: Executive Summary Policy Paper Severe Air Pollution Risks: Smelters and captive power plants in Central Sulawesi, Southeast Sulawesi, and North Maluku are projected to exceed WHO air quality limits by 2030. NO₂ levels are expected to surpass 30 µg/m³, while PM2.5 and SO₂ concentrations will rise bey"
