nomor,tahun,judul,deskripsi,lokasi,status,detail_url,scraped_at
14,2023,Klaim Hutan Negara di atas Tanah Masyarakat Adat Moa,"SK dari KLHK terkait masyarakat adat tidak sesuai yang diharapkan yaitu 7.738 Ha, hanya 1.484 Ha yang diakui sebagai hutan adat. Selebihnya, hampir 85% wilayah masyarakat adat Moa masuk dalam Taman Nasional Lore Lindu (TNLL) dan hutan lindung. Konflik dimulai sejak tahun 1993 dimana wilayah-wilayah Adat Topo Uma ditetapkan sebagai bagian dari kawasan hutan negara dengan fungsi konservasi.",Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/VDRMSFJPeFp3dEE,2026-06-09T06:45:16.025196+07:00
15,2023,Penolakan Masyarakat Adat Piliana dan Lainnya terhadap Penetapan Pal HPK,"Warga adat dari 10 desa di Tehoru, Maluku Tengah, menolak penetapan Hutan Produksi Konservasi (HPK) di atas lahan mereka",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/V3J4LXQwUGUwWFE,2026-06-09T06:45:16.025196+07:00
16,2025,Pengkavelingan Daerah Berkemah di Taman Nasional Gunung Merbabu (BTNGMb),Pendirian tenda 'booking' untuk aktivitas wisata di Taman Nasional menyebabkan konflik dengan turis/pendaki  lain.,Taman Nasional,Hutan Konservasi,https://tanahkita.id/data/data/konflik/detil/WjBtNVhnR3F3ZFk,2026-06-09T06:45:16.025196+07:00
17,2011,PT. Gunung Mas Abad VS Warga Desa Bentot dan Desa Lalap,,Kesehatan,Pertambangan,https://tanahkita.id/data/data/konflik/detil/UGt2elR0eWNQbTg,2026-06-09T06:45:16.026022+07:00
18,2023,Konflik Lahan Sawit Warga Siak Vs PT DSI,"Hal ini dikarenakan preman yang berjumlah sekitar 30 orang secara sembrono dan berani masuk ke kebun sawit warga tanpa dilengkapi surat tugas resmi dari perusahaan, melarang dan menghentikan keluarnya truk panen kelapa sawit warga Dayun Siak.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UURzQnlxdXpyNG8,2026-06-09T06:45:16.026022+07:00
19,2023,"Tol Kertosono-Kediri, Warga Protes Nilai Ganti Rugi Tak Sesuai Janji",Ganti rugi yang diterima warga tidak sesuai dengan kesepakatan awal yang telah dibuat,Jalan & Jalan Tol,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/ZTJCV0VoY2J0Nms,2026-06-09T06:45:16.026022+07:00
20,2016,Program Pembangunan KEK Bitung Dinilai Abaikan Hak-Hak Masyarakat,"Penggusuran tempat tinggal terjadi kepada sekitar 500 kepala keluarga di Kelurahan Tanjung Merah, Kecamatan Matuari, Kota Bitung, Sulawesi Utara atas nama Pembangunan KEK",Pabrik,Kawasan Industri,https://tanahkita.id/data/data/konflik/detil/Z2Z4MTVFeS1YZjA,2026-06-09T06:45:16.026022+07:00
21,2021,PT.Tambang Mas Sangihe (PT.TMS) ancam keberlangsungan Pulau Sangihe,Tambang PT.TMS ancam kehidupan masyarakat dan keberlangsungan lingkungan. IUP kontrak karya itu disebut tak sesuai UU No 4/2009 Jo UU No.3/2020 tentang Pertambangan Mineral dan Batubara. Izin ini juga bertentangan dengan UU No.7/2007 Jo. UU No 1/2014 tentang WP3K yang melarang kawasan pesisir dan pulau-pulau kecil untuk pertambangan.,Emas,Pertambangan,https://tanahkita.id/data/data/konflik/detil/a1A3ckdDVDBzUnc,2026-06-09T06:45:17.155686+07:00
22,2023,"PT Arara Abadi. Berkonflik dengan warga Kecamatan Bunut, Kabupaten Pelalawan","Konflik pemanfaatan lahan yang terjadi antara perusahaan pemilik HPHTI, di Kabupaten Pelalawan. Persoalan konflik antara masyarakat dengan perusahaan PT.Arara Abadi ini terjadi karena di dalam kawasan yang ditetapkan sebagai kawasan Tata Guna Hutan Kesepakatan (TGHK) oleh pemerintah yang menjadi landasan dikeluarkannya izin HPHTI khususnya HTI milik perusahaan PT. Arara Abadi tersebut",HTI,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/cGRrU2FLdjk3Q2c,2026-06-09T06:45:17.155686+07:00
23,2022,PT Arara Abadi dan Tanggung Jawab Atas Dugaan Pengrusakan Lahan Warga Pulau Muda,Konflik antara warga dengan PT.Arara Abadi terjadi karena pembuatan kanal menyebabkan warga tidak bisa mengelola lahan milik mereka seluas 27 ha,Hutan Produksi,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/UlhVaUNmT2s2LVU,2026-06-09T06:45:17.155686+07:00
24,2015,PT Sumatera Silva Lestari (SSL) vs Masyarakat Desa Sei Kumango,Warga menuntut pengembalian lahan oleh PT.SSL yang diserahkan tanpa sepengetahuan warga,Hutan Produksi,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/WV9LN3dVdHdsQ2c,2026-06-09T06:45:17.155686+07:00
25,2015,"PT Sumatera Riang Lestari (SRL) berkonflik dengan warga Bayas Jaya dan desa lainnya di Kecamatan Tempuling, Kabupaten Indragiri Hilir",PT Sumatera Riang Lestari diduga menyerobot lahan milik warga. Bahkan pihak perusahaan dengan semena-mena merusak tanaman sawit yang sudah besar milik masyarakat.,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/LTQ0YkpCdGFrRXc,2026-06-09T06:45:17.155686+07:00
26,2015,"PT Nusa Wana Raya berkonflik dengan warga Desa Segati Dusun Tasik Indah, Kecamatan Langgam, Kabupaten Pelalawan",Perusahaan PT. NWR bersama PT. RAPP diduga melakukan okupasi terhadap lahan kelapa sawit milik warga yang telah berbuah,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UzQ2V2ozTDVuOFE,2026-06-09T06:45:17.155686+07:00
27,2021,PSN PLTA Lembang vs Warga Desa Lembang Mesakada dan Desa Suppirang,Warga menolak pembangunan PLTA yang berdampak langsung pada kehidupan masyarakat,PLTA,Bendungan,https://tanahkita.id/data/data/konflik/detil/bDVQNTlZNzhNTE0,2026-06-09T06:45:17.155686+07:00
28,2021,Kasus Sengketa Tanah di KEK JIIPE Gresik l,Kendala pembebasan lahan dan adanya dugaan penguasaan lahan yang akhirnya dijual ke JIIPE.,Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/U240d0Z5SE5qUFk,2026-06-09T06:45:17.155686+07:00
29,2020,sengketa tanah antara PT RAPP dengan petani sawit Desa Dayun,"Pada tahun 1997 perusahaan Hutan Tanaman Industri (HTI), PT. Riau Andalan Pulp and Paper (RAPP) mengklaim lahan milik petani kelapa sawit desa Dayun kecamatan Dayun kabupaten Siak yang berjumlah sampai 2.000 (dua ribu) hektar masuk dalam areal konsesi perusahaan berdasarkan keputusan Menteri Kehutanan Nomor 130/Kpts-II/1993 tanggal 27 Februari 1993",HTI,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/S1otTlBWZ3I2Sms,2026-06-09T06:45:17.155686+07:00
30,2015,PT IKPP dan Warga di Pinang Sebatang Perawang,"warga yang memiliki lahan di desa itu sudah berulang kali dilaporkan PT IKPP ke Polda Riau. Tercatat, sudah 20 orang yang dilaporkan PT IKPP ke Polda Riau sejak Oktober 2014 lalu.",Pabrik,Kawasan Industri,https://tanahkita.id/data/data/konflik/detil/a3JtT21JR2lNN3M,2026-06-09T06:45:17.155686+07:00
31,2011,Akasia milik PT. Arara Abadi Tidak dan Konflik Lahan dengan Masyarakat Dosan,Konflik yang terjadi antara masyarakat kampung Dosan dengan PT. Arara Abadidisebabkan areal perkebunan masyarakat  masuk dalam konsesi perusahaan Hutan Tanaman Industri (HTI) PT. Arara Abadi. Lahan milik masyarakat dimusnahkan oleh perusahaan dengan cara mencabut hingga meracuni tanaman.,HTI,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/NURQa2FFai1VclE,2026-06-09T06:45:18.297569+07:00
32,2020,Kemenangan Persatuan Petani Jambi (PPJ) melawan PT. Erasakti Wira Forestama (EWF),"Penjualan lahan yang dimiliki oleh 47 warga kepada PT. Erasakti Wira Forestama (EWF) seluas 72 hektare diketahui dilakukan dengan merekayasa data, yakni dengan memalsukan nama-nama pemilik lahan. warga membuat surat pengaduan kepada BPN meminta mediasi dengan PT EWF serta meminta agar sertifikat HGU untuk PT EWF tidak diproses",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UlBvT3lkaktfeWs,2026-06-09T06:45:18.298568+07:00
33,2021,Kasus antara PT Swarna Nusa Sentosa (SNS) di Kecamatan Lepar Pongok,"Kisruh antara warga Kecamatan Lepar Pongok, Bangka Selatan, Kepulauan Bangka Belitung dengan PT.Swarna Nusa Sentosa (SNS) disebabkan oleh masalah Hak Guna Usaha PT.SNS",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/MkZtTU5mWE9qSzA,2026-06-09T06:45:18.298568+07:00
34,2019,Sengketa Tanah Antara Paroki Imanuel Sanggeng dan PT Fulica Land,"Sebelah timur lahan yang telah dibeli paroki atas nama Keuskupan Manokwari-Sorong pada 1999 berbatasan dengan PTâ€‚Fulicaâ€‚Land dan ternyata terdapat overlap sertifikat tanah seluas 0,2 Ha.",Perumahan,Perumahan dan Kota Baru,https://tanahkita.id/data/data/konflik/detil/UlJTMFgyTE5pcHM,2026-06-09T06:45:18.298568+07:00
35,2021,Konflik Lahan Pemuteran: Dari Tanah Sengketa Berharap Damara,"Warga yang mengolah tanah dan mendiami area tanah sengketa ini sejak zaman Belanda pun mengajukan jadi objek reforma agraria agar petani memiliki hak atas lahan. Tak heran, selama puluhan tahun, perlawanan untuk mendapat akses tanah masih diperjuangkan.",Eks-Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/ekJFM0ZieGtBYXc,2026-06-09T06:45:18.298568+07:00
36,2022,Masyarakat Dusun Aik Abik vs PT.GPL â€œKembalikan Jantung Suku Mapurâ€,"Masyarakat menyatakan perusahaan melakukan perusakan terhadap 11 makam leluhur Suku Mapur, serta merusak hutan adat.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Qk5leEo5NEh3M28,2026-06-09T06:45:18.298568+07:00
37,2017,"Suku Yerisiam dari Kampung Sima Distrik Yaur, Nabire dan PT. Pasific Mining Jaya (PMJ)","PT. Pacific Mining Jaya mendapatkan izin di wilayah adat Suku Besar Yerisiam Gua, selama ini tidak pernah ada pemberitahuan dari Instansi yang mengurusi Sumber Daya Alam, klaim IUP PT. Pacific Mining Jaya di wilayah adat Suku Besar Yerisiam Gua, tanpa sepengetahuan tapi juga izin dari pemilik ulayat setempat, ini pun sama seperti suku kerabat, di ulayat Suku Besar Wate, Kabupaten Nabire dan di wilayah Suku Mee Kabupaten Paniai.",Emas,Pertambangan,https://tanahkita.id/data/data/konflik/detil/dG84aEkxV0Zaazg,2026-06-09T06:45:18.298568+07:00
38,2023,"Dua kelompok Warga di Kabupaten Mamuju Tengah (Mateng), Sulawesi Barat (Sulbar) bentrok lantaran memperebutkan lahan sawit. Insiden itu menewaskan 1 orang dan 4 lainnya luka-luka.","Dua kelompok Warga di Kabupaten Mamuju Tengah (Mateng), Sulawesi Barat (Sulbar) bentrok lantaran memperebutkan lahan sawit. Insiden itu menewaskan 1 orang dan 4 lainnya luka-luka.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cmJTOVY1SEhnbFE,2026-06-09T06:45:18.298568+07:00
39,2018,Sengketa Lahan Proyek Bendungan Bulango Ulu,Gugatan warga seluas lahan sebesar 1.000 hektar pada pembangunan Bendungan Bolango Ulu yang merupakan strategis nasional (PSN) yang dilakukan pada tahun 2018,PLTA,Bendungan,https://tanahkita.id/data/data/konflik/detil/Yzdpdk8zcTNxeGs,2026-06-09T06:45:18.298568+07:00
40,2018,Warga Desa Bongo dan PT PG Gorontalo Berebut Lahan,Dugaan penyerobotan lahan milik warga seluas 50 hektar di Desa Bongo IV yang dilakukan oleh pihak PT. PG Gorontalo menjadi perhatian pemerintah daerah setempa,Hutan Produksi,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/QlNIWWNWNWhMTEU,2026-06-09T06:45:18.298568+07:00
41,2020,Aksi Petani Pisang Gianyar Pertahankan Lahan Garapannya,Konflik lahan terjadi antara pemilik lahan pisang milik masyarakat Puhu dengan investor yang ingin mengubah fungsi lahan menjadi resort wisata.,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/LWYtcmVTdnJuS3c,2026-06-09T06:45:19.429732+07:00
42,2023,penangkapan terhadap sejumlah Masyarakat Adat dari lokasi tambang batubara PT Energi Batu Hitam (EBH),"Salah satu warga Kampung Dingin, mengatakan yang dipersoalkan warga ialah pencemaran lingkungan dan ganti tanam tumbuh. Lokasinya di lahan warga yang berdempetan milik Priska dan Jene dengan total luas 6,6 hektare",Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/YlZUbzF4OXdQOG8,2026-06-09T06:45:19.429732+07:00
43,2023,Masyarakat Adat Balik Sepaku Menolak Digusur,pemasangan spanduk sebagai bentuk perlawanan Masyarakat Adat Suku Balik Sepaku yang menolak digusur dari lokasi proyek pembangunan Ibu Kota Negara (IKN).,Normalisasi Sungai,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/ZFJqbEx3UkYwQ28,2026-06-09T06:45:19.429732+07:00
44,2022,Pembangunan Proyek Strategis Nasional (PSN) proyek PLTU Gorontalo Utara yang dibangun Pt.Gorontalo Listrik Perdana (GLP) masih menyisakan masalah sengketa lahan,Masalah yang sangat penting adalah persoalan lahan yang belum tuntas dibayarkan oleh perusahaan PT.Gorontalo Listrik Perdana (GLP) kepada ahli waris pemilik lahan seluas 76.5 hektar,PLTU,Infrastruktur Energi Listrik,https://tanahkita.id/data/data/konflik/detil/c1RsM0k3NDFYMnc,2026-06-09T06:45:19.429732+07:00
45,2017,"Konflik tanah PT Rerolara di Hokeng, milik Keuskupan Larantuka","Tanah seluas 288 hektar yang dikelola PT Reinha Rosari Larantuka (Rerolara) berada dalam masalah, lahan seluas 76 hektar sudah diduduki masyarakat. Umat Pululera mengklaim, tanah yang dikuasai keuskupan ini adalah bagian dari tanah ulayat. Pada saat bersamaan, hadirnya warga Boru dan Nawokote menjadikan sebuah perlawanan horizontal antar dua kelompok masyarakat.",Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/SGJ2RmUwVVJWNjA,2026-06-09T06:45:19.429732+07:00
46,2022,konflik surat ijo di Surabaya dan permasalahan antar Warga Waringin Sumiarjo Joyoboyo (Warjoyo) dengan PT KAI,"Perkumpulan warga Warjoyo (Waringin, Bumiarjo dan Joyoboyo) ajukan permohonan kepastian hukum atas hak legalitas tanah yang sudah menempati puluhan tahun di atas obyek lahan seluas 14 Hektar (ha) sejak tahun 1950 berlokasi di Kelurahan Sawunggaling, Kecamatan Wonokromo, Kota Surabaya, provinsi Jawa Timur",Kereta,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/U3NnNDlZQldQN1E,2026-06-09T06:45:19.429732+07:00
47,2022,Kriminalisasi 4 Buruh Panen Sawit oleh PT Daria Dharma Putra,4 buruh panen sawit Mukomuko yang dituduh mencuri sawit buntut dari konflik agraria dengan PT DDP,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/ZnFKbmVnazUydGs,2026-06-09T06:45:19.429732+07:00
48,2022,Warga Masyarakat Kabupaten Tulang Bawang Unjuk Rasa di depan kantor Pemda tulang bawang dari 4 kecamatan atas sengketa tanah Umbul yang ada di lokasi PT. Sugar Group Company,Warga Tulang Bawang menuntut perusahaan gula terbesar di Lampung itu melakukan pengukuran ulang lahan dan mengembalikan lahan seluas 16.000 hektar milik warga,Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VHItbEZ0SkpxbVE,2026-06-09T06:45:19.429732+07:00
49,2017,Konflik Masyarakat Hukum Adat dengan PT ILP,"Kepemilikan lahan PT Sugar Group Companies kembali menuai permasalahan. Kali ini menyangkut tudingan kepemilikan lahan milik masyarakat Kecamatan Gedung Meneng, Kabupaten Tulang Bawang. Melalui anak perusahaannya PT Indo Lampung Perkasa (ILP) dan PT Indo Lampung Cahaya Makmur (ILCM), PT Sugar Group dituduh telah melakukan penguasaan lahan tanpa izin masyarakat pemilik. Yakni dengan cara memasukan lahan milik masyarakat sebagai bagian kawasan Hak Guna Usaha (HGU) PT ILP dan PT ILCM.",Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/TEZ6YzVBY25idzg,2026-06-09T06:45:19.429732+07:00
50,2012,Pencaplokan Lahan Masyarakat Adat Kampung Mataram Ilir oleh PT BSSS,"Masyarakat Adat Mataram Ilir menuntut pemberhentian kegiatan PT GPM dan PT BSSS di atas lahan masyarakat seluas 380 Ha, dan mengosongkan tanah tersebut dan mengembalikan tanah seluas 822 Ha kepada masyarakat adat Kampung Mataram Ilir",Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/N3hORHdlOTk3elk,2026-06-09T06:45:19.429732+07:00
51,2020,Sengketa Lahan di Pancoran dengan PT Pertamina,"Sejak bulan Juli 2020, Warga Gang Buntu II telah mengalami penggusuran yang sebenarnya dinilai cacat pada prosedur hukumnya karena tanah masih berstatus sengketa dan belum ada  putusan pengadilan.",Pertamina,Pangan dan Energi,https://tanahkita.id/data/data/konflik/detil/VmQteHgtdXcwNUk,2026-06-09T06:45:20.567573+07:00
52,2021,Kriminalisasi Terhadap Serikat Tani Kumpeh di Kab.Muaro Jambi,Upaya kriminalisasi terhadap petani Serikat Tani Kumpeh telah berlangsung sejak Oktober 2021 dan berlanjut hingga Januari 2022. Petani bersama KPA Jambi terus mendorong pihak kepolisian untuk dapat berada di pihak petani sehingga pada 20 Januari 2022 pihak Polda Jambi mengeluarkan surat kesepakatan bahwa tidak akan ada penangkapan pada Serikat Tani Kumpeh,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/MExZeGhmaEtDNGM,2026-06-09T06:45:20.567573+07:00
53,2022,Ratusan Petani Robohkan Gerbang Kantor Bupati Enrekang,"Para petani itu menuntut agar aktivitas penggusuran yang dilakukan oleh PT Perkebunan Nusantara (PTPN) XIV di kampung Sikamasean, Kecamatan Maiwa dihentikan. Terkait hal itu, massa mendesak untuk bertemu Bupati Enrekang, Muslimin Bando. Mereka menilai Bupati menutup mata terkait penggusuran lahan warga tersebut. Selain itu, massa menuntut agar Muslimin Bando mencabut rekomendasi Pemkab terhadap pihak PTPN XIV.",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/OGhTcjYwY2dVaFU,2026-06-09T06:45:20.567573+07:00
54,2021,Pro dan kontra pungutan atas pelimpahan HGU PT Rumpun Sari Antan,"Serikat Tani Mandiri (STaM) dan KPA Wilayah Jawa Tengah pertanyakan tindakan PT. Rumpun Sari Anta (RSA) yang meminta pungutan kepada para petani terkait pelepasan tanah HGU mereka yang telah ditelantarkan
Pih.

ak perusahaan meminta ganti rugi pada masyarakat terhadap tanah HGU yang mau dilepaskan. Dengan nominal Rp.50 ribu per meter untuk tanah permukiman dan Rp.40 ribu per meter untuk tanah perkebunan atau sawah. Para kepala desa yang hadir juga mendukung hal tersebut",Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cXhBbndJMnoxbzQ,2026-06-09T06:45:20.567573+07:00
55,2017,"Sengketa Tanah di Lampung, 4 Petani dan Pendeta Dibui","Kasus sengketa lahan milik petani dengan PT BNIL sudah berlangsung sejak 1991. Saat itu petani yang menduduki lahan transmigrasi dipaksa menyerahkan tanahnya kepada PT BNIL. Sepanjang perjuangan petani mendapatkan haknya, sudah ada 8 orang meninggal karena dibunuh, puluhan orang disiksa, dan belasan orang dikriminalisasi.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aF9Xak0zVmhwTlk,2026-06-09T06:45:20.567573+07:00
56,2022,"Konflik Tanah, Warga Desa Batulawang dijadikan Tameng Spekulan Tanah",Lembaga Bank Tanah lakukan penjualan tanah milik PT Maskapai Perkebunan Moelia (PT MPM) di Batulawang kepada investor gelap dengan menjanjikan SHM.,Eks-Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/dzNpZV9SVGhDYU0,2026-06-09T06:45:20.567573+07:00
