provinsi,kabupaten_kota,tahun,jenis_penyakit,total_kasus,meninggal,halaman_pdf,catatan_data
Sulsel,Soppeng,2018,RABIES,1,0,43,PERLU_VALIDASI_MANUAL
Sulsel,Takalar,2017,RABIES,258,0,76,
Sulsel,Tana Toraja,2017,RABIES,264,0,76,
Sulsel,Tana Toraja,2018,RABIES,1,0,42,PERLU_VALIDASI_MANUAL
Sulsel,Toraja Utara,2017,RABIES,136,0,76,
Sulsel,Wajo,2017,RABIES,361,0,76,
Sulteng,Banggai,2019,DBD,54,0,351,
Sulteng,Banggai,2020,DBD,15,0,312,
Sulteng,Banggai,2021,DBD,6,0,366,
Sulteng,Banggai,2022,DBD,73,0,352,
Sulteng,Banggai,2023,DBD,65,0,337,
Sulteng,Banggai,2024,DBD,51,0,331,
Sulteng,Banggai Kepulauan,2019,DBD,3,0,351,
Sulteng,Banggai Kepulauan,2020,DBD,6,0,312,
Sulteng,Banggai Kepulauan,2021,DBD,3,0,366,
Sulteng,Banggai Kepulauan,2022,DBD,191,4,352,
Sulteng,Banggai Kepulauan,2023,DBD,58,0,337,
Sulteng,Banggai Kepulauan,2024,DBD,48,0,331,
Sulteng,Banggai Laut,2019,DBD,47,0,351,
Sulteng,Banggai Laut,2020,DBD,151,0,312,
Sulteng,Banggai Laut,2021,DBD,3,0,366,
Sulteng,Banggai Laut,2022,DBD,3,0,352,
Sulteng,Banggai Laut,2023,DBD,8,0,337,
Sulteng,Banggai Laut,2024,DBD,27,0,331,
Sulteng,Buol,2019,DBD,50,0,351,
Sulteng,Buol,2020,DBD,34,0,312,
Sulteng,Buol,2021,DBD,11,0,366,
Sulteng,Buol,2022,DBD,111,0,352,
Sulteng,Buol,2023,DBD,94,0,337,
Sulteng,Buol,2024,DBD,97,0,331,
Sulteng,Donggala,2019,DBD,181,0,351,
Sulteng,Donggala,2020,DBD,178,0,312,
Sulteng,Donggala,2021,DBD,10,0,366,
Sulteng,Donggala,2022,DBD,40,0,352,
Sulteng,Donggala,2023,DBD,129,0,337,
Sulteng,Donggala,2024,DBD,68,0,331,
Sulteng,Morowali,2019,DBD,96,0,351,
Sulteng,Morowali,2020,DBD,24,0,312,
Sulteng,Morowali,2021,DBD,60,0,366,
Sulteng,Morowali,2022,DBD,176,0,352,
Sulteng,Morowali,2023,DBD,183,0,337,
Sulteng,Morowali,2024,DBD,394,0,331,
Sulteng,Morowali Utara,2019,DBD,266,0,351,
Sulteng,Morowali Utara,2020,DBD,47,0,312,
Sulteng,Morowali Utara,2021,DBD,31,0,366,
Sulteng,Morowali Utara,2022,DBD,30,0,352,
Sulteng,Morowali Utara,2023,DBD,77,0,337,
Sulteng,Morowali Utara,2024,DBD,431,4,331,
Sulteng,Palu,2019,DBD,591,9,351,
Sulteng,Palu,2020,DBD,301,5,312,
Sulteng,Palu,2021,DBD,302,4,366,
Sulteng,Palu,2022,DBD,640,7,352,
Sulteng,Palu,2023,DBD,541,3,337,
Sulteng,Palu,2024,DBD,441,3,331,
Sulteng,Parigi Moutong,2019,DBD,124,0,351,
Sulteng,Parigi Moutong,2020,DBD,62,0,312,
Sulteng,Parigi Moutong,2021,DBD,3,0,366,
Sulteng,Parigi Moutong,2022,DBD,25,0,352,
Sulteng,Parigi Moutong,2023,DBD,74,0,337,
Sulteng,Parigi Moutong,2024,DBD,106,0,331,
Sulteng,Poso,2019,DBD,103,0,351,
Sulteng,Poso,2020,DBD,77,0,312,
Sulteng,Poso,2021,DBD,19,0,366,
Sulteng,Poso,2022,DBD,141,0,352,
Sulteng,Poso,2023,DBD,139,0,337,
Sulteng,Poso,2024,DBD,284,0,331,
Sulteng,Sigi,2019,DBD,148,0,351,
Sulteng,Sigi,2020,DBD,51,0,312,
Sulteng,Sigi,2021,DBD,39,0,366,
Sulteng,Sigi,2022,DBD,48,0,352,
Sulteng,Sigi,2023,DBD,134,0,337,
Sulteng,Sigi,2024,DBD,133,0,331,
Sulteng,Tolitoli,2019,DBD,61,0,351,
Sulteng,Tolitoli,2020,DBD,150,0,312,
Sulteng,Tolitoli,2021,DBD,178,0,366,
Sulteng,Tolitoli,2022,DBD,317,0,352,
Sulteng,Tolitoli,2023,DBD,98,0,337,
Sulteng,Tolitoli,2024,DBD,181,0,331,
Sulteng,Banggai,2019,FILARIASIS,16,0,353,
Sulteng,Banggai,2020,FILARIASIS,11,0,314,
Sulteng,Banggai,2021,FILARIASIS,10,0,368,
Sulteng,Banggai,2022,FILARIASIS,9,0,354,
Sulteng,Banggai,2023,FILARIASIS,7,0,339,
Sulteng,Banggai,2024,FILARIASIS,7,0,333,
Sulteng,Banggai Kepulauan,2019,FILARIASIS,1,0,353,
Sulteng,Banggai Kepulauan,2020,FILARIASIS,1,0,314,
Sulteng,Banggai Kepulauan,2021,FILARIASIS,1,0,368,
Sulteng,Banggai Kepulauan,2022,FILARIASIS,1,0,354,
Sulteng,Banggai Kepulauan,2023,FILARIASIS,1,0,339,
Sulteng,Banggai Kepulauan,2024,FILARIASIS,1,0,333,
Sulteng,Buol,2019,FILARIASIS,3,0,353,
Sulteng,Buol,2020,FILARIASIS,3,0,314,
Sulteng,Buol,2021,FILARIASIS,3,0,368,
Sulteng,Buol,2022,FILARIASIS,3,0,354,
Sulteng,Buol,2023,FILARIASIS,3,0,339,
Sulteng,Buol,2024,FILARIASIS,3,0,333,
Sulteng,Donggala,2019,FILARIASIS,11,0,353,
Sulteng,Donggala,2020,FILARIASIS,11,0,314,
Sulteng,Donggala,2021,FILARIASIS,11,0,368,
Sulteng,Donggala,2022,FILARIASIS,11,0,354,
Sulteng,Donggala,2023,FILARIASIS,7,0,339,
Sulteng,Donggala,2024,FILARIASIS,5,0,333,
Sulteng,Morowali,2019,FILARIASIS,6,0,353,
Sulteng,Morowali,2020,FILARIASIS,6,0,314,
Sulteng,Morowali,2021,FILARIASIS,4,0,368,
Sulteng,Morowali,2022,FILARIASIS,4,0,354,
Sulteng,Morowali,2023,FILARIASIS,4,0,339,
Sulteng,Morowali,2024,FILARIASIS,4,0,333,
Sulteng,Parigi Moutong,2019,FILARIASIS,24,0,353,
Sulteng,Parigi Moutong,2020,FILARIASIS,17,0,314,
Sulteng,Parigi Moutong,2021,FILARIASIS,8,0,368,
Sulteng,Parigi Moutong,2022,FILARIASIS,15,0,354,
Sulteng,Parigi Moutong,2023,FILARIASIS,11,0,339,
Sulteng,Parigi Moutong,2024,FILARIASIS,11,0,333,
Sulteng,Poso,2019,FILARIASIS,31,0,353,
Sulteng,Poso,2020,FILARIASIS,31,0,314,
Sulteng,Poso,2021,FILARIASIS,31,0,368,
Sulteng,Poso,2022,FILARIASIS,13,0,354,
Sulteng,Poso,2023,FILARIASIS,13,0,339,
Sulteng,Poso,2024,FILARIASIS,9,0,333,
Sulteng,Sigi,2019,FILARIASIS,73,0,353,
Sulteng,Sigi,2020,FILARIASIS,72,0,314,
Sulteng,Sigi,2021,FILARIASIS,46,0,368,
Sulteng,Sigi,2022,FILARIASIS,72,0,354,
Sulteng,Sigi,2023,FILARIASIS,46,0,339,
Sulteng,Sigi,2024,FILARIASIS,42,0,333,
Sulteng,Tojo Una-Una,2024,FILARIASIS,18,0,179,
Sulteng,Banggai,2019,RABIES,2,0,203,
Sulteng,Banggai,2023,RABIES,1,0,207,
Sulteng,Banggai,2024,RABIES,1,0,176,
Sulteng,Morowali,2019,RABIES,1,0,350,
Sulteng,Poso,2020,RABIES,341,0,164,
Sulteng,Poso,2022,RABIES,262,0,170,
Sulteng,Touna,2019,RABIES,1,0,245,
Sulteng,Banggai Kepulauan,2019,MALARIA,0,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai,2019,MALARIA,19,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali,2019,MALARIA,28,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Poso,2019,MALARIA,7,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Donggala,2019,MALARIA,30,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Toli-Toli,2019,MALARIA,0,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Buol,2019,MALARIA,1,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Parigi Moutong,2019,MALARIA,21,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Tojo Una-Una,2019,MALARIA,2,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Sigi,2019,MALARIA,7,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Laut,2019,MALARIA,1,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali Utara,2019,MALARIA,6,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Kota Palu,2019,MALARIA,3,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Kepulauan,2020,MALARIA,18,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai,2020,MALARIA,12,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali,2020,MALARIA,17,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Poso,2020,MALARIA,3,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Donggala,2020,MALARIA,6,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Toli-Toli,2020,MALARIA,0,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Buol,2020,MALARIA,0,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Parigi Moutong,2020,MALARIA,12,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Tojo Una-Una,2020,MALARIA,84,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Sigi,2020,MALARIA,4,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Laut,2020,MALARIA,2,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali Utara,2020,MALARIA,70,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Kota Palu,2020,MALARIA,10,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Kepulauan,2022,MALARIA,0,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai,2022,MALARIA,24,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali,2022,MALARIA,4,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Poso,2022,MALARIA,10,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Donggala,2022,MALARIA,7,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Toli-Toli,2022,MALARIA,4,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Buol,2022,MALARIA,21,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Parigi Moutong,2022,MALARIA,0,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Tojo Una-Una,2022,MALARIA,99,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Sigi,2022,MALARIA,0,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Laut,2022,MALARIA,2,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali Utara,2022,MALARIA,33,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Kota Palu,2022,MALARIA,14,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Kepulauan,2023,MALARIA,1,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai,2023,MALARIA,5,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali,2023,MALARIA,7,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Poso,2023,MALARIA,1,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Donggala,2023,MALARIA,4,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Toli-Toli,2023,MALARIA,4,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Buol,2023,MALARIA,7,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Parigi Moutong,2023,MALARIA,2,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Tojo Una-Una,2023,MALARIA,442,5,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Sigi,2023,MALARIA,1,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Laut,2023,MALARIA,0,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali Utara,2023,MALARIA,131,1,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Kota Palu,2023,MALARIA,19,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Kepulauan,2024,MALARIA,20,1,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai,2024,MALARIA,94,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali,2024,MALARIA,134,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Poso,2024,MALARIA,55,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Donggala,2024,MALARIA,5,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Toli-Toli,2024,MALARIA,1,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Buol,2024,MALARIA,7,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Parigi Moutong,2024,MALARIA,26,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Tojo Una-Una,2024,MALARIA,400,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Sigi,2024,MALARIA,22,1,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Banggai Laut,2024,MALARIA,2,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Morowali Utara,2024,MALARIA,355,4,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
Sulteng,Kota Palu,2024,MALARIA,20,0,-1,Extracted via opendataloader_pdf (Profil Kesehatan Kemenkes)
