nama_perusahaan,jenis_badan_usaha,provinsi,nib,npwp,telepon,email,alamat,jumlah_izin,jumlah_izin_nikel,jumlah_izin_lainnya,status_iup,komoditas,golongan,lokasi_izin,total_luas_ha,nilai_investasi_usd_juta,nilai_investasi_idr_miliar,tahun_investasi,kapasitas_produksi_ton_tahun,jenis_kapasitas,status_operasional,sumber_data_investasi,sumber_data_kapasitas,catatan
PONGKERU MINERAL UTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,2110240156267,012706485*******,,pongkerumineralutama@yahoo.com,"Gedung Antam Tower A, Desa/Kelurahan Tanjung Barat, Kec. Jagakarsa,
Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta,
Kode Pos: 12530",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,4252.00,,,,,,,,,
PRIMA UTAMA LESTARI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,8120015010858,002618467*******,,,"CFX Tower Lt. 6, Jl. Jend. Gatot Subroto, Kav 35-36, Kelurahan Kuningan Timur, Kecamatan Setiabudi, Kota Jakarta Selatan, Provinsi DKI Jakarta",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,1419.00,,,,,,,,,
SANROY MITRA SAUDARA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1312220036838,002635987*******,,,"JL. JEND. A. YANI NO. 42 B, Desa/Kelurahan Tiga-belas Ulu, Kec.
Seberang Ulu Dua, Kota Palembang, Provinsi Sumatera Selatan,
Kode Pos: 30263",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,6378.00,,,,,,,,,
SULAWESI DAMAI MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,1110240100306,027978069*******,,,"Jalan Sungai Saddang, Kompleks Latanette Plaza, Blok B Nomor 12, Kel. Pisang Selatan, Kec. Ujung Pandang, Kota Makassar, Provinsi Sulawesi Selatan",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,1665.00,,,,,,,,,
SUMBER WAHAU JAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0285010240662,02435460*******,,,JL. KALI BESAR BARAT NO. 40 JAKARTA,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,303.00,,,,,,,,,
TAMBORA RAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,0410230028838,002477401*******,02122907477,pt.tamboraraya@gmail.com,"18 Parc Place SCBD Tower D Lantai 11, Jl Jendral Sudirman Kav 52-53
",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,5082.00,,,,,,,,,
TIZAR TIRZIA TRIZARDI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,9120006950913,099819592*******,085210959897,trizarditizartirzia@gmail.com,"GEDUNG OFFICE EIGHTYEIGHT@KASABKANKA, LANTAI 9 UNIT A, JL. CASABKANKA KAV.88",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,5668.00,,,,,,,,,
VIRGO PUSPITA LESTARI,Perusahaan Perseroan Terbatas (PT),Sulawesi Selatan,2312220035063,001989146*******,,,,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. LUWU TIMUR,2698.00,,,,,,,,,
ALASKA DWIPA PERDANA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120310160177,001965569*******,082184080438,alaska.adp@gmail.com,"World Capital Tower, lantai 39 Jl. Mega Kuningan Barat Lingkar Mega Kuningan No.3",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,480.00,,,,,,,,,
AMANAT SEPUH LESTARI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0110210017085,02310943*******,,,"Jl. Brigjen H. Hasan Basri, Kel. Alalak Selatan, Kec. Banjarmasin Utara, Kota Banjarmasih, Prov. Kalimantan Selatan",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,2516.00,,,,,,,,,
ANEKA USAHA CEMERLANG,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120502882514,002597406*******,,,"Gedung Bursa Efek Indonesia (Indonesia Stock Exchange Building) Tower I, Lantai 29, Suite 2901, Jalan Jenderal Sudirman Kaveling 52-53, Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta 12190",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,2814.00,,,,,,,,,
ANG AND FANG BROTHER,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1411220027318,002821671*******,,,"JL.BOULEVARD JASPER 1 NO 4 PANAKUKANG MAS MAKASSAR & JL. PANGERAN DIPONEGORO 95 AM MAKASSAR 90171 SULAWESI SELATAN. TELP : +624113615560, FAX: +624113610689",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,775.00,,,,,,,,,
ANUGERAH ARGA PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,2308210025595,002137393*******,081280139994___,,"KOMPLEK RUKAN BANDENGAN INDAH BLOK A 29, JL. BANDENGAN UTARA RAYA KAV. 80, RT. 7 / RW. 15, PENJARINGAN, KEC. PENJARINGAN, JAKARTA UTARA, DKI JAKARTA 14440",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,1855.00,,,,,,,,,
ANUGERAH BANGUN MAKMUR,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120102482559,076166931*******,,,"WISMA 46 - Kota BNI, Lantai 44, Jl Jend. Sudirman Kav. 1 Jakarta Pusat, Jakarta 10220",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,4335.00,,,,,,,,,
ANUGERAH BUMI GEMILANG,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120104560229,076167066*******,,,"GEDUNG WISMA 46 KOTA BNI LANTAI 24 JALAN JEND SUDIRMAN KAV 1, KARET TENGSIN, TANAH ABANG, JAKARTA PUSAT 10220",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,4100.00,,,,,,,,,
ANUGERAH SUMBER BUMI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120103520729,002681608*******,,,"WISMA INDOCEMENT LANTAI 17, JL. JEND. SUDIRMAN KAV. 70-71 SETIABUDI",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,199.00,,,,,,,,,
ANUGERAH TOMPIRA NIKEL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0215010111433,002531854*******,,,"Jl. Griya Utama Blok BD N0.15 - 16, Komplek Rukan Puri Mutiara, Sunter - Jakarta Utara",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,1240.00,,,,,,,,,
ARTHA BUMI MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120000891625,002654614*******,,,"GEDUNG OFFICE 8 LT. 11 UNIT A JL JEND. SUDIRMAN KAV 52-53 SCBD LOT. 28, RT 001, RW 002",2,2,0,LEGAL,Nikel,Mineral Logam,"KAB. BOMBANA; KAB. MOROWALI, KAB. MOROWALI UTARA",7112.00,,,,,,,,,
AULIA PRIMA PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0232010202062,002469844*******,,,"Jalan Tanjung Priok Blok 29 E No.11, Kel. Perak Barat, Kec. Krembangan, Kota Surabaya, Provinsi Jawa Timur",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,339.00,,,,,,,,,
Abadi Nikel Nusantara,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1810210037641,02845976*******,,,JL. BOULEVARD RAYA RUKO INKOPAL BLOK A NO. 21-23 KELAPA GADING,1,1,0,LEGAL,Nikel,,KAB. MOROWALI,4871.00,,,,,,,,,
BANGGAI KENCANA PERMAI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0253011170239,002518560*******,,,JL. URIP SUMOHARJO NO. 3 LUWUK KAB. BANGGAI SULTENG,2,2,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,10024.00,,,,,,,,,
BANGGAI MANDIRI PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0217011160433,02518561*******,,,"JL DR. SUTOMO NO.02, LUWUK, LUWUK BANGGAI, SULAWESI TENGAH",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,2267.00,,,,,,,,,
BHAKTIPUTRA PERSADA NUSANTARA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0804230013953,001252557*******,081514404675,bhaktiputrapersadanusantara23@gmail.com,"Prosperity Office Tower Lt 18E, District 8 SCBD Lot 28, Jln. Jenderal Sudirman Kav. 52-53",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,7031.69,,,,,,,,,
BIMA CAKRA PERKASA MINERALINDO,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120016260973,002670831*******,021 29670593,,"APL TOWER CENTRAL PARK LT 38 UNIT T5-T6, JL LETJEN S PARMAN KAV 28 RT.008/RW.008 KEL. TANJUNG DUREN SELATAN, KEC. GROGOL PETAMBURAN, JAKARTA BARAT 11470",1,1,0,LEGAL,Nikel,,KAB. MOROWALI,199.00,,,,,,,,,
BINEKA KARYA,Perusahaan Komanditer (CV),Sulawesi Tengah,9120003991252,01142668*******,081223456188___,,Sisingamangaraja No.09 Palu,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,970.00,,,,,,,,,
BINTANG SINAR PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120202171882,002993138*******,,,"ALAMANDA TOWER LANTAI 25, JL. TB SIMATUPANG KAV 22-26, KELURAHAN CILANDAK BARAT, KECAMATAN CILANDAK, JAKARTA SELATAN",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,1867.70,,,,,,,,,
BINTANGDELAPAN MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120113130318,002506569*******,02180627300,secretariat@bd-em.com,"GEDUNG IMIP, JALAN BATU MULIA 8, Desa/Kelurahan Meruya Utara,
Kec. Kembangan, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta,
Kode Pos: 11620",1,1,0,LEGAL,Nikel,,KAB. MOROWALI,20765.00,,,,,,,,,
BRATAMA MERCINDO ABADI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0110210009907,002381572*******,02158905002,mercindo.bratama@yahoo.com,"Infiniti Office, arcade Business Center 6th Floor Unit 6-03, Desa/Kelurahan Kapuk Muara, Kec. Penjaringan, Kota Adm. Jakarta Utara, Provinsi DKI
Jakarta, Kode Pos: 14470",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,1199.00,,,,,,,,,
BUKIT MAKMUR ISTINDO NIKELTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120102932571,002574727*******,,,GED.BLK.DS.IV TOMPIRA JL. TRANS SULAWESI TOMPIRA PETASIA MOROWALI SULTENG 94671,1,1,0,LEGAL,Nikel,Mineral Logam,"KAB. MOROWALI, KAB. MOROWALI UTARA",4778.00,,,,,,,,,
BUMI GEMILANG PERDANA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120205492397,002597031*******,,,WISMA INDOCEMENT LANTAI 17 JALAN JEND. SUDIRMAN KAV 70 -71 SETIABUDI,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,198.00,,,,,,,,,
BUMI INDAH SULTRA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1273000722892,003107468*******,,,JL. SYECH YUSUF NO.33 KORUMBA MANDONGA - KENDARI,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,8034.00,,,,,,,,,
BUMI KALAENA PERSADA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,3009210019013,002164575*******,085939081996,pt.bumikalaenapersada@gmail.com,Rukan Osaka Nomor G 08 (PIK 2),1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,685.00,,,,,,,,,
BUMI MAKMUR GEMILANG,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120104492092,076126386*******,,,"GEDUNG WISMA 46 KOTA BNI LANTAI 11 JALAN JEND. SUDIRMAN KAV 1, KARET TENGSIN, TANAH ABANG",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,3447.00,,,,,,,,,
BUMI MATANO INDAH,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1296000632829,001735562*******,,,"JL. ANDI MANGERANGI III NO. 16, Desa/Kelurahan Pisang Selatan, Kec.
Ujung Pandang, Kota Makassar, Provinsi Sulawesi Selatan,
Kode Pos: 90114",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,32.00,,,,,,,,,
BUMI MOROWALI UTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120306772953,002742213*******,02129508809,bumimorowaliutama.ptbmu@gmail.com,"Soho Podomoro City Lantai 30 Unit 02, Jalan Letjen S. Parman Kaveling 28",1,1,0,LEGAL,Nikel,,KAB. MOROWALI,1963.00,,,,,,,,,
BUMI PERSADA SURYA PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0238011160537,002518422*******,,,JL. URIP SUMOHARJO NO. 3 LUWUK SULTENG,2,2,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,7941.00,,,,,,,,,
BUMI ROUTA MINING,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1215000322268,003107400*******,,,"JL. AHMAD YANI NO.18, LORONG ILMIAH, KEL. MATAIMOI, KEC. BARUGA, KOTA KENDARI, SULAWESI TENGGARA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,5690.00,,,,,,,,,
C-GONG PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1246000520849,01125693*******,0215360825,perkasa.cgong@gmail.com,Jalan Ahmad Yani No.18,2,2,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,3119.00,,,,,,,,,
CAHAYA GINDA GANDA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1258000140571,002506490*******,02189461523____,,"Summarecon	Bekasi,	Jl.	Bulevar	Selatan	Blok	UB53,	RT.	004,	RW.	011,
 Kelurahan	Marga	Mulya,	Kecamatan	Bekasi	Utara,	Jawa	Barat	17142,
 Desa/Kelurahan	Margamulya,	Kec.	Bekasi	Utara,	Kota	Bekasi,	Provinsi
 Jawa	Barat",1,1,0,LEGAL,Nikel,,KAB. MOROWALI,1942.00,,,,,,,,,
CAHAYA MURNI SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120015160675,002510805*******,02138250302,ptcmsejahtera@gmail.com,Komplek Ruko Grand Wijaya Center Ruko No.H II  Jalan Darmawangsa Raya ,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,5428.00,,,,,,,,,
CAHYA ADITAMA TEKNINDO,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,3011210032796,002655127*******,-,cahya.aditamateknindo@yahoo.com,Mega Legenda 2 Blok C2 No. 21,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,736.00,,,,,,,,,
CETARA BANGUN PERSADA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120204823705,002469754*******,02150106923____,,"Treasury Tower Lantai 18 Unit N, District 8 SCBD Lot 28, Jalan Jendral Sudirman Kav 52-53, Senayan, Kebayoran Baru, Jakarta Selatan",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,199.00,,,,,,,,,
CIPTA HUTAMA MARANTI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120201112949,002119628*******,08111137563____,,"JL.YOS SUDARSO, NOMOR : 56",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,150.28,,,,,,,,,
CITRA ANGGUN BARATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,3012210035168,002216208*******,08114200555____,,"Jl. Kuda Laut No. 8, Komp. Pertamina, Lok Barat, Desa/Kelurahan Lotabat Utara, Kec. Banjarbaru, Kota Banjarbaru, Kalimantan Selatan",1,1,0,LEGAL,Nikel,,KAB. MOROWALI,6080.00,,,,,,,,,
CITRA MOLAMAHU,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0108230091383,001215418*******,08111980748,citraamolamahu@gmail.com,"DESA BUBE,KECAMATAN SUWAWA,KABUPATEN BONE BOLANGO",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,1607.00,,,,,,,,,
COCOMAN,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120207893406,002424087*******,29034306,,"APL TOWER 23 TH FLOOR SIUTE 5 JL. LETJEN S. PARMAN, TJ. DUREN Kel. Tanjung Duren Selatan, Kec. Grogol Petamburan, JAKARTA BARAT",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,190.00,,,,,,,,,
CORE MINERAL RESOURCES,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0245011140136,002827844*******,,,JL KH WAHID HASYIM ATAS NO 56 RT 10 KELURAHAN SEMPAJA SELATAN UTARA,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,2030.00,,,,,,,,,
DELAPAN INTI POWER,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0205010161279,02192476*******,,,"JL. IMAM BONJOL NO. 68 RT. 002 RW. 005, KEL. MENTENG, KEC. MENTENG, JAKARTA PUSAT",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,4941.00,,,,,,,,,
DUA SAUDARA NIKELINDO,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,2706230025342,040612582*******,02122907477____,,"Sona Topas Tower Lt. 5A, Jl. Jendral Sudirman Kav. 26, Desa/Kelurahan Karet Kuningan, Kec. setiabudi, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta,",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,1535.00,,,,,,,,,
EMAS HIJAU JAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1509210037624,002310818*******,082331468249,emashijaujaya2021@gmail.com,JL. A. Yani Kav. 66-67 Plaza Dwima I Lt. 6,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,3580.00,,,,,,,,,
ENERSTEEL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0220004472345,003181772*******,081230296727___,ptenersteel@gmail.com,"Jalan Pejaten Barat II No. 20 Kav. C RT 003 RW 08 Kelurahan Pejaten Barat,  Kecamatan Pasar Minggu, Jakarta Selatan 12510",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,484.00,,,,,,,,,
ERABARU TIMUR LESTARI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120114161994,001871257*******,,,"Neo Soho Residence Unit 3518, Jalan Letjen S. Parman Kavling 28 , ,
Kota Adm. Jakarta Barat, Provinsi DKI JakaRTA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,1159.00,,,,,,,,,
FADLAN MULIA JAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0220008433605,01732135*******,02130493218____,,"Lippo Tower Office St. Moritz Unit 16.01 Jl. Puri Indah Raya, Blok U 13, St. Moritz, CBD, Jakarta Barat-11610",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,199.00,,,,,,,,,
FAJAR PRIMA SUKSES,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0610210030579,002001997*******,,,"SOHO CAPITAL Lt. 32 Unit 7 Jl. Letjen. S. Parman Kav. 28, Kel. Tanjung Duren Selatan, Kec. Grogol Petamburan.
Kode Pos: 11470",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,640.00,,,,,,,,,
GALIH INSTRUMENTASI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1212220020422,002091231*******,,,"Office EightyEight@Kasablanka, Lt. 9 Unit A,  Jl. Casablanka Kav.88, Desa/Kelurahan Menteng Dalam, Kec. Tebet, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,1621.00,,,,,,,,,
GEMA RIPAH PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,0293010251178,001484836*******,,,Menara Pertiwi lantai 37 unit c-d Jalan Mega Kuningan Barat III Kav 10.1 No 3,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,145.00,,,,,,,,,
GEMILANG BANGUN PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120102402097,081030524*******,,,"Gedung Wisma 46 Kota BNI Lt. 11, Jl. Jend Sudirman Kav I, Karet Tengsin, Tanah Abang, Kota Adm. Jakarta Pusat, DKI Jakarta, 10220",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,4398.00,,,,,,,,,
GEMILANG MANDIRI PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120203191751,002574896*******,,,"WISMA 46 KOTA BNI LT. 11, JL. JEND SUDIRMAN KAV.01, KEL. KARET TENGSIN,  KEC. TANAH ABANG",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BANGGAI,4677.00,,,,,,,,,
GENBA MULTI MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,8120102912903,002500163*******,02130027479____,,"Perwata Tower Lantai 2 Suite Blok D-E-F, Pluit Selatan Raya Kavling 1, Komplek Kawasan CBD Pluit Jakarta Utara 14440 - Indonesia",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,3744.00,,,,,,,,,
GHANESA WANA UTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,9120107512931,001344281*******,08176907777/08129654811,ghanesawanautama1@gmail.com,Puri Kencana Utama II Blok M4 No. 1C,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,199.50,,,,,,,,,
GITA FLORA,Perusahaan Komanditer (CV),Sulawesi Tengah,2501220047189,002733681*******,,,"SONA TOPAS TOWER LANTAI 5A, JL. JENDRAL SUDIRMAN, KAVLING
26, Desa/Kelurahan Karet Kuningan, Kec. Setiabudi, Kota Adm. Jakarta
Selatan, Provinsi DKI Jakarta,
Kode Pos: 12920",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,624.00,,,,,,,,,
GRAHA MINING UTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,1111210029158,031625142*******,082293456333,grahaminingutama123@gmail.com,Jl. Chairil Anwar No.23 Palu,2,2,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI,1726.53,,,,,,,,,
GUNUNG WANGI NIKELINDO,Perusahaan Perseroan Terbatas (PT),Sulawesi Tengah,2706230022809,040612457*******,02122907477,ptgunungwanginikelindo@gmail.com,"Gedung Office 8, Level 18-A, Jalan Senopati No. 8B",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. MOROWALI UTARA,5093.00,,,,,,,,,
