nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,tahap_kegiatan,Provinsi,lokasi_perizinan,Tahun,luas_ha
GEMILANG MANDIRI PERKASA,540/520/DESDM-G.ST/2015,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2015,4677.0
GEMILANG MULTI MINERAL,606 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2014,5645.0
GENBA MULTI MINERAL,1/I/IUP/PMA/2016,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2016,3744.0
GENERASI AGUNG PERKASA,917/DPM-PTSP/XI/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2018,584.0
GEOMINERAL INTI PERKASA,137/DPMPTSP/III/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2014,1398.0
GERBANG MULTI SEJAHTERA,582/DPM-PTSP/VII/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2018,2301.62
GERBANG NUSANTARA,91201172531090013,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA UTARA,2024,59.85
GHANESA WANA UTAMA,1072/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,199.5
GIO NIKEL NUSANTARA,684/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tenggara,KOTA KENDARI,2021,0.0
GIRI MORI SEJAHTERA,10112100492270009,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,45.0
GITA FLORA,15/1/IUP/PMDN/2024,Perusahaan Komanditer (CV),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,624.0
GITA PERKASA MINERALINDO,1799/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,160.0
GLOBAL CITRA KONAWE UTARA,12070006123870004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2023,71.32
GORONTALO MINERALS,139.K/30/DJB/2019,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE BOLANGO,2019,24995.0
GOSYEN ALAM SEJAHTERA,14102200014540005,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,11.0
GRAHA BATU PERDANA,12180003004950003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,122.36
GRAHA ISTIKA UTAMA,91200088613430004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,61.5
GRAHA MINING UTAMA,252/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,1102.0
GRAHA OGE PERKASA,22022300707570004,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,30.57
GRAHA TUNGGAL TATA PERSADA,91200079110990001,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,54.27
GRAHA VEGA TODEA,24012300055760006,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,33.54
GUNUNG BATU ULTIMA,12760002208380002,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,39.22
GUNUNG KAPUR GENERASI MANDIRI,27092200579370005,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,43.13
GUNUNG SUKSES VANI,19012300842290006,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,35.24
GUNUNG WANGI NIKELINDO,24/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,5093.0
HADAF KARYA MANDIRI,30/I.03/PTSP/2019,Perusahaan Komanditer (CV),Emas,OPERASI PRODUKSI,Sulawesi Selatan,KAB. ENREKANG,2019,1000.0
HADJU PUTRA MANDIRI,12940002004170008,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,124.64
HAMPARAN PER KASA,91202045129840003,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,20.08
HANGTIAN NUR CAHAYA,07072200530820005,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,47.7
HANKING MAKMUR NICKELSMELT,91201045428960002,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tenggara,KAB. KONAWE UTARA,2024,0.0
HARAPAN BARU,650/1/IUP/PMDN/2022,Perusahaan Komanditer (CV),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2022,64.0
HARAPAN BARU SEJATI,02960111006580002,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2023,12.0
HASILINDO UTAMA INVESTAMA,91201111326150002,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Barat,KAB. POLEWALI MANDAR,2024,49.48
HASNI GORONTALO SEJAHTERA,23122200212120001,Perusahaan Komanditer (CV),Andesit,EKSPLORASI,Sulawesi Selatan,KAB. BONE BOLANGO,2024,3.0
HASTARI NAWASENA ENERGI,21032300883640010,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,60.0
HEMDEV MINERAL PERKASA,11082300692330011,Perusahaan Perseroan Terbatas (PT),Batu Gamping,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,98.7
HENGJAYA MINERALINDO,540/345/IUP-OP-PENCIUTAN/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2020,5983.0
HOFFMEN ENERGI PERKASA,91202097609280006,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,18.0
HOFFMEN INTERNATIONAL,540/571/IUP-OP-PENCIUTAN/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,585.0
HOMKEY INTI PRIMA,2/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE,2024,4870.0
HORAS MANDIRI TO MARIO,08092200509730004,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAJENE,2023,10.5
ILHAM AFIQ MANDIRI,30102301158560002,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PINRANG,2024,13.15
ILHAM JAYA PUTRA,08122200029030002,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),EKSPLORASI,Sulawesi Selatan,KAB. MAROS,2024,6.69
ILYAS KARYA,1063/ l/IUP/PMDN/2022,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2022,71.06
INDAKO BANGUN PERSADA,91201067019520001,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2024,13.07
INDOBERKAH JAYA MANDIRI,188.4.45/KEP.0252/DESDM/2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2014,196.0
INDOLOGO SEJAHTERA,02201086202290002,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,31.37
INDONUSA ARTA MULYA,611 Tahun 2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2014,394.0
INDOTAMBANG PASIR UTAMA,27072200825840001,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. TOJO UNA-UNA,2024,24.0
INDRABAKTI MUSTIKA,230 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2014,576.0
INIA MPUU SEJAHTERA,12082200437060011,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,90.58
INTEGRA MINING NUSANTARA INDONESIA,540/260/IUP-OP/AFI/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2019,199.0
INTI KONSTRUKSI ABADI,18112200438180010,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Barat,KAB. PASANGKAYU,2024,5.8
IRMA SIBE,407/1/IUP/PMDN/2022,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. SIDENRENG RAPPANG,2021,5.0
IRWAN,34/I.03.P/P2T/12/2016,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. SIDENRENG RAPPANG,2021,5.33
JAGAD RAYATAMA,89/DPM-PTSP/I/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2017,1670.0
JASATAMA MANDIRI SUKSES,12600001225250002,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,85.73
JAYA PASIR ANDALAN,24102301292470004,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Barat,KAB. MAMUJU,2024,13.9
JAYASINERGI MINERAL NUSANTARA,02200005622690003,Perusahaan Perseroan Terbatas (PT),Tanah Urug,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2024,303.26
J RESOURCES BOLAANG MONGONDOW,175.K/30/DJB/2020,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Utara,"KAB. BOLAANG MONGONDOW, KAB. BOLAANG MONGONDOW TIMUR, KAB. BOLAANG MONGONDOW SELATAN",2020,38150.0
JUBA PRATAMA,02190101329510001,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2022,8.98
JUYOMI SINAR LABUAN,81201059028630005,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,19.5
KALLA AREBAMMA,2/I.03G.P/P2T/10/2017,Perusahaan Perseroan Terbatas (PT),Besi,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU UTARA,2017,6812.0
KALLA AREBAMMA,1/I03g.P/P2T/10/2017,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU UTARA,2017,12010.0
KALOMANG BIRU PERSADA,811/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BARRU,2022,1000.0
KALOMANG BIRU PERSADA,79/I.03.P/P2T/12/2017,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BARRU,2017,109.08
KALTIM KHATULISTIWA,91203054700540012,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,35.0
KARIVAN MUDA PRATAMA,91200035321360007,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. PARIGI MOUTONG,2023,20.06
KARONA MEMBANGUN INDONESIA,06012200430830006,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Tengah,KAB. SIGI,2024,38.68
KARYA ALAM ABADI,730/DPMPTSP/XII/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2017,1036.0
KARYADEKA MANADOKU,91202110611450044,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Utara,KAB. MINAHASA,2024,15.4
KARYA ENERGI MAKMUR,1148/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2022,3803.0
KARYA JAYA BAROQAH,05092401059510001,Perusahaan Komanditer (CV),Diorit,EKSPLORASI,Gorontalo,KAB. GORONTALO,2024,5.96
KARYA MEGAH BUTON,118 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2014,830.79
KARYA SOPAI SEJAHTERA,91203068308910026,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2024,19.92
KARYATAMA KONAWE UTARA,34/1/IUP/PMA/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2017,3119.0
KASMAR POLEANG RAYA,12060001421010013,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2023,3386.01
KASMAR TIAR RAYA,788/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA UTARA,2021,955.0
Kawan Kita Lestari,91201058216490010,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2023,20.0
KEINZ VENTURA,1054/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,1205.0
KELOMPOK DELAPAN INDONESIA,233/DPMPTSP/V/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2020,226.51
KEMILAU BERSAMA SAHABAT,30062200216060003,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2024,78.25
KENCANA BUMI MINERAL,540/042/IUP-OP/DPMPTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2018,2549.0
KENCANA NUSANTARA SAKTI,47/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,2815.0
KHATULISTIWA MINERAL AND MINING,1046/ 1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,169.2
KINSTON SULUTINDO,81201099816060007,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Utara,KAB. MINAHASA,2024,6.84
KISWAH PERDANA,1591/1IUP/PMDN/2021,Perusahaan Komanditer (CV),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2021,43.32
KONAWEHA MAKMUR,91202014210170006,Perusahaan Perseroan Terbatas (PT),Peridotit,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE,2023,9.0
KONINIS FAJAR MINERAL,540/615/IUP-OP/P/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2020,2738.0
KONUTARA SEJATI,27/I/IUP/PMA/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2017,1923.0
KOPERASI PRODUSEN UNIT DESA NOMONTANG,503/DPMPTSPD/IUP-OP/285/X/2019,Koperasi,Emas,OPERASI PRODUKSI,Sulawesi Utara,KAB. BOLAANG MONGONDOW TIMUR,2019,215.1
KREASI KARBONAT UTAMA,20122200805430009,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,39.85
KULAKA JAYA PERKASA,321/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Pasir Laut,OPERASI PRODUKSI,Sulawesi Barat,KAB. PASANGKAYU,2021,1000.0
KURNIA PURNAMA MINERAL,02112302026250032,Perusahaan Perseroan Terbatas (PT),Batu Kuarsa,OPERASI PRODUKSI,Sulawesi Tengah,KAB. TOLI TOLI,2024,39.0
KURNIA TEKNIK JAYATAMA,162/DPM-PTSP/II/2018,Perusahaan Perseroan Terbatas (PT),Kromit,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA UTARA,2018,1088.0
KYARA SUKSES MANDIRI,91200025011750003,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tenggara,KAB. KONAWE UTARA,2023,0.0
LABOTA BAHODOPI SORAJAI,540/680/IUP-OP/DPMPTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2018,608.0
LABUAN LELEA RATAN,91203059101210003,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,15.0
LAEYA CIPTA GUNA,606/DPMPTSP/X/2019,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2019,1185.0
LAHAN NUSANTARA PERKASA,08032200594450006,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,47.0
LALOMERUI PERKASA,05092100274640006,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE,2023,7.34
LAMBOO INTI PASIR SILIKA,31122200113880002,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,145.26
LANDO RUNDU,12020004804640004,Perusahaan Komanditer (CV),Tras,OPERASI PRODUKSI,Sulawesi Selatan,KAB. SIDENRENG RAPPANG,2024,23.0
LAROENAI BUNGSEL SORAJAI,540/652/IUP-OP/DPMPTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2018,256.0
LAUTAN BERKAH NUSANTARA,743A TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2014,280.0
LEWUTO BIMA PERSADA,91203130427550003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,178.8
LIBAS PERKASA NUSANTARA,11012400347290002,Perusahaan Perseroan Terbatas (PT),Pasir,EKSPLORASI,Sulawesi Barat,KAB. PASANGKAYU,2024,36.1
LINGKE SULAWESI MINERAL,31/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,EKSPLORASI,Sulawesi Selatan,KAB. LUWU TIMUR,2024,943.0
LINTAS STONE MINERAL,20122200812630006,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2024,53.64
LION GLOBAL ENERGI,54/DPMESDM-TRANS/IUP-OP/VI/2018,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Gorontalo,KAB. GORONTALO,2018,4981.0
LOGAM JAYA UTAMA,91203120415160002,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,58.3
LUWUK GAS SEJATI,16/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,3172.0
MADUMA ASIH PRATAMA,04/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU TIMUR,2024,7069.0
MAEGA ANUGRAH,02202001225770003,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,30.5
MAHKOTA PERKASA GROUP,03102204118430004,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. PARIGI MOUTONG,2024,39.5
MAHLIGAI ARTHA SEJAHTERA,992/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2021,514.0
Maju Bersama,91203152711920008,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Barat,KAB. PASANGKAYU,2023,24.7
MAKARTI PADABAHO SORAJAI,540/681/IUP-OP/DPMPTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2018,1135.0
MAKMUR AGUNG PERKASA,91202131826250003,Perusahaan Perseroan Terbatas (PT),Marmer,EKSPLORASI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,10.87
MAKMUR LESTARI PRIMATAMA,407 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2014,407.0
MAKMUR TAMIN RAYA,20072200410830019,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,53.0
MANAKARRA MULTI MINING,02112100500160012,Perusahaan Perseroan Terbatas (PT),Mangan,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAMUJU,2022,132.0
MANUNGGAL MULTI STONE,20012300452030008,Perusahaan Perseroan Terbatas (PT),Batuan,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,15.8
MANUNGGAL SARANA SURYA PRATAMA,609 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2014,284.92
MANYOI MANDIRI,25/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2023,1731.62
MAPAN MULIA MAKMUR,91202111309850011,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2024,666.04
MARAKTI MINERAL RESOURCES,19112300345280003,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,EKSPLORASI,Sulawesi Tenggara,KAB. BOMBANA,2024,146.23
MARAKTI MINERAL SEJAHTERA,18112300088660003,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE UTARA,2024,265.28
MARALES JAYA SENTOSA,91200170815610003,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,40.0
MARGO KARYA MANDIRI,607/DPMPTSP/X/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2020,2128.0
MARMER ALAM SULAWESI,01082300949260005,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,26.9
MASMINDO DWI AREA,171.K/30/DJB/2018,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU,2018,14390.0
MATAIWOI JAYA MAKMUR,91201120913740004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2024,100.04
MATTAPPA,19052200493620003,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Selatan,KAB. WAJO,2024,6.55
MEARES SOPUTAN MINING,323.K/30/DJB/2015,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Utara,"KAB. MINAHASA UTARA, KOTA BITUNG",2015,8969.0
MEGA BATU MATTIROWALIE,02022300255860001,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Selatan,KAB. SOPPENG,2023,13.71
MEGANITA BUANA PRATAMA,21082300857630001,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,18.56
MEGA TAMBANG INDONESIA,223/BKPMD-PTSP/IX/2015,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2015,1758.0
MEGA TAMBANG NIKEL,839/DPMPTSP/XII/2019,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2016,2466.0
