provinsi,tahun,indikator,nilai,satuan,Sumber
Sulawesi Selatan,2021,Investasi PMDN - Jumlah Proyek,1994.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2020,Investasi PMDN - Jumlah Proyek,552.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2021,Investasi PMDN - Jumlah Proyek,954.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2020,Investasi PMDN - Jumlah Proyek,291.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2021,Investasi PMDN - Jumlah Proyek,364.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2020,Investasi PMDN - Jumlah Proyek,113.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2021,Investasi PMDN - Jumlah Proyek,191.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2022,Investasi PMDN - Jumlah Proyek,1290.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Utara,2023,Investasi PMDN - Jumlah Proyek,2744.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2022,Investasi PMDN - Jumlah Proyek,1576.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tengah,2023,Investasi PMDN - Jumlah Proyek,2145.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2022,Investasi PMDN - Jumlah Proyek,3328.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Selatan,2023,Investasi PMDN - Jumlah Proyek,8070.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2022,Investasi PMDN - Jumlah Proyek,988.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Tenggara,2023,Investasi PMDN - Jumlah Proyek,2166.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2022,Investasi PMDN - Jumlah Proyek,580.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Gorontalo,2023,Investasi PMDN - Jumlah Proyek,996.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2022,Investasi PMDN - Jumlah Proyek,249.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
Sulawesi Barat,2023,Investasi PMDN - Jumlah Proyek,880.0,Proyek,nasional_investasi_pmdn_2016_2024.csv
