No,Provinsi,Target Penemuan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Balita,,,,,,,
9,Kep. Bangka Belitung,2.184,5.685,7.869,5,19,24,"0,23","0,33","0,30"
10,Kepulauan Riau,364,495,859,0,0,0,"0,00","0,00","0,00"
11,DKI Jakarta,12.898,26.857,39.755,16,35,51,"0,12","0,13","0,13"
12,Jawa Barat,66.550,113.807,180.357,72,0,72,"0,11","0,00","0,04"
13,Jawa Tengah,11.113,25.166,36.279,0,1,1,"0,00","0,00","0,00"
14,DI Yogyakarta,842,1.987,2.829,46,84,130,"5,46","4,23","4,60"
15,Jawa Timur,30.792,65.295,96.087,0,0,0,"0,00","0,00","0,00"
16,Banten,11.552,21.426,32.978,15,30,45,"0,13","0,14","0,14"
17,Bali,1.767,3.964,5.731,8,8,16,"0,45","0,20","0,28"
18,Nusa Tenggara Barat,9.739,15.133,24.872,3,5,8,"0,03","0,03","0,03"
19,Nusa Tenggara Timur,1.007,1.357,2.364,3,5,8,"0,30","0,37","0,34"
20,Kalimantan Barat,902,1.889,2.791,0,0,0,"0,00","0,00","0,00"
21,Kalimantan Tengah,146,262,408,2,4,6,"1,37","1,53","1,47"
22,Kalimantan Selatan,5.131,9.633,14.764,27,44,71,"0,53","0,46","0,48"
23,Kalimantan Timur,2.789,5.039,7.828,0,1,1,"0,00","0,02","0,01"
24,Kalimantan Utara,-,-,--,-,-,-,-,-,-
25,Sulawesi Utara,202,551,753,4,5,9,"1,98","0,91","1,20"
26,Sulawesi Tengah,3.477,6.675,10.152,1,1,2,"0,03","0,01","0,02"
27,Sulawesi Selatan,682,1.763,2.445,1,1,2,"0,15","0,06","0,08"
28,Sulawesi Tenggara,972,2.290,3.262,2,4,6,"0,21","0,17","0,18"
29,Gorontalo,1.640,2.586,4.226,42,72,114,"2,56","2,78","2,70"
30,Sulawesi Barat,431,1.101,1.532,2,10,12,"0,46","0,91","0,78"
31,Maluku,98,149,247,0,0,0,"0,00","0,00","0,00"
32,Maluku Utara,234,399,633,17,75,92,"7,26","18,80","14,53"
33,Papua Barat,-,-,--,-,-,-,-,-,-
34,Papua,-,-,--,-,-,-,-,-,-
Indonesia,,190.757,363.893,554.650,325,552,877,"0,17","0,15","0,16"
