,,Tar,get Renstra 2,019 : 85%,,,,,,,,,,,,,,,
32,Maluku Utara,-,-,-,1,"4,76",243,5,"23,81",540,12,"57,14",576,3,"14,29",59,,,
33,Papua Barat,-,-,-,-,-,-,6,"31,58",755,11,"57,89",599,2,"10,53",48,,,
34,Papua,-,-,-,2,"4,55",484,14,"31,82",2.386,22,"50,00",989,6,"13,64",196,,,
Indonesia,,60,"2,09",28.628,428,"14,88",98.472,1.484,"51,58",142.982,846,"29,41",45.718,59,"2,05",1.196,,,
No,Provinsi,2018,,,,2019,,,,,,,,,,,,,
,,Estimasi Jumlah Penduduk 2018,Total,,,Estimasi Jumlah Penduduk 2019,Total,,,,,,,,,,,,
,,,RS,TT,,,RS,TT,,,,,,,,,,,
,,,,Jumlah,Rasio,,,Jumlah,Rasio,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,,,
1,Aceh,5.281.314,67,8.449,"1,60",5.371.532,69,8.576,"1,60",,,,,,,,,,
2,Sumatera Utara,14.415.391,211,22.205,"1,54",14.562.549,217,21.979,"1,51",,,,,,,,,,
3,Sumatera Barat,5.382.077,77,7.040,"1,31",5.441.197,78,7.043,"1,29",,,,,,,,,,
4,Riau,6.814.909,73,6.652,"0,98",6.971.745,74,6.811,"0,98",,,,,,,,,,
5,Jambi,3.570.272,41,4.086,"1,14",3.624.579,40,4.038,"1,11",,,,,,,,,,
6,Sumatera Selatan,8.370.320,78,9.045,"1,08",8.470.683,84,8.996,"1,06",,,,,,,,,,
7,Bengkulu,1.963.300,23,2.346,"1,19",1.991.838,24,2.618,"1,31",,,,,,,,,,
8,Lampung,8.370.485,77,7.582,"0,91",8.447.737,78,7.640,"0,90",,,,,,,,,,
9,Kep. Bangka Belitung,1.459.873,24,1.929,"1,32",1.488.792,25,2.061,"1,38",,,,,,,,,,
10,Kepulauan Riau,2.136.521,33,3.083,"1,44",2.189.653,33,3.048,"1,39",,,,,,,,,,
11,DKI Jakarta,10.467.629,203,24.352,"2,33",10.557.810,190,23.664,"2,24",,,,,,,,,,
12,Jawa Barat,48.683.861,350,41.572,"0,85",49.316.712,361,43.042,"0,87",,,,,,,,,,
13,Jawa Tengah,34.490.835,290,39.657,"1,15",34.718.204,304,40.921,"1,18",,,,,,,,,,
14,DI Yogyakarta,3.802.872,82,6.905,"1,82",3.842.932,83,6.578,"1,71",,,,,,,,,,
15,Jawa Timur,39.500.851,381,42.266,"1,07",39.698.631,384,44.069,"1,11",,,,,,,,,,
16,Banten,12.689.736,112,11.038,"0,87",12.927.316,116,11.222,"0,87",,,,,,,,,,
17,Bali,4.292.154,65,6.595,"1,54",4.336.923,68,6.913,"1,59",,,,,,,,,,
18,Nusa Tenggara Barat,5.013.687,36,3.556,"0,71",5.070.385,37,3.767,"0,74",,,,,,,,,,
19,Nusa Tenggara Timur,5.371.519,50,4.365,"0,81",5.456.203,52,4.531,"0,83",,,,,,,,,,
20,Kalimantan Barat,5.001.664,48,5.153,"1,03",5.069.127,51,5.507,"1,09",,,,,,,,,,
21,Kalimantan Tengah,2.660.209,26,2.425,"0,91",2.714.859,26,2.556,"0,94",,,,,,,,,,
22,Kalimantan Selatan,4.182.695,44,4.781,"1,14",4.244.096,46,5.130,"1,21",,,,,,,,,,
23,Kalimantan Timur,3.648.835,54,6.700,"1,84",3.721.389,55,6.091,"1,64",,,,,,,,,,
24,Kalimantan Utara,716.407,10,1.008,"1,41",742.245,10,1.085,"1,46",,,,,,,,,,
25,Sulawesi Utara,2.484.392,46,5.219,"2,10",2.506.981,47,5.378,"2,15",,,,,,,,,,
26,Sulawesi Tengah,3.010.443,37,4.111,"1,37",3.054.023,38,4.409,"1,44",,,,,,,,,,
27,Sulawesi Selatan,8.771.970,106,13.389,"1,53",8.851.240,111,14.233,"1,61",,,,,,,,,,
28,Sulawesi Tenggara,2.653.654,34,2.871,"1,08",2.704.737,36,2.822,"1,04",,,,,,,,,,
29,Gorontalo,1.185.492,14,1.864,"1,57",1.202.631,14,2.001,"1,66",,,,,,,,,,
30,Sulawesi Barat,1.355.554,12,1.231,"0,91",1.380.256,12,1.266,"0,92",,,,,,,,,,
31,Maluku,1.773.776,28,2.471,"1,39",1.802.870,30,2.126,"1,18",,,,,,,,,,
32,Maluku Utara,1.232.632,20,1.355,"1,10",1.255.771,21,1.418,"1,13",,,,,,,,,,
33,Papua Barat,937.458,18,1.292,"1,38",959.617,19,1.402,"1,46",,,,,,,,,,
34,Papua,3.322.526,43,4.117,"1,24",3.379.302,44,4.055,"1,20",,,,,,,,,,
Indonesia,,265.015.313,2.813,310.710,"1,17",268.074.565,2.877,316.996,"1,18",,,,,,,,,,
No,Provinsi,Dokter Spesialis a,,,Dokter Umum,,,Total,,,Dokter Gigi Spesialis,,,Dokter Gigi,,,Total,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
1,Aceh,356,342,698,465,1.050,1.515,821,1.392,2.213,5,13,18,65,300,365,70,313,383
2,Sumatera Utara,905,545,1.450,953,2.018,2.971,1.858,2.563,4.421,18,25,43,128,621,749,146,646,792
3,Sumatera Barat,404,351,755,317,924,1.241,721,1.275,1.996,7,11,18,64,378,442,71,389,460
4,Riau,349,220,569,453,984,1.437,802,1.204,2.006,6,8,14,65,358,423,71,366,437
5,Jambi,198,120,318,270,588,858,468,708,1.176,10,8,18,47,182,229,57,190,247
6,Sumatera Selatan,366,298,664,352,866,1.218,718,1.164,1.882,11,14,25,65,213,278,76,227,303
7,Bengkulu,97,78,175,150,288,438,247,366,613,2,5,7,22,105,127,24,110,134
8,Lampung,396,184,580,440,863,1.303,836,1.047,1.883,4,11,15,35,157,192,39,168,207
9,Kep. Bangka Belitung,99,63,162,201,317,518,300,380,680,5,5,10,32,69,101,37,74,111
10,Kepulauan Riau,212,118,330,206,396,602,418,514,932,16,9,25,37,120,157,53,129,182
11,DKI Jakarta,2.785,2.299,5.084,1.940,4.341,6.281,4.725,6.640,11.365,204,443,647,369,1.506,1.875,573,1.949,2.522
12,Jawa Barat,1.833,1.198,3.031,2.167,3.573,5.740,4.000,4.771,8.771,72,116,188,267,1.195,1.462,339,1.311,1.650
13,Jawa Tengah,2.224,1.358,3.582,2.432,3.733,6.165,4.656,5.091,9.747,63,106,169,308,1.081,1.389,371,1.187,1.558
14,DI Yogyakarta,542,458,1.000,481,933,1.414,1.023,1.391,2.414,49,83,132,82,329,411,131,412,543
15,Jawa Timur,2.726,1.793,4.519,2.573,3.710,6.283,5.299,5.503,10.802,126,200,326,414,1.492,1.906,540,1.692,2.232
16,Banten,616,496,1.112,724,1.290,2.014,1.340,1.786,3.126,19,41,60,72,474,546,91,515,606
17,Bali,737,393,1.130,736,785,1.521,1.473,1.178,2.651,17,16,33,138,363,501,155,379,534
18,Nusa Tenggara Barat,191,144,335,346,493,839,537,637,1.174,3,11,14,33,129,162,36,140,176
19,Nusa Tenggara Timur,64,71,135,218,381,599,282,452,734,1,0,1,28,111,139,29,111,140
20,Kalimantan Barat,162,90,252,303,387,690,465,477,942,5,8,13,38,98,136,43,106,149
21,Kalimantan Tengah,125,94,219,224,322,546,349,416,765,4,6,10,24,77,101,28,83,111
22,Kalimantan Selatan,286,161,447,264,528,792,550,689,1.239,11,15,26,70,163,233,81,178,259
23,Kalimantan Timur,278,187,465,298,583,881,576,770,1.346,11,24,35,62,199,261,73,223,296
24,Kalimantan Utara,63,38,101,107,141,248,170,179,349,2,3,5,14,32,46,16,35,51
25,Sulawesi Utara,226,176,402,303,635,938,529,811,1.340,1,5,6,38,89,127,39,94,133
26,Sulawesi Tengah,108,134,242,181,314,495,289,448,737,1,3,4,32,104,136,33,107,140
27,Sulawesi Selatan,490,588,1.078,430,1.029,1.459,920,1.617,2.537,22,55,77,118,568,686,140,623,763
28,Sulawesi Tenggara,100,87,187,192,361,553,292,448,740,0,4,4,37,140,177,37,144,181
29,Gorontalo,68,56,124,94,165,259,162,221,383,1,1,2,12,50,62,13,51,64
30,Sulawesi Barat,42,41,83,76,149,225,118,190,308,2,4,6,17,70,87,19,74,93
31,Maluku,49,40,89,90,224,314,139,264,403,1,1,2,12,40,52,13,41,54
32,Maluku Utara,45,36,81,93,150,243,138,186,324,3,1,4,13,35,48,16,36,52
33,Papua Barat,50,33,83,86,133,219,136,166,302,1,0,1,10,29,39,11,29,40
34,Papua,76,55,131,225,354,579,301,409,710,1,1,2,19,57,76,20,58,78
Indonesia,,17.268,12.345,29.613,18.390,33.008,51.398,35.658,45.353,81.011,704,1.256,1.960,2.787,10.934,13.721,3.491,12.190,15.681
No,Provinsi,Dokter Spesialis a,,,Dokter Umum,,,Total,,,Dokter Gigi Spesialis,,,Dokter Gigi,,,Total,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
1,Aceh,356,342,698,244,474,718,600,816,1.416,5,13,18,23,71,94,28,84,112
2,Sumatera Utara,911,553,1.464,535,864,1.399,1.446,1.417,2.863,18,26,44,45,143,188,63,169,232
3,Sumatera Barat,404,347,751,201,462,663,605,809,1.414,7,10,17,23,93,116,30,103,133
4,Riau,347,220,567,246,419,665,593,639,1.232,6,8,14,26,95,121,32,103,135
5,Jambi,193,117,310,125,253,378,318,370,688,10,8,18,15,58,73,25,66,91
6,Sumatera Selatan,366,295,661,216,438,654,582,733,1.315,11,13,24,21,90,111,32,103,135
7,Bengkulu,97,78,175,65,139,204,162,217,379,2,5,7,6,37,43,8,42,50
8,Lampung,396,184,580,239,405,644,635,589,1.224,4,10,14,22,50,72,26,60,86
9,Kep. Bangka Belitung,96,64,160,111,163,274,207,227,434,5,5,10,9,23,32,14,28,42
10,Kepulauan Riau,208,117,325,110,145,255,318,262,580,14,9,23,14,37,51,28,46,74
11,DKI Jakarta,2.751,2.269,5.020,958,1.789,2.747,3.709,4.058,7.767,195,419,614,124,492,616,319,911,1.230
12,Jawa Barat,1.802,1.170,2.972,1.088,1.484,2.572,2.890,2.654,5.544,71,114,185,93,368,461,164,482,646
13,Jawa Tengah,2.206,1.333,3.539,1.270,1.605,2.875,3.476,2.938,6.414,60,98,158,129,337,466,189,435,624
14,DI Yogyakarta,543,459,1.002,301,488,789,844,947,1.791,46,73,119,46,99,145,92,172,264
15,Jawa Timur,2.652,1.733,4.385,1.451,1.757,3.208,4.103,3.490,7.593,121,190,311,154,407,561,275,597,872
16,Banten,621,494,1.115,423,576,999,1.044,1.070,2.114,19,41,60,21,141,162,40,182,222
17,Bali,715,379,1.094,398,433,831,1.113,812,1.925,17,15,32,48,125,173,65,140,205
18,Nusa Tenggara Barat,189,142,331,199,263,462,388,405,793,3,11,14,6,37,43,9,48,57
19,Nusa Tenggara Timur,64,70,134,89,155,244,153,225,378,1,0,1,3,26,29,4,26,30
20,Kalimantan Barat,160,91,251,134,185,319,294,276,570,5,7,12,18,28,46,23,35,58
21,Kalimantan Tengah,127,96,223,112,131,243,239,227,466,4,6,10,10,17,27,14,23,37
22,Kalimantan Selatan,285,158,443,139,209,348,424,367,791,10,15,25,27,47,74,37,62,99
23,Kalimantan Timur,279,186,465,168,273,441,447,459,906,11,24,35,21,51,72,32,75,107
24,Kalimantan Utara,62,38,100,68,83,151,130,121,251,2,3,5,2,8,10,4,11,15
25,Sulawesi Utara,225,176,401,165,278,443,390,454,844,1,6,7,19,48,67,20,54,74
26,Sulawesi Tengah,106,131,237,87,148,235,193,279,472,1,3,4,9,33,42,10,36,46
27,Sulawesi Selatan,488,582,1.070,230,423,653,718,1.005,1.723,22,54,76,37,160,197,59,214,273
28,Sulawesi Tenggara,100,89,189,105,137,242,205,226,431,0,4,4,13,37,50,13,41,54
29,Gorontalo,66,56,122,57,77,134,123,133,256,1,1,2,5,11,16,6,12,18
30,Sulawesi Barat,42,41,83,39,58,97,81,99,180,2,4,6,5,16,21,7,20,27
31,Maluku,49,39,88,42,87,129,91,126,217,1,1,2,6,12,18,7,13,20
32,Maluku Utara,44,36,80,51,77,128,95,113,208,3,1,4,5,5,10,8,6,14
33,Papua Barat,48,32,80,53,70,123,101,102,203,1,0,1,7,15,22,8,15,23
34,Papua,76,54,130,119,164,283,195,218,413,1,1,2,10,25,35,11,26,37
Indonesia,,17.074,12.171,29.245,9.838,14.712,24.550,26.912,26.883,53.795,680,1.198,1.878,1.022,3.242,4.264,1.702,4.440,6.142
No,Provinsi,Dokter Spesialis Dasar,,,,Dokter Spesialis Penunjang,,,,,Spesialis Lain,Dokter Gigi Spesialis,Total,,,,,,
,,Spesialis Penyakit Dalam,Spesialis Obstetri dan Ginekologi,Spesialis Anak,Spesialis Bedah,Spesialis Radiologi,Spesialis Anestesi,Spesialis Patologi Klinik,Spesialis Patologi Anatomi,Spesialis Rehabilitasi Medik,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,119,78,86,56,24,51,33,6,5,250,18,726,,,,,,
2,Sumatera Utara,226,201,189,111,42,91,78,27,5,559,49,1.578,,,,,,
3,Sumatera Barat,106,84,83,74,21,52,47,17,2,311,18,815,,,,,,
4,Riau,90,87,77,57,24,36,26,13,1,211,16,638,,,,,,
5,Jambi,67,58,37,36,12,24,18,8,1,115,19,395,,,,,,
6,Sumatera Selatan,131,107,91,81,28,45,16,23,6,250,29,807,,,,,,
7,Bengkulu,34,31,21,27,8,11,10,3,0,45,8,198,,,,,,
8,Lampung,73,98,66,61,34,46,32,10,1,225,15,661,,,,,,
9,Kepulauan Bangka Belitung,23,26,23,20,9,10,10,4,0,57,13,195,,,,,,
10,Kepulauan Riau,38,48,35,34,17,23,16,9,1,134,27,382,,,,,,
11,DKI Jakarta,649,625,540,238,241,396,165,88,44,2.493,695,6.174,,,,,,
12,Jawa Barat,415,431,388,261,163,245,115,32,34,1.149,206,3.439,,,,,,
