27,Sulawesi Selatan,416,421,425,440,446,"1,55","1,55","1,55","1,59","1,59",,,,,,
28,Sulawesi Tenggara,233,249,258,264,269,"3,13","3,28","3,33","3,34","3,34",,,,,,
29,Gorontalo,76,86,87,91,93,"2,19","2,43","2,40","2,46","2,46",,,,,,
30,Sulawesi Barat,81,86,91,92,94,"2,10","2,17","2,24","2,20","2,20",,,,,,
31,Maluku,156,170,178,190,197,"3,05","3,24","3,30","3,43","3,46",,,,,,
32,Maluku Utara,100,115,119,125,127,"2,89","3,24","3,28","3,36","3,34",,,,,,
33,Papua Barat,106,126,128,143,149,"4,18","4,80","4,70","5,07","5,09",,,,,,
34,Papua,297,334,381,391,394,"3,14","3,36","3,64","3,54","3,39",,,,,,
Indonesia,,9.005,9.321,9.510,9.655,9.731,"1,14","1,16","1,17","1,17","1,16",,,,,,
No,Provinsi,Jumlah Puskesmas Rawat Inap,,,,,Jumlah Puskesmas Non Rawat Inap,,,,,,,,,,
,,2010,2011,2012,2013,2014,2010,2011,2012,2013,2014,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,
1,Aceh,116,137,144,149,143,199,188,186,185,194,,,,,,
2,Sumatera Utara,140,153,157,164,164,366,389,398,406,406,,,,,,
3,Sumatera Barat,85,86,89,88,91,161,168,171,174,173,,,,,,
4,Riau,53,55,63,75,79,140,148,144,132,132,,,,,,
5,Jambi,59,62,62,68,68,110,112,114,108,108,,,,,,
6,Sumatera Selatan,82,86,106,95,95,211,218,211,224,226,,,,,,
7,Bengkulu,39,43,43,45,45,131,135,135,135,135,,,,,,
8,Lampung,58,60,69,91,101,207,209,207,189,189,,,,,,
9,Kepulauan Bangka Belitung,18,19,20,20,20,40,39,40,40,41,,,,,,
10,Kepulauan Riau,26,26,26,26,29,40,41,43,44,44,,,,,,
11,DKI Jakarta,52,52,52,30,30,289,288,288,310,310,,,,,,
12,Jawa Barat,237,220,220,176,176,791,826,826,874,874,,,,,,
13,Jawa Tengah,252,265,268,309,318,615,602,605,564,557,,,,,,
14,DI Yogyakarta,42,40,42,42,42,79,81,79,79,79,,,,,,
15,Jawa Timur,396,400,441,504,518,550,556,519,456,442,,,,,,
16,Banten,50,53,56,56,56,167,173,172,174,175,,,,,,
17,Bali,28,28,29,34,34,86,86,89,86,86,,,,,,
18,Nusa Tenggara Barat,81,84,84,109,109,69,68,73,49,49,,,,,,
19,Nusa Tenggara Timur,110,123,128,128,137,199,219,221,234,233,,,,,,
20,Kalimantan Barat,93,94,96,94,95,138,141,141,143,143,,,,,,
21,Kalimantan Tengah,69,69,70,73,73,105,110,120,121,122,,,,,,
22,Kalimantan Selatan,48,48,49,45,45,166,176,177,183,183,,,,,,
23,Kalimantan Timur,93,94,94,127,95,124,121,123,95,79,,,,,,
24,Kalimantan Utara,,,,,32,,,,,16,,,,,,
25,Sulawesi Utara,84,85,88,88,92,86,85,89,95,95,,,,,,
26,Sulawesi Tengah,68,72,72,78,78,92,101,104,105,106,,,,,,
27,Sulawesi Selatan,208,218,225,225,228,208,203,200,215,218,,,,,,
28,Sulawesi Tenggara,70,74,74,79,78,163,175,184,185,191,,,,,,
29,Gorontalo,23,23,23,25,25,53,63,64,66,68,,,,,,
30,Sulawesi Barat,35,35,35,43,44,46,51,56,49,50,,,,,,
31,Maluku,56,56,61,63,64,100,114,117,127,133,,,,,,
32,Maluku Utara,27,28,28,27,27,73,87,91,98,100,,,,,,
33,Papua Barat,36,39,39,39,43,70,87,89,104,106,,,,,,
34,Papua,86,92,99,102,104,211,242,282,289,290,,,,,,
Indonesia,,2.920,3.019,3.152,3.317,3.378,6.085,6.302,6.358,6.338,6.353,,,,,,
No,Provinsi,Puskesmas,,,,,,,Rumah Sakit denga Pelayanan Obstetrik dan Neonatal Emergensi Komprehensif (PONEK),Rumah Sakit yang dilatih Akupuntur dan Herbal,,,,,,,
,,Pelayanan Obstetrik dan Neonatal Emergensi Dasar (PONED),Pelayanan Kesehatan Peduli Remaja (PKPR),Upaya Kesehatan Kerja,Upaya Kesehatan Olahraga,"Upaya Kesehatan Tradisional, Alternatif dan Komplementer",Pembinaan Panti Anak Terlantar,Tatalaksana Kasus Kekerasan terhadap Anak,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,
1,Aceh,89,92,38,31,41,52,62,17,3,,,,,,,
2,Sumatera Utara,155,241,0,13,70,19,130,25,5,,,,,,,
3,Sumatera Barat,101,85,0,0,24,67,45,19,6,,,,,,,
4,Riau,70,83,40,26,30,31,30,14,5,,,,,,,
5,Jambi,58,54,47,25,9,31,33,8,4,,,,,,,
6,Sumatera Selatan,119,134,0,25,56,48,33,16,4,,,,,,,
7,Bengkulu,54,71,4,127,32,4,53,12,3,,,,,,,
8,Lampung,82,68,11,18,50,55,43,6,3,,,,,,,
9,Kepulauan Bangka Belitung,24,39,33,30,9,9,17,7,3,,,,,,,
10,Kepulauan Riau,25,40,24,6,9,22,31,11,3,,,,,,,
11,DKI Jakarta,17,22,0,41,44,31,12,18,,,,,,,,
12,Jawa Barat,232,356,112,156,25,85,122,32,8,,,,,,,
13,Jawa Tengah,293,265,0,31,54,29,225,40,9,,,,,,,
14,DI Yogyakarta,68,76,8,20,48,32,28,8,2,,,,,,,
15,Jawa Timur,283,277,164,91,49,324,160,51,7,,,,,,,
16,Banten,72,54,181,49,85,32,76,12,3,,,,,,,
17,Bali,54,50,120,57,103,27,18,10,2,,,,,,,
18,Nusa Tenggara Barat,61,40,74,0,13,28,20,10,2,,,,,,,
19,Nusa Tenggara Timur,94,146,0,0,11,85,76,7,2,,,,,,,
20,Kalimantan Barat,66,124,0,0,38,53,72,11,3,,,,,,,
21,Kalimantan Tengah,63,57,23,4,15,,32,12,3,,,,,,,
22,Kalimantan Selatan,60,85,36,24,9,44,40,14,2,,,,,,,
23,Kalimantan Timur,81,51,16,0,13,45,47,20,1,,,,,,,
24,Kalimantan Utara,25,0,0,7,0,0,0,3,0,,,,,,,
25,Sulawesi Utara,87,78,0,0,25,20,59,10,2,,,,,,,
26,Sulawesi Tengah,90,41,26,12,10,39,22,9,2,,,,,,,
27,Sulawesi Selatan,153,101,127,86,110,67,59,32,2,,,,,,,
28,Sulawesi Tenggara,73,49,0,0,28,47,25,8,2,,,,,,,
29,Gorontalo,24,22,24,0,20,18,10,6,3,,,,,,,
30,Sulawesi Barat,39,18,4,0,33,,9,3,2,,,,,,,
31,Maluku,55,92,0,0,62,16,34,9,1,,,,,,,
32,Maluku Utara,34,22,0,0,12,10,14,4,1,,,,,,,
33,Papua Barat,21,41,0,0,7,0,40,4,1,,,,,,,
34,Papua,33,25,0,0,23,0,19,8,2,,,,,,,
Indonesia,,2.855,2.999,1.112,879,1.167,1.370,1.696,476,101,,,,,,,
No,Provinsi,Jumlah Kabupaten/Kota,Jumlah Kabupaten/Kota Dengan Tenaga Kesehatan Puskesmas Terlatih,Persentase Kabupaten/Kota Dengan Tenaga Kesehatan Puskesmas Terlatih,Jumlah Puskesmas Dengan Tenaga Kesehatan Terlatih,,,,,,,,,,,,
(1),(2),(3),(3),(4),(5),,,,,,,,,,,,
1,Aceh,23,14,"60,9",41,,,,,,,,,,,,
2,Sumatera Utara,33,23,"69,7",70,,,,,,,,,,,,
3,Sumatera Barat,19,10,"52,6",24,,,,,,,,,,,,
4,Riau,12,10,"83,3",30,,,,,,,,,,,,
5,Jambi,11,3,"27,3",9,,,,,,,,,,,,
6,Sumatera Selatan,17,16,"94,1",56,,,,,,,,,,,,
7,Bengkulu,10,10,"100,0",32,,,,,,,,,,,,
8,Lampung,15,14,"93,3",50,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,7,4,"57,1",9,,,,,,,,,,,,
10,Kepulauan Riau,7,4,"57,1",9,,,,,,,,,,,,
11,DKI Jakarta,6,5,"83,3",44,,,,,,,,,,,,
12,Jawa Barat,27,11,"40,7",25,,,,,,,,,,,,
13,Jawa Tengah,35,20,"57,1",54,,,,,,,,,,,,
14,DI Yogyakarta,5,5,"100,0",48,,,,,,,,,,,,
15,Jawa Timur,38,15,"39,5",49,,,,,,,,,,,,
16,Banten,8,8,"100,0",85,,,,,,,,,,,,
17,Bali,9,9,"100,0",103,,,,,,,,,,,,
18,Nusa Tenggara Barat,10,5,"50,0",13,,,,,,,,,,,,
19,Nusa Tenggara Timur,22,4,"18,2",11,,,,,,,,,,,,
20,Kalimantan Barat,14,13,"92,9",38,,,,,,,,,,,,
21,Kalimantan Tengah,14,5,"35,7",15,,,,,,,,,,,,
22,Kalimantan Selatan,13,4,"30,8",9,,,,,,,,,,,,
23,Kalimantan Timur,10,3,"30,0",13,,,,,,,,,,,,
24,Kalimantan Utara,5,0,"0,0",0,,,,,,,,,,,,
25,Sulawesi Utara,15,7,"46,7",25,,,,,,,,,,,,
26,Sulawesi Tengah,13,3,"23,1",10,,,,,,,,,,,,
27,Sulawesi Selatan,24,23,"95,8",110,,,,,,,,,,,,
28,Sulawesi Tenggara,17,12,"70,6",28,,,,,,,,,,,,
29,Gorontalo,6,6,"100,0",20,,,,,,,,,,,,
30,Sulawesi Barat,6,6,"100,0",33,,,,,,,,,,,,
31,Maluku,11,9,"81,8",62,,,,,,,,,,,,
32,Maluku Utara,10,3,"30,0",12,,,,,,,,,,,,
33,Papua Barat,13,3,"23,1",7,,,,,,,,,,,,
34,Papua,29,2,"6,9",23,,,,,,,,,,,,
Indonesia,,514,289,"56,2",1.167,,,,,,,,,,,,
No,Provinsi,Penggunaan di Puskesmas ( % ),Penggunaan di Rumah Sakit ( % ),Rata-Rata Penggunaan ( % ),,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,
1,Aceh,"99,59","72,91","86,25",,,,,,,,,,,,,
2,Sumatera Utara,"96,94","84,47","90,71",,,,,,,,,,,,,
3,Sumatera Barat,"98,16","73,12","85,64",,,,,,,,,,,,,
4,Riau,"94,50","75,25","84,88",,,,,,,,,,,,,
5,Kepulauan Riau,"97,00","89,33","93,17",,,,,,,,,,,,,
6,Bengkulu,"92,00","78,00","85,00",,,,,,,,,,,,,
7,Jambi,"97,96","65,69","81,83",,,,,,,,,,,,,
8,Sumatera Selatan,"87,55","80,18","83,87",,,,,,,,,,,,,
9,Lampung,"96,49","79,63","88,06",,,,,,,,,,,,,
10,Kepuluan Bangka Belitung,"97,27","86,35","91,81",,,,,,,,,,,,,
11,Banten,"94,42","65,82","80,12",,,,,,,,,,,,,
12,DKI Jakarta,"95,50","66,31","80,91",,,,,,,,,,,,,
13,Jawa Tengah,"82,07","64,32","73,20",,,,,,,,,,,,,
14,Jawa Barat,"98,67","73,53","86,10",,,,,,,,,,,,,
15,DI Yogyakarta,"98,22","68,84","83,53",,,,,,,,,,,,,
16,Jawa Timur,"88,13","84,39","86,26",,,,,,,,,,,,,
17,Bali,"96,14","51,66","73,90",,,,,,,,,,,,,
18,Nusa Tenggara Barat,"98,66","76,32","87,49",,,,,,,,,,,,,
19,Nusa Tenggara Timur,"86,61","73,22","79,92",,,,,,,,,,,,,
20,Kalimantan Barat,"96,44","73,77","85,11",,,,,,,,,,,,,
21,Kalimantan Timur,"93,40","61,20","77,30",,,,,,,,,,,,,
22,Kalimantan Tengah,"95,52","67,75","81,64",,,,,,,,,,,,,
23,Kalimantan Selatan,"97,71","61,15","79,43",,,,,,,,,,,,,
24,Sulawesi Utara,"100,00","94,96","97,48",,,,,,,,,,,,,
25,Sulawesi Barat,"100,00","92,47","96,24",,,,,,,,,,,,,
26,Sulawesi Tenggara,"95,00","87,00","91,00",,,,,,,,,,,,,
27,Sulawesi Selatan,"99,56","78,31","88,94",,,,,,,,,,,,,
28,Sulawesi Tengah,"88,54","93,67","91,11",,,,,,,,,,,,,
29,Gorontalo,"100,00","84,07","92,04",,,,,,,,,,,,,
30,Maluku,"97,28","81,23","89,26",,,,,,,,,,,,,
31,Maluku Utara,"94,50","80,50","87,50",,,,,,,,,,,,,
32,Papua,"100,00","71,13","85,57",,,,,,,,,,,,,
33,Papua Barat,"91,04","87,25","89,15",,,,,,,,,,,,,
Indonesia,,"95,30","76,48","85,89",,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas Teregistrasi,Jumlah Tenaga Kesehatan,,,,,,,,,,,,,Tenaga Non Kesehatan,Total SDM Kesehatan
,,,Dokter Spesialis,Dokter Umum,Dokter Gigi,Perawat,Perawat Gigi,Bidan,Farmasi,Kesehatan Masyarakat,Kesehatan Lingkungan,Gizi,Keterapian Fisik,Keteknisian Medis,Jumlah,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18)
1,Aceh,337,1,774,156,4.925,394,7.987,748,1.956,710,484,159,370,18.664,1.257,19.921
2,Sumatera Utara,570,6,1.459,530,6.872,472,11.228,665,1.096,423,753,47,317,23.868,717,24.585
3,Sumatera Barat,264,3,585,287,2.590,365,3.838,417,906,299,284,39,357,9.970,707,10.677
4,Riau,211,6,578,217,2.672,176,3.078,298,492,170,154,3,203,8.047,543,8.590
5,Jambi,176,0,338,106,2.149,285,2.593,256,447,234,122,15,190,6.735,386,7.121
6,Sumatera Selatan,321,7,457,93,3.375,308,3.551,340,1.583,427,268,20,282,10.711,794,11.505
7,Bengkulu,180,0,254,66,1.650,96,2.091,355,636,160,137,2,67,5.514,270,5.784
8,Lampung,290,4,518,193,3.158,394,3.028,251,726,320,164,0,189,8.945,608,9.553
9,Kepulauan Bangka Belitung,61,0,140,38,964,65,617,62,88,64,81,1,68,2.188,349,2.537
10,Kepulauan Riau,73,3,307,87,1.620,181,764,90,149,63,61,3,66,3.394,381,3.775
11,DKI Jakarta,340,34,645,484,2.333,235,1.029,245,386,189,144,6,119,5.849,1.181,7.030
12,Jawa Barat,1.050,9,1.889,806,8.398,1.251,9.667,602,926,886,795,10,426,25.665,3.910,29.575
13,Jawa Tengah,875,7,1.931,738,7.213,927,12.714,1.004,1.751,826,906,83,911,29.011,5.618,34.629
14,DI Yogyakarta,121,1,365,177,863,245,776,165,93,163,165,17,278,3.308,1.265,4.573
15,Jawa Timur,960,31,1.833,945,10.104,980,11.379,1.056,973,831,887,47,663,29.729,8.371,38.100
16,Banten,231,0,475,273,1.804,203,2.436,174,468,134,217,3,225,6.412,747,7.159
17,B a l i,120,0,320,170,1.057,213,1.296,120,409,212,129,5,90,4.021,512,4.533
18,Nusa Tenggara Barat,158,0,254,105,2.583,186,1.645,158,348,375,366,8,255,6.283,1.187,7.470
19,Nusa Tenggara Timur,370,0,370,109,2.994,370,2.361,325,485,491,294,18,187,8.004,692,8.696
20,Kalimantan Barat,238,3,314,79,5.397,651,1.845,244,543,267,291,3,253,9.890,690,10.580
21,Kalimantan Tengah,195,2,274,58,2.553,212,1.502,150,370,178,231,0,113,5.643,385,6.028
22,Kalimantan Selatan,228,3,446,134,2.638,392,2.266,289,795,325,311,3,268,7.870,524,8.394
23,Kalimantan Timur,174,1,342,158,1.961,114,1.200,184,447,143,130,6,91,4.777,901,5.678
24,Kalimantan Utara,48,0,137,51,739,37,359,64,175,41,46,0,36,1.685,90,1.775
25,Sulawesi Utara,187,1,479,26,1.852,223,1.025,188,176,274,242,23,2,4.511,209,4.720
26,Sulawesi Tengah,184,0,244,63,3.567,201,1.880,206,863,339,98,1,49,7.511,364,7.875
27,Sulawesi Selatan,446,3,690,386,4.744,538,3.874,488,1.907,541,560,38,458,14.227,909,15.136
28,Sulawesi Tenggara,269,0,265,66,2.298,106,1.416,192,588,346,387,0,41,5.705,228,5.933
29,Gorontalo,93,0,121,21,652,46,453,138,382,140,132,1,4,2.090,291,2.381
30,Sulawesi Barat,94,0,153,65,1.164,57,787,90,278,151,156,22,54,2.977,177,3.154
31,Maluku,197,1,219,91,3.492,93,981,48,257,155,196,7,16,5.556,257,5.813
32,Maluku Utara,127,0,145,33,1.766,155,801,82,422,68,148,6,27,3.653,123,3.776
33,Papua Barat,149,2,61,14,1.215,26,530,42,46,79,96,1,10,2.122,48,2.170
34,Papua,394,3,393,46,2.911,22,1.353,115,165,124,189,2,165,5.488,205,5.693
Indonesia,,9.731,131,17.775,6.871,104.273,10.219,102.350,9.851,21.332,10.148,9.624,599,6.850,300.023,34.896,334.919
No,Provinsi,Jumlah Puskesmas,Dokter Umum,Dokter Gigi,Perawat,Bidan,Rasio Dokter Umum terhadap Puskesmas,Rasio Dokter Gigi terhadap Puskesmas,Rasio Perawat terhadap Puskesmas,Rasio Bidan terhadap Puskesmas,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,
1,Aceh,337,774,156,4.925,7.987,"2,30","0,46","14,61","23,70",,,,,,,
2,Sumatera Utara,570,1.459,530,6.872,11.228,"2,56","0,93","12,06","19,70",,,,,,,
3,Sumatera Barat,264,585,287,2.590,3.838,"2,22","1,09","9,81","14,54",,,,,,,
4,Riau,211,578,217,2.672,3.078,"2,74","1,03","12,66","14,59",,,,,,,
5,Jambi,176,338,106,2.149,2.593,"1,92","0,60","12,21","14,73",,,,,,,
6,Sumatera Selatan,321,457,93,3.375,3.551,"1,42","0,29","10,51","11,06",,,,,,,
7,Bengkulu,180,254,66,1.650,2.091,"1,41","0,37","9,17","11,62",,,,,,,
8,Lampung,290,518,193,3.158,3.028,"1,79","0,67","10,89","10,44",,,,,,,
9,Kepulauan Bangka Belitung,61,140,38,964,617,"2,30","0,62","15,80","10,11",,,,,,,
10,Kepulauan Riau,73,307,87,1.620,764,"4,21","1,19","22,19","10,47",,,,,,,
11,DKI Jakarta,340,645,484,2.333,1.029,"1,90","1,42","6,86","3,03",,,,,,,
12,Jawa Barat,1.050,1.889,806,8.398,9.667,"1,80","0,77","8,00","9,21",,,,,,,
13,Jawa Tengah,875,1.931,738,7.213,12.714,"2,21","0,84","8,24","14,53",,,,,,,
14,DI Yogyakarta,121,365,177,863,776,"3,02","1,46","7,13","6,41",,,,,,,
15,Jawa Timur,960,1.833,945,10.104,11.379,"1,91","0,98","10,53","11,85",,,,,,,
16,Banten,231,475,273,1.804,2.436,"2,06","1,18","7,81","10,55",,,,,,,
17,Bali,120,320,170,1.057,1.296,"2,67","1,42","8,81","10,80",,,,,,,
18,Nusa Tenggara Barat,158,254,104,2.583,1.645,"1,61","0,66","16,35","10,41",,,,,,,
19,Nusa Tenggara Timur,370,370,109,2.994,2.361,"1,00","0,29","8,09","6,38",,,,,,,
20,Kalimantan Barat,238,314,79,5.397,1.845,"1,32","0,33","22,68","7,75",,,,,,,
21,Kalimantan Tengah,195,274,58,2.553,1.502,"1,41","0,30","13,09","7,70",,,,,,,
22,Kalimantan Selatan,228,446,134,2.638,2.266,"1,96","0,59","11,57","9,94",,,,,,,
23,Kalimantan Timur,174,342,158,1.961,1.200,"1,97","0,91","11,27","6,90",,,,,,,
24,Kalimantan Utara,48,137,51,739,359,"2,85","1,06","15,40","7,48",,,,,,,
25,Sulawesi Utara,187,479,26,1.852,1.025,"2,56","0,14","9,90","5,48",,,,,,,
26,Sulawesi Tengah,184,244,63,3.567,1.880,"1,33","0,34","19,39","10,22",,,,,,,
27,Sulawesi Selatan,446,690,386,4.744,3.874,"1,55","0,87","10,64","8,69",,,,,,,
28,Sulawesi Tenggara,269,265,66,2.298,1.416,"0,99","0,25","8,54","5,26",,,,,,,
29,Gorontalo,93,121,21,652,453,"1,30","0,23","7,01","4,87",,,,,,,
30,Sulawesi Barat,94,153,65,1.164,787,"1,63","0,69","12,38","8,37",,,,,,,
31,Maluku,197,219,91,3.492,981,"1,11","0,46","17,73","4,98",,,,,,,
32,Maluku Utara,127,145,33,1.766,801,"1,14","0,26","13,91","6,31",,,,,,,
33,Papua Barat,149,61,14,1.215,530,"0,41","0,09","8,15","3,56",,,,,,,
34,Papua,394,393,46,2.911,1.353,"1,00","0,12","7,39","3,43",,,,,,,
Indonesia,,9.731,17.775,6.870,104.273,102.350,"1,83","0,71","10,72","10,52",,,,,,,
,,FASILITAS KESEHATAN TINGKAT PERTAMA,,,,,,,,,,,,,,,
NO,PROVINSI,PUSKESMAS,DOKTER PRAKTEK PRIBADI,KLINIK POLRI,KLINIK PRATAMA,KLINIK TNI,TOTAL,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),,,,,,,,,,
1,Aceh,337,63,26,55,26,507,,,,,,,,,,
2,Sumatera Utara,570,83,35,231,31,950,,,,,,,,,,
3,Sumatera Barat,264,91,22,49,16,442,,,,,,,,,,
4,Riau,211,75,14,89,15,404,,,,,,,,,,
5,Jambi,176,56,12,14,5,263,,,,,,,,,,
6,Sumatera Selatan,321,135,18,59,21,554,,,,,,,,,,
7,Bengkulu,180,65,13,9,5,272,,,,,,,,,,
8,Lampung,290,83,11,68,14,466,,,,,,,,,,
9,Kepulauan Bangka Belitung,61,34,8,7,4,114,,,,,,,,,,
10,Kepulauan Riau,73,8,7,68,17,173,,,,,,,,,,
11,DKI Jakarta,340,3,22,129,84,578,,,,,,,,,,
12,Jawa Barat,1.050,424,44,568,71,2.157,,,,,,,,,,
13,Jawa Tengah,875,944,42,234,54,2.149,,,,,,,,,,
14,D I Yogyakarta,121,100,6,35,9,271,,,,,,,,,,
15,Jawa Timur,960,564,45,330,103,2.002,,,,,,,,,,
16,Banten,231,6,14,206,16,473,,,,,,,,,,
17,Bali,120,243,12,45,15,435,,,,,,,,,,
18,Nusa Tenggara Barat,158,76,12,6,10,262,,,,,,,,,,
19,Nusa Tenggara Timur,370,85,21,12,20,508,,,,,,,,,,
20,Kalimantan Barat,238,38,16,10,23,325,,,,,,,,,,
21,Kalimantan Tengah,195,50,18,8,8,279,,,,,,,,,,
22,Kalimantan Selatan,228,106,17,11,20,382,,,,,,,,,,
23,Kalimantan Timur,174,104,13,42,22,355,,,,,,,,,,
24,Kalimantan Utara,48,25,4,2,12,91,,,,,,,,,,
25,Sulawesi Utara,187,107,15,5,13,327,,,,,,,,,,
26,Sulawesi Tengah,184,34,12,11,8,249,,,,,,,,,,
27,Sulawesi Selatan,446,156,31,51,39,723,,,,,,,,,,
28,Sulawesi Tenggara,269,48,13,8,8,346,,,,,,,,,,
29,Gorontalo,93,29,7,8,8,145,,,,,,,,,,
30,Sulawesi Barat,94,21,5,2,3,125,,,,,,,,,,
31,Maluku,197,27,9,1,12,246,,,,,,,,,,
32,Maluku Utara,127,34,9,3,8,181,,,,,,,,,,
33,Papua Barat,149,25,5,6,6,191,,,,,,,,,,
34,Papua,394,42,11,6,29,482,,,,,,,,,,
TOTAL,,9.731,3.984,569,2.388,755,17.427,,,,,,,,,,
No,Provinsi,Jumlah Kabupaten/Kota,Jumlah Puskesmas dengan Tatalaksana Kasus Kekerasan terhadap Anak,Jumlah Kabupaten/Kota dengan Minimal 2 Puskesmas Mampu Tatalaksana Kasus Kekerasan terhadap Anak,Persentase Kabupaten/Kota dengan Minimal 2 Puskesmas Mampu Tatalaksana Kasus Kekerasasan terhadap Anak,,,,,,,,,,,,
(1),(2),(3),(3),(4),(5),,,,,,,,,,,,
1,Aceh,23,62,23,100,,,,,,,,,,,,
2,Sumatera Utara,33,130,13,"39,39",,,,,,,,,,,,
3,Sumatera Barat,19,45,14,"73,68",,,,,,,,,,,,
4,Riau,12,30,12,"100,00",,,,,,,,,,,,
5,Jambi,11,33,11,100,,,,,,,,,,,,
6,Sumatera Selatan,15,33,15,"100,00",,,,,,,,,,,,
7,Bengkulu,10,53,10,100,,,,,,,,,,,,
8,Lampung,14,41,14,"100,00",,,,,,,,,,,,
9,Kepulauan Bangka Belitung,7,17,6,"85,71",,,,,,,,,,,,
10,Kepulauan Riau,7,31,6,"85,71",,,,,,,,,,,,
11,DKI Jakarta,6,12,6,100,,,,,,,,,,,,
12,Jawa Barat,26,122,26,"100,00",,,,,,,,,,,,
13,Jawa Tengah,35,225,32,"91,43",,,,,,,,,,,,
14,DI Yogyakarta,5,28,5,"100,00",,,,,,,,,,,,
15,Jawa Timur,38,160,23,"60,53",,,,,,,,,,,,
16,Banten,8,76,7,"87,50",,,,,,,,,,,,
17,Bali,9,18,9,100,,,,,,,,,,,,
18,Nusa Tenggara Barat,10,20,10,"100,00",,,,,,,,,,,,
19,Nusa Tenggara Timur,21,76,18,"85,71",,,,,,,,,,,,
20,Kalimantan Barat,14,72,9,"64,29",,,,,,,,,,,,
21,Kalimantan Tengah,14,32,10,"71,43",,,,,,,,,,,,
22,Kalimantan Selatan,13,40,9,"69,23",,,,,,,,,,,,
23,Kalimantan Timur,14,47,7,"50,00",,,,,,,,,,,,
24,Sulawesi Utara,15,59,15,"100,00",,,,,,,,,,,,
25,Sulawesi Tengah,11,22,11,100,,,,,,,,,,,,
26,Sulawesi Selatan,24,59,23,"95,83",,,,,,,,,,,,
27,Sulawesi Tenggara,12,25,9,"75,00",,,,,,,,,,,,
