No,Provinsi,Penduduk,,,,Klasifikasi,,Jenis Kelamin,,Jumlah Kasus Baru,Case Detection Rate per 100.000 Penduduk
26,Sulawesi Tengah,1.469.626,1.407.063,2.876.689,,106,388,308,186,494,"17,17"
27,Sulawesi Selatan,4.160.975,4.359.329,8.520.304,,194,1026,711,509,1.220,"14,32"
28,Sulawesi Tenggara,1.256.056,1.243.484,2.499.540,,28,253,188,93,281,"11,24"
29,Gorontalo,567.695,565.542,1.133.237,,20,203,151,72,223,"19,68"
30,Sulawesi Barat,643.118,639.044,1.282.162,,43,172,165,50,215,"16,77"
31,Maluku,850.637,835.832,1.686.469,,26,185,137,74,211,"12,51"
32,Maluku Utara,593.197,569.148,1.162.345,,133,411,318,226,544,"46,80"
33,Papua Barat,459.271,412.239,871.510,,225,492,420,297,717,"82,27"
34,Papua,1.661.219,1.488.156,3.149.375,,291,793,665,419,1.084,"34,42"
Indonesia,,128.366.718,127.094.968,255.461.686,,2.657,14.545,10.781,6421,17.202,"6,73"
No,Provinsi,Jumlah Penderita Baru,Cacat Tingkat 1,,Cacat Tingkat 2,,0 - 14 Tahun,,,,
,,,Jumlah,%,Jumlah,%,Jumlah,%,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),,,
1,Aceh,524,37,"7,06",47,"8,97",76,"14,50",,,
2,Sumatera Utara,197,34,"17,26",44,"22,34",20,"10,15",,,
3,Sumatera Barat,54,0,"0,00",11,"20,37",2,"3,70",,,
4,Riau,108,3,"2,78",9,"8,33",11,"10,19",,,
5,Jambi,72,3,"4,17",3,"4,17",4,"5,56",,,
6,Sumatera Selatan,330,28,"8,48",45,"13,64",25,"7,58",,,
7,Bengkulu,17,3,"17,65",4,"23,53",1,"5,88",,,
8,Lampung,53,11,"20,75",2,"3,77",2,"3,77",,,
9,Kepulauan Bangka Belitung,35,1,"2,86",1,"2,86",4,"11,43",,,
10,Kepulauan Riau,24,0,"0,00",0,"0,00",2,"8,33",,,
11,DKI Jakarta,317,8,"2,52",15,"4,73",33,"10,41",,,
12,Jawa Barat,2026,490,"24,19",257,"12,69",174,"8,59",,,
13,Jawa Tengah,1807,218,"12,06",209,"11,57",130,"7,19",,,
14,DI Yogyakarta,105,31,"29,52",16,"15,24",12,"11,43",,,
15,Jawa Timur,4013,618,"15,40",492,"12,26",335,"8,35",,,
16,Banten,1026,132,"12,87",108,"10,53",138,"13,45",,,
17,Bali,61,0,"0,00",2,"3,28",3,"4,92",,,
18,Nusa Tenggara Barat,292,10,"3,42",12,"4,11",28,"9,59",,,
19,Nusa Tenggara Timur,280,37,"13,21",22,"7,86",46,"16,43",,,
20,Kalimantan Barat,57-,5,"8,77",8,"14,04",4,"7,02",,,
21,Kalimantan Tengah,26-,0,"0,00",0,"0,00",5,"19,23",,,
22,Kalimantan Selatan,145,8,"5,52",26,"17,93",7,"4,83",,,
23,Kalimantan Timur,176,12,"6,82",18,"10,23",11,"6,25",,,
24,Kalimantan Utara,41,8,"19,51",8,"19,51",4,"9,76",,,
25,Sulawesi Utara,427,23,"5,39",51,"11,94",30,"7,03",,,
26,Sulawesi Tengah,494,57,"11,54",15,"3,04",69,"13,97",,,
27,Sulawesi Selatan,1220-,161,"13,20",131,"10,74",94,"7,70",,,
28,Sulawesi Tenggara,281,3,"1,07",8,"2,85",25,"8,90",,,
29,Gorontalo,223,9,"4,04",21,"9,42",15,"6,73",,,
30,Sulawesi Barat,215,1,"0,47",0,"0,00",11,"5,12",,,
31,Maluku,211,31,"14,69",23,"10,90",26,"12,32",,,
32,Maluku Utara,544,19,"3,49",21,"3,86",106,"19,49",,,
33,Papua Barat,717,15,"2,09",17,"2,37",221,"30,82",,,
34,Papua,1084,66,"6,09",41,"3,78",256,"23,62",,,
Indonesia,,17.202,2.082,"12,10",1.687,"9,81",1.930,"11,22",,,
