600.9,996.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8,2 223.8.00000 222.62.80000109 2,,22. 2,,428022 0 2.482,,2,02,1,,,20,22,,,2,0,23,,,20,2,4,,,,,
,,,,,,,,,,2,2.48,,,,,,,,,,,,,,,,,,,,,,,
,,,ber J nya a d,: BPJ umla k 22. enga,S Ke h F 4S8u2 Su n B,e F,2 222.4.60000 2s 22e2.2. h4000a0 2 222.0.20000 22.000 KTP y,,tan 20 an,,,es,em,b,e,r 2,,02,4,,,,,,,,,,,,,,,
,,,,,,,,,,n,", D",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18 g be,,2019 ker,2020 jasam,,,,202 a d,,1 20 engan,,,,22 2 BPJ,,,023 20 S pad,,,,,,,
,,,,,,,,,2,,018,,2019,2020,,,,20,,21 2,,,,022,,,2023 2,,,,,,,
,,,,,,,m FbKeTr:P mber: PJS K Ju,,B pPJaS BPJ ese mla,,d Kae stea S Kes hata h FKT,,hhaut eha n t P y,"ann 2, D0e1s tan, De erban ang bek",,,,8e mmb sem yak erja,,eenr j2a0d2 bSaeumr 2ba0elr d sama,,,,,,,,,,,,,,
"RS Tipe D Lainnya Pratama 5,13% 0G,22A%MBAR 4.14 PERSENTASE FKTP BEKERJA SAMA Dokter DENGAN BPJS DI INDPOraNktikE SIA TAHUN 2024Perorangan 19,63% Puskesmas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42,75% RS Tipe D LainKnliynaik PratamaR PS aT ti ap me aD L 5a ,i 51n 3n ,P 1%yra 3a %tama r 0R P,S2 a2T t%i ap me aD L 5a ,i 1n 33n %2ya,27% 0,22% r 0,22% Dokter Praktik PeroDDraoonkgtkeartn er 19PP,6rra3ak%tkikt ik Perorangan Puskesmas Pe1r9o,6r3a%ngan 42,75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RS Tipe D LainKnliynaik RS Tipe D LainnPyraatama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"PratamaPratama 5,513,1%3% 0R P,S2 a2T t%i ap me aD L 5a ,i 1n 33n %2ya,27% 0,22% r 0,22% Dokter Praktik PeroDDraoonkgtkeartn er 19PP,6rra3ak%tkikt ik Perorangan Puskesmas Pe1r9o,6r3a%ngan 42,75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Puskesmas 1Kli9ni,k6 3% 42,75% Pratama Puskesmas 32,K2l7in%ik Pratama 42,75% 32,27% Klinik Pratama 32,27%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24 mengalami peningkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"m mendukung layanan Kese ngenai FKTP yang bekerja Klinik pada LampUKtlKaini lminrikaika n 1R9S .b. U14tU,a3tam6m%aa PemerRinSR taSh Khusus141,43,366%% PP2e5 em, m3e3re%inrtianhtah RS 25,33% R1S1 ,K0h1u%sus 25,33% RS Khusus RS 1TN1,I0 P1O%LRI 11,01% GRSA5 T,1N2MI% POLBRI AR 4.16 RS TNI5 P,1O2%LRI RS Swasta ENTAS5E,12 F%KRTLR4S4 ,S1 Bw8%aEstaKERJA SA 44,18% RS Swasta ENGAN BPJS K44E,18S%EHATAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ngenai FKTP yang bekerja Klinik ada LampUKtlKaini lminrikaika n 1R9S .b. U14tU,a3tam6m%aa PemerRinSR taSh Khusus141,43,366%% PP2e5 em, m3e3re%inrtianhtah RS 25,33% R1S1 ,K0h1u%sus 25,33% RS Khusus RS 1TN1,I0 P1O%LRI 11,01% GRSA5 T,1N2MI% POLBRI AR 4.16 RS TNI5 P,1O2%LRI RS Swasta NTAS5E,12 F%KRTLR4S4 ,S1 Bw8%aEstaKERJA SA 44,18% RS Swasta ENGAN BPJS K44E,18S%EHATAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"enai FKTP yang beker Klinik da LampUKtlKaini lminrikaika n 1R9S .b. U14tU,a3tam6m%aa PemerRinSR taSh Khusus141,43,366%% PP2e5 em, m3e3re%inrtianhtah RS 25,33% R1S1 ,K0h1u%sus 25,33% RS Khusus RS 1TN1,I0 P1O%LRI 11,01% GRSA5 T,1N2MI% POLBRI AR 4.16 RS TNI5 P,1O2%LRI RS Swasta TAS5E,12 F%KRTLR4S4 ,S1 Bw8%aEstaKERJA S 44,18% RS Swasta GAN BPJS K44E,18S%EHATAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I,NDONESIA TAHUN 202,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ata dan informasi yang leb 3i .1h 0r i3n.1c6i 2 32..916230 3.162 3.500 2.29.68039 3.120 3.16 a 3.h000un 2 550 2 2.4 2s 9. e802le.95 0n7g k 2a .8p 09n y2a.9 6d3 apat dili 2.4 45 3.000 .24.5050 9 2.24.5550 72 .459 2.507 2.500 2.000 2.000 1.500 R 4.15 1.500 1.000 A 1S.00A0 MA DENGAN BPJS P 500 500 SIA - TAHUN 2017-2023 - 2018 2019 2020 2021 2022 2023 2024 2018 2019 2020 2021 2022 2023 202,,,,,,,,,,,,,,,,,,,,,,2 2 h ER,,m a,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.12 apa,,,,3.16,,,,,,,,,,,,,
,,,,,,,,,,,ka 2.8,,,,ya,,,pa,t,,ili P,E,,,,,,,,,,,,
,,,,,,,,,,7,BP,,,,,,,,,,,,,,,,,,,,,,,
,,2.24.55 15 MA,,,,72 .45 DE,,9 NG,2.50,,,P,J,,,,,,,,,,,,,,,,,,,,,
2.000 2.000 1.500 R 1.500 1.000 A 1S.000 500 500 SIA - -,,,1 M,5 A,,,E,,AN,,,,,,,,,,,,,,,,,,,,,,,,,
,T 20 2,,,A,H,U,N,20,17,-2,,0,2,3,,,,,,,,,,,,,,,,,,,,
,,,,18 018,,2019 201,,2 9,020 2020,202 20,,,1 21,,2022 202,2 2 2,,023 023,,2024 202,,4,,,,,,,,,,,,
"Optik Optik 21,56% 21,56% ApoteAkpotek 78,44% 78,44%","Optik Optik 21,56% 21,56% ApoteAkpotek 78,44% 78,44%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.64,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5 2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,apai No,. Jenis Iuran (Segmen) TABEL 4.2,,,Pendapatan Iuran (juta rupiah),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2023,,,2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,1 NDA,P,Penerima Bantuan Iuran (PBI) ATAN IURAN BPJS KESEHATAN BERDASARK,A,45.621.222 N SEGMEN KEP,E,S,48.506.458 ERTAAN,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,,PBPU Pemerintah Daerah,,16.128.062,,,18.758.843,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DI INDONESIA TAHUN 2023,,– 2024,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,3,,Bantuan Iuran,,,,,,,,,,ah),,,,,,,,,,,,,,,,,
,,,,,,,a. BantuaJne Inuirsa nIu Preamne (rSinetaghm aetans) P BPU & BP Mandiri,,Pendapata 1.114.515,n,I,uran (juta rup 281.892,,,,i,,,,,,,,,,,,,,,,,,
,,,,,,,b. Bantuan Iuran PemerinPtraohfi la Kteasse PhaBtPaUn IPnedomndeasi a 2024,,| BAB3 I2 .V10 .9 P2 7E3 .M3 2B8I,A,Y,A,A,N,2024 KES3E.7H4A1T.A9N5 8,,| 10,1,,,,,,,,,,,,,,,,
,1,,,Pen,e4r i,m,aB uBkaann tPuBaI n Iuran (PBI),,45.621.,2,2,2,,,48.50,,6.458,,,,,,,,,,,,,,,,,
,2,,,PB,PU P,e,ma. ePPriUn tPaehn yDelaeenrgagahr a Negara,,271.679.162.787.5,0,6,2,,,30.97188.3.1785,,8.843,,,,,,,,,,,,,,,,,
,3,,,Ban,tua,n,b. BP Penyelenggara Negara Iuran,,2.218.412,,,,,,2.582.814,,,,,,,,,,,,,,,,,,,
,,,,c. PPU Badan Usaha a. Bantuan Iuran Pemerintah atas PBPU & BP Mandiri,,,c. PPU Badan Usaha,,41.969.916,,,,,,45.917.453,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.114.515,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,b. Bantuan Iuran Pemerintah atas PBPU Pemda,,,,,3.197.328,,,,,,103 3.741.958,,,,,,,,,,,,,,,,,,,
,4,,,Bukan PBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a. PPU Penyelenggara Negara,,,,,27.796.775,,,,,,30.978.318,,,,,,,,,,,,,,,,,,,
,,,,b. BP Penyelenggara Negara,,,,,2.218.412,,,,,,2.582.814,,,,,,,,,,,,,,,,,,,
,,,,c. PPU Badan Usaha,,,,,41.969.916,,,,,,45.917.453,,,,,,,,,,,,,,,,,,,
,70.000 57.667 60.000 47.131 46.445 50.000 40.000 25.449 30.000 18.707 20.000 7.531 5.604 10.000 3.564 2.339 1.489 0 Pa Swasta PNS Petani ig jn a D TNI/POLRI Lain-lain Rumah Tangg egawai Ped Pa ega nsn unan/Lain P- eL la ai Mah ga asi ws aiw N/ BU M M ar/ BU Ibu e P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,66,",00",,"9 91,93 91,00 87,83 6 7",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"83,2 83,1 81,17 80,94 80,65 80,20 80",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"74, 70,51 25 9",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"65, 63,6 63,00 60,98 60,63 59,52 58,33 7,58 ,98 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"5 55 54,3 51,47 50,67 49,81 49,58 6,96 ,26 ,08 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"4 46 46 44, 6,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3 30,06 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"23,9 20,69 20,30 19,35 19,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,7",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah UTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pemerintah/ Pemerintah Daerah,Palang Merah Indonesia (PMI),Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883),(cid:4)(cid:133)(cid:135)(cid:138),(cid:882),(cid:884),(cid:884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884),(cid:22)(cid:151)(cid:143)(cid:131)(cid:150)(cid:135)(cid:148)(cid:131)(cid:3)(cid:24)(cid:150)(cid:131)(cid:148)(cid:131),(cid:882),(cid:885),(cid:885),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:885),(cid:22)(cid:151)(cid:143)(cid:131)(cid:150)(cid:135)(cid:148)(cid:131)(cid:3)(cid:5)(cid:131)(cid:148)(cid:131)(cid:150),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:886),(cid:21)(cid:139)(cid:131)(cid:151),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:887),(cid:13)(cid:131)(cid:143)(cid:132)(cid:139),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:888),(cid:22)(cid:151)(cid:143)(cid:131)(cid:150)(cid:135)(cid:148)(cid:131)(cid:3)(cid:22)(cid:135)(cid:142)(cid:131)(cid:150)(cid:131)(cid:144),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:889),(cid:5)(cid:135)(cid:144)(cid:137)(cid:141)(cid:151)(cid:142)(cid:151),(cid:882),(cid:885),(cid:885),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:890),(cid:15)(cid:131)(cid:143)(cid:146)(cid:151)(cid:144)(cid:137),(cid:883),(cid:887),(cid:888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:891),(cid:14)(cid:135)(cid:146)(cid:151)(cid:142)(cid:131)(cid:151)(cid:131)(cid:144)(cid:3)(cid:5)(cid:131)(cid:144)(cid:137)(cid:141)(cid:131)(cid:3)(cid:5)(cid:135)(cid:142)(cid:139)(cid:150)(cid:151)(cid:144)(cid:137),(cid:882),(cid:884),(cid:884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:882),(cid:14)(cid:135)(cid:146)(cid:151)(cid:142)(cid:131)(cid:151)(cid:131)(cid:144)(cid:3)(cid:21)(cid:139)(cid:131)(cid:151),(cid:882),(cid:884),(cid:884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:883),(cid:7)(cid:14)(cid:12)(cid:3)(cid:13)(cid:131)(cid:141)(cid:131)(cid:148)(cid:150)(cid:131),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:884),(cid:13)(cid:131)(cid:153)(cid:131)(cid:3)(cid:5)(cid:131)(cid:148)(cid:131)(cid:150),(cid:882),(cid:883)(cid:887),(cid:883)(cid:887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:885),(cid:13)(cid:131)(cid:153)(cid:131)(cid:3)(cid:23)(cid:135)(cid:144)(cid:137)(cid:131)(cid:138),(cid:882),(cid:884)(cid:888),(cid:884)(cid:888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:886),(cid:7)(cid:12)(cid:3)(cid:28)(cid:145)(cid:137)(cid:155)(cid:131)(cid:141)(cid:131)(cid:148)(cid:150)(cid:131),(cid:882),(cid:887),(cid:887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:887),(cid:13)(cid:131)(cid:153)(cid:131)(cid:3)(cid:23)(cid:139)(cid:143)(cid:151)(cid:148),(cid:883),(cid:884)(cid:891),(cid:885)(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:888),(cid:5)(cid:131)(cid:144)(cid:150)(cid:135)(cid:144),(cid:882),(cid:887),(cid:887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:889),(cid:5)(cid:131)(cid:142)(cid:139),(cid:882),(cid:890),(cid:890),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:890),(cid:17)(cid:151)(cid:149)(cid:131)(cid:3)(cid:23)(cid:135)(cid:144)(cid:137)(cid:137)(cid:131)(cid:148)(cid:131)(cid:3)(cid:5)(cid:131)(cid:148)(cid:131)(cid:150),(cid:883),(cid:884),(cid:885),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:883)(cid:891),(cid:17)(cid:151)(cid:149)(cid:131)(cid:3)(cid:23)(cid:135)(cid:144)(cid:137)(cid:137)(cid:131)(cid:148)(cid:131)(cid:3)(cid:23)(cid:139)(cid:143)(cid:151)(cid:148),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:882),(cid:14)(cid:131)(cid:142)(cid:139)(cid:143)(cid:131)(cid:144)(cid:150)(cid:131)(cid:144)(cid:3)(cid:5)(cid:131)(cid:148)(cid:131)(cid:150),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:883),(cid:14)(cid:131)(cid:142)(cid:139)(cid:143)(cid:131)(cid:144)(cid:150)(cid:131)(cid:144)(cid:3)(cid:23)(cid:135)(cid:144)(cid:137)(cid:131)(cid:138),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:884),(cid:14)(cid:131)(cid:142)(cid:139)(cid:143)(cid:131)(cid:144)(cid:150)(cid:131)(cid:144)(cid:3)(cid:22)(cid:135)(cid:142)(cid:131)(cid:150)(cid:131)(cid:144),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:885),(cid:14)(cid:131)(cid:142)(cid:139)(cid:143)(cid:131)(cid:144)(cid:150)(cid:131)(cid:144)(cid:3)(cid:23)(cid:139)(cid:143)(cid:151)(cid:148),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:886),(cid:14)(cid:131)(cid:142)(cid:139)(cid:143)(cid:131)(cid:144)(cid:150)(cid:131)(cid:144)(cid:3)(cid:24)(cid:150)(cid:131)(cid:148)(cid:131),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:887),(cid:22)(cid:151)(cid:142)(cid:131)(cid:153)(cid:135)(cid:149)(cid:139)(cid:3)(cid:24)(cid:150)(cid:131)(cid:148)(cid:131),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:888),(cid:22)(cid:151)(cid:142)(cid:131)(cid:153)(cid:135)(cid:149)(cid:139)(cid:3)(cid:23)(cid:135)(cid:144)(cid:137)(cid:131)(cid:138),(cid:882),(cid:884),(cid:884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:889),(cid:22)(cid:151)(cid:142)(cid:131)(cid:153)(cid:135)(cid:149)(cid:139)(cid:3)(cid:22)(cid:135)(cid:142)(cid:131)(cid:150)(cid:131)(cid:144),(cid:882),(cid:884),(cid:884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:890),(cid:22)(cid:151)(cid:142)(cid:131)(cid:153)(cid:135)(cid:149)(cid:139)(cid:3)(cid:23)(cid:135)(cid:144)(cid:137)(cid:137)(cid:131)(cid:148)(cid:131),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884)(cid:891),(cid:10)(cid:145)(cid:148)(cid:145)(cid:144)(cid:150)(cid:131)(cid:142)(cid:145),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:885)(cid:882),(cid:22)(cid:151)(cid:142)(cid:131)(cid:153)(cid:135)(cid:149)(cid:139)(cid:3)(cid:5)(cid:131)(cid:148)(cid:131)(cid:150),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:885)(cid:883),(cid:16)(cid:131)(cid:142)(cid:151)(cid:141)(cid:151),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:885)(cid:884),(cid:16)(cid:131)(cid:142)(cid:151)(cid:141)(cid:151)(cid:3)(cid:24)(cid:150)(cid:131)(cid:148)(cid:131),(cid:882),(cid:883),(cid:883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:885)(cid:885),(cid:19)(cid:131)(cid:146)(cid:151)(cid:131),(cid:882) (cid:882),(cid:882) (cid:882),(cid:882) (cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:885)(cid:886) (cid:885)(cid:887),(cid:19)(cid:131)(cid:146)(cid:151)(cid:131)(cid:3)(cid:5)(cid:131)(cid:148)(cid:131)(cid:150) (cid:19)(cid:131)(cid:146)(cid:151)(cid:131)(cid:3)(cid:22)(cid:135)(cid:142)(cid:131)(cid:150)(cid:131)(cid:144),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:885)(cid:888),(cid:19)(cid:131)(cid:146)(cid:151)(cid:131)(cid:3)(cid:23)(cid:135)(cid:144)(cid:137)(cid:131)(cid:138),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:885)(cid:889),(cid:19)(cid:131)(cid:146)(cid:151)(cid:131)(cid:3)(cid:19)(cid:135)(cid:137)(cid:151)(cid:144)(cid:151)(cid:144)(cid:137)(cid:131)(cid:144),(cid:882),(cid:882),(cid:882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,3,120,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Fasilitas Kesehatan,Pemilikan/Pengelola (cid:889)(cid:884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN/Kementerian Lain,,Swasta,,Jumlah,,,,,,,,,,,,,,,,,,,,
,,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,RS Umum,RS Khusus,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),,,,,,,,,,,,,,,,,,,
(cid:883),(cid:3)(cid:4)(cid:133)(cid:135)(cid:138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cid:884),(cid:3)(cid:22)(cid:151)(cid:143)(cid:131)(cid:150)(cid:135)(cid:148)(cid:131)(cid:3)(cid:24)(cid:150)(cid:131)(cid:148)(cid:131),(cid:882),(cid:882),(cid:883),(cid:884),(cid:884)(cid:888),(cid:882),(cid:887),(cid:882),(cid:887),(cid:883),(cid:885)(cid:887),(cid:888),(cid:889)(cid:884),(cid:891),,,,,,,,,,,,,,,,,,,
(cid:885),(cid:3)(cid:22)(cid:151)(cid:143)(cid:131)(cid:150)(cid:135)(cid:148)(cid:131)(cid:3)(cid:5)(cid:131)(cid:148)(cid:131)(cid:150),(cid:883),(cid:882),(cid:884),(cid:885),(cid:886)(cid:883),(cid:882),(cid:891),(cid:882),(cid:890),(cid:883),(cid:883)(cid:884)(cid:886),(cid:884)(cid:883),(cid:883)(cid:890)(cid:887),(cid:884)(cid:887),,,,,,,,,,,,,,,,,,,
(cid:886),(cid:3)(cid:21)(cid:139)(cid:131)(cid:151),(cid:883),(cid:883),(cid:885),(cid:884),(cid:884)(cid:887),(cid:882),(cid:886),(cid:882),(cid:883),(cid:883),(cid:883)(cid:890),(cid:884)(cid:884),(cid:887)(cid:884),(cid:884)(cid:888),,,,,,,,,,,,,,,,,,,
(cid:887),(cid:3)(cid:13)(cid:131)(cid:143)(cid:132)(cid:139),(cid:882),(cid:882),(cid:884),(cid:883),(cid:883)(cid:889),(cid:882),(cid:886),(cid:882),(cid:885),(cid:882),(cid:886)(cid:883),(cid:883)(cid:887),(cid:888)(cid:889),(cid:883)(cid:888),,,,,,,,,,,,,,,,,,,
(cid:888),(cid:3)(cid:22)(cid:151)(cid:143)(cid:131)(cid:150)(cid:135)(cid:148)(cid:131)(cid:3)(cid:22)(cid:135)(cid:142)(cid:131)(cid:150)(cid:131)(cid:144),(cid:882),(cid:882),(cid:883),(cid:883),(cid:883)(cid:891),(cid:882),(cid:884),(cid:882),(cid:882),(cid:882),(cid:883)(cid:891),(cid:884),(cid:886)(cid:883),(cid:885),,,,,,,,,,,,,,,,,,,
(cid:889),(cid:3)(cid:5)(cid:135)(cid:144)(cid:137)(cid:141)(cid:151)(cid:142)(cid:151),(cid:884),(cid:882),(cid:883),(cid:885),(cid:885)(cid:884),(cid:882),(cid:886),(cid:882),(cid:885),(cid:882),(cid:884)(cid:891),(cid:883)(cid:886),(cid:889)(cid:883),(cid:883)(cid:889),,,,,,,,,,,,,,,,,,,
(cid:890),(cid:3)(cid:15)(cid:131)(cid:143)(cid:146)(cid:151)(cid:144)(cid:137),(cid:882),(cid:882),(cid:883),(cid:883),(cid:883)(cid:884),(cid:883),(cid:884),(cid:882),(cid:882),(cid:882),(cid:890),(cid:883),(cid:884)(cid:885),(cid:885),,,,,,,,,,,,,,,,,,,
