No,Provinsi,Penduduk,,,Klasifikasi,,,Jenis Kelamin,,,Case Detection Rate per 100.000 Penduduk,,
11,DKI Jakarta,258,18,"6,98",10,"3,88",30,"11,63",,,,,
12,Jawa Barat,1.917,333,"17,37",225,"11,74",137,"7,15",,,,,
13,Jawa Tengah,1.860,233,"12,53",240,"12,90",109,"5,86",,,,,
14,DI Yogyakarta,79,8,"10,13",0,"0,00",0,"0,00",,,,,
15,Jawa Timur,4.116,554,"13,46",528,"12,83",387,"9,40",,,,,
16,Banten,823,110,"13,37",87,"10,57",111,"13,49",,,,,
17,Bali,81,1,"1,23",0,"0,00",5,"6,17",,,,,
18,Nusa Tenggara Barat,281,15,"5,34",14,"4,98",37,"13,17",,,,,
19,Nusa Tenggara Timur,378,22,"5,82",32,"8,47",43,"11,38",,,,,
20,Kalimantan Barat,43,2,"4,65",7,"16,28",2,"4,65",,,,,
21,Kalimantan Tengah,62,4,"6,45",3,"4,84",10,"16,13",,,,,
22,Kalimantan Selatan,156,3,"1,92",26,"16,67",3,"1,92",,,,,
23,Kalimantan Timur,154,4,"2,60",5,"3,25",9,"5,84",,,,,
24,Sulawesi Utara,349,9,"2,58",12,"3,44",40,"11,46",,,,,
25,Sulawesi Tengah,269,34,"12,64",22,"8,18",30,"11,15",,,,,
26,Sulawesi Selatan,1.143,226,"19,77",113,"9,89",82,"7,17",,,,,
27,Sulawesi Tenggara,268,6,"2,24",3,"1,12",34,"12,69",,,,,
28,Gorontalo,152,7,"4,61",10,"6,58",7,"4,61",,,,,
29,Sulawesi Barat,199,23,"11,56",9,"4,52",17,"8,54",,,,,
30,Maluku,545,79,"14,50",16,"2,94",73,"13,39",,,,,
31,Maluku Utara,544,15,"2,76",31,"5,70",104,"19,12",,,,,
32,Papua Barat,633,10,"1,58",6,"0,95",212,"33,49",,,,,
33,Papua,1.061,44,"4,15",26,"2,45",261,"24,60",,,,,
Indonesia,,17.025,1.897,"11,14",1.596,"9,37",1.894,"11,12",,,,,
