,,,,,Targe,tRPJM,N 202,1: 85%,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,372,381,402,410,421,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,241,244,246,246,247,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,196,200,203,205,205,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,230,233,235,236,237,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,179,183,186,187,188,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,49,56,55,55,56,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,189,193,195,195,198,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,193,202,206,207,215,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,451,458,459,461,469,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,274,284,290,292,293,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,94,94,95,96,98,,,,,,,,,,,,,,,,,,,,,
31,Maluku,199,208,209,215,222,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,129,134,147,147,147,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,155,159,159,161,162,,,,,,,,,,,,,,,,,,,,,
34,Papua,394,408,420,428,437,,,,,,,,,,,,,,,,,,,,,
Indonesia,,9.825,9.993,10.134,10.205,10.292,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas Rawat Inap,,,,,Jumlah Puskesmas Non Rawat Inap,,,,,,,,,,,,,,,,,,,,
,,2017,2017,2018,2020,2021,2017,2017,2018,2020,2021,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,
1,Aceh,143,148,179,181,180,198,200,180,178,180,,,,,,,,,,,,,,,,
2,Sumatera Utara,163,175,184,188,191,408,406,417,420,424,,,,,,,,,,,,,,,,
3,Sumatera Barat,91,91,108,111,113,178,184,167,165,166,,,,,,,,,,,,,,,,
4,Riau,80,81,102,102,109,135,135,126,129,125,,,,,,,,,,,,,,,,
5,Jambi,71,74,81,88,92,115,121,124,119,115,,,,,,,,,,,,,,,,
6,Sumatera Selatan,95,95,98,113,114,227,237,243,230,231,,,,,,,,,,,,,,,,
7,Bengkulu,46,47,52,52,53,134,133,127,127,126,,,,,,,,,,,,,,,,
8,Lampung,115,119,136,140,156,182,183,174,172,159,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,21,21,21,26,26,42,43,43,38,38,,,,,,,,,,,,,,,,
10,Kepulauan Riau,29,32,36,35,41,45,51,50,53,52,,,,,,,,,,,,,,,,
11,DKI Jakarta,30,28,28,6,6,310,293,287,309,309,,,,,,,,,,,,,,,,
12,Jawa Barat,185,186,291,299,299,871,883,781,784,787,,,,,,,,,,,,,,,,
13,Jawa Tengah,322,361,368,371,371,554,520,510,507,509,,,,,,,,,,,,,,,,
14,DI Yogyakarta,43,49,49,49,49,78,72,72,72,72,,,,,,,,,,,,,,,,
15,Jawa Timur,520,534,553,575,588,443,433,415,393,383,,,,,,,,,,,,,,,,
16,Banten,56,56,82,81,78,177,186,161,164,167,,,,,,,,,,,,,,,,
17,Bali,35,38,42,41,40,85,82,78,79,80,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,110,111,122,142,143,50,55,47,32,32,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,137,151,163,164,177,235,230,239,246,244,,,,,,,,,,,,,,,,
20,Kalimantan Barat,95,118,125,129,130,146,126,121,117,117,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,73,75,88,86,87,123,125,115,119,118,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,50,50,50,52,52,180,183,185,184,185,,,,,,,,,,,,,,,,
23,Kalimantan Timur,96,97,102,98,99,83,86,84,89,89,,,,,,,,,,,,,,,,
24,Kalimantan Utara,32,32,27,22,22,17,24,28,33,34,,,,,,,,,,,,,,,,
25,Sulawesi Utara,92,92,94,95,96,97,101,101,100,102,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,79,84,102,104,104,114,118,104,103,111,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,257,269,301,304,316,194,189,158,157,153,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,81,82,93,91,92,193,202,197,201,201,,,,,,,,,,,,,,,,
29,Gorontalo,26,28,32,26,27,67,65,61,67,66,,,,,,,,,,,,,,,,
30,Sulawesi Barat,45,45,58,60,61,49,49,37,36,37,,,,,,,,,,,,,,,,
31,Maluku,64,64,77,64,65,135,144,132,151,157,,,,,,,,,,,,,,,,
32,Maluku Utara,27,36,45,53,53,102,98,102,94,94,,,,,,,,,,,,,,,,
33,Papua Barat,45,44,44,45,45,110,115,115,116,117,,,,,,,,,,,,,,,,
34,Papua,105,110,115,126,126,289,298,305,302,311,,,,,,,,,,,,,,,,
Indonesia,,3.459,3.623,4.048,4.119,4.201,6.366,6.370,6.086,6.086,6.091,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Kecamatan,Rasio Puskesmas per Kecamatan,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,360,289,"1,2",,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,615,455,"1,4",,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,279,179,"1,6",,,,,,,,,,,,,,,,,,,,,,,
4,Riau,234,169,"1,4",,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,207,143,"1,4",,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,345,241,"1,4",,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,129,"1,4",,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,315,229,"1,4",,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,47,"1,4",,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,93,76,"1,2",,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,44,"7,2",,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.086,627,"1,7",,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,880,576,"1,5",,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,78,"1,6",,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,971,666,"1,5",,,,,,,,,,,,,,,,,,,,,,,
16,Banten,245,155,"1,6",,,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,57,"2,1",,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,175,117,"1,5",,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,421,310,"1,4",,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,247,174,"1,4",,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,205,136,"1,5",,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,237,154,"1,5",,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,188,103,"1,8",,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,56,55,"1,0",,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,198,171,"1,2",,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,215,175,"1,2",,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,469,311,"1,5",,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,293,219,"1,3",,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,77,"1,2",,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,98,69,"1,4",,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,222,118,"1,9",,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,117,"1,3",,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,162,560,"0,3",,,,,,,,,,,,,,,,,,,,,,,
34,Papua,437,218,"2,0",,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.292,7.244,"1,4",,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Puskesmas Terakreditasi,Jumlah Kabupaten/Kota yang Memiliki Puskesmas Terakreditasi,Persentase Puskesmas Terakreditasi (%),Status Akreditasi Puskesmas,,,,Jumlah Puskesmas Belum Terakreditasi,,,,,,,,,,,,,,,,,
,,,,,,Dasar,Madya,Utama,Paripurna,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,359,333,23,"92,8",100,203,28,2,26,,,,,,,,,,,,,,,,,
2,Sumatera Utara,604,559,33,"92,5",236,293,29,1,45,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,271,19,"98,5",61,164,41,5,4,,,,,,,,,,,,,,,,,
4,Riau,230,214,12,"93,0",66,120,28,0,16,,,,,,,,,,,,,,,,,
5,Jambi,206,188,11,"91,3",54,112,19,3,18,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,333,17,"97,7",90,196,42,5,8,,,,,,,,,,,,,,,,,
7,Bengkulu,179,179,10,"100,0",70,100,9,0,0,,,,,,,,,,,,,,,,,
8,Lampung,310,296,15,"95,5",25,208,59,4,14,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,7,"100,0",8,36,19,1,0,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,83,7,"96,5",20,42,20,1,3,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,151,6,"47,9",11,89,20,31,164,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.074,1.028,27,"95,7",179,617,205,27,46,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,873,35,"99,4",97,467,270,39,5,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,5,"100,0",0,43,64,14,0,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,963,38,"99,5",72,530,316,45,5,,,,,,,,,,,,,,,,,
16,Banten,243,231,8,"95,1",44,138,47,2,12,,,,,,,,,,,,,,,,,
17,Bali,120,120,9,"100,0",13,66,31,10,0,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,171,163,10,"95,3",34,94,31,4,8,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,410,367,22,"89,5",166,180,21,0,43,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,230,14,"93,5",68,133,24,5,16,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,194,14,"95,6",72,100,20,2,9,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,236,233,13,"98,7",73,125,32,3,3,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,182,10,"97,8",36,102,38,6,4,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,55,5,"100,0",21,24,9,1,0,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,169,15,"86,7",76,73,19,1,26,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,198,13,"96,1",70,109,19,0,8,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,461,454,24,"98,5",80,235,118,21,7,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,291,263,17,"90,4",94,140,27,2,28,,,,,,,,,,,,,,,,,
29,Gorontalo,93,92,6,"98,9",22,50,17,3,1,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,96,85,6,"88,5",18,54,13,0,11,,,,,,,,,,,,,,,,,
31,Maluku,212,156,11,"73,6",69,77,10,0,56,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,113,10,"76,9",42,64,6,1,34,,,,,,,,,,,,,,,,,
33,Papua Barat,161,72,13,"44,7",35,32,5,0,89,,,,,,,,,,,,,,,,,
34,Papua,424,120,20,"28,3",55,52,13,0,304,,,,,,,,,,,,,,,,,
Indonesia,,10.166,9.153,505,"90,0",2.177,5.068,1.669,239,1013,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,Total Puskesmas,% Memenuhi,,,,,,,,,,,,,,,,,,,,,,
,,Belum Memenuhi,Memenuhi,,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,148,211,359,"58,77",,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,414,200,613,"32,63",,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,94,185,279,"66,31",,,,,,,,,,,,,,,,,,,,,,
4,Riau,98,138,232,"59,48",,,,,,,,,,,,,,,,,,,,,,
5,Jambi,101,106,207,"51,21",,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,226,119,345,"34,49",,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,125,54,179,"30,17",,,,,,,,,,,,,,,,,,,,,,
8,Lampung,204,110,313,"35,14",,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,10,54,64,"84,38",,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,42,51,92,"55,43",,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,,332,315,"105,40",,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,596,502,1.083,"46,35",,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,163,717,879,"81,57",,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,13,108,121,"89,26",,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,379,592,971,"60,97",,,,,,,,,,,,,,,,,,,,,,
16,Banten,120,125,245,"51,02",,,,,,,,,,,,,,,,,,,,,,
17,Bali,52,68,120,"56,67",,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,64,111,175,"63,43",,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,315,108,418,"25,84",,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,163,84,247,"34,01",,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,156,48,205,"23,41",,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,79,158,237,"66,67",,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,76,111,187,"59,36",,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,28,30,56,"53,57",,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,153,44,196,"22,45",,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,152,63,212,"29,72",,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,170,302,468,"64,53",,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,209,84,293,"28,67",,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,60,33,93,"35,48",,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,44,53,98,"54,08",,,,,,,,,,,,,,,,,,,,,,
31,Maluku,195,29,217,"13,36",,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,121,26,147,"17,69",,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,150,20,162,"12,35",,,,,,,,,,,,,,,,,,,,,,
34,Papua,388,37,432,"8,56",,,,,,,,,,,,,,,,,,,,,,
Indonesia,,5.308,5.013,10.260,"48,86",,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,Total Puskesmas *),% Tanpa Dokter,,,,,,,,,,,,,,,,,,,,,,
,,Belum Memenuhi,Memenuhi,,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,8,351,359,"2,23",,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,22,592,613,"3,59",,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,5,274,279,"1,79",,,,,,,,,,,,,,,,,,,,,,
4,Riau,1,235,232,"0,43",,,,,,,,,,,,,,,,,,,,,,
5,Jambi,1,206,207,"0,48",,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,8,337,345,"2,32",,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,5,174,179,"2,79",,,,,,,,,,,,,,,,,,,,,,
8,Lampung,1,313,313,"0,32",,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,0,64,64,"0,00",,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,2,91,92,"2,17",,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,0,332,315,"0,00",,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,8,1.090,1.083,"0,74",,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,1,879,879,"0,11",,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,0,121,121,"0,00",,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,7,964,971,"0,72",,,,,,,,,,,,,,,,,,,,,,
16,Banten,1,244,245,"0,41",,,,,,,,,,,,,,,,,,,,,,
17,Bali,0,120,120,"0,00",,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,0,175,175,"0,00",,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,40,383,418,"9,57",,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,8,239,247,"3,24",,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,12,192,205,"5,85",,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,2,235,237,"0,84",,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,1,186,187,"0,53",,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,2,56,56,"3,57",,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,5,192,196,"2,55",,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,8,207,212,"3,77",,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,12,460,468,"2,56",,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,42,251,293,"14,33",,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,10,83,93,"10,75",,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,6,91,98,"6,12",,,,,,,,,,,,,,,,,,,,,,
31,Maluku,50,174,217,"23,04",,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,23,124,147,"15,65",,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,33,137,162,"20,37",,,,,,,,,,,,,,,,,,,,,,
34,Papua,184,241,432,"42,59",,,,,,,,,,,,,,,,,,,,,,
Indonesia,,508,9.813,10.251,"4,96",,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Puskesmas yang Menyelenggarakan Pelayanan Kesehatan Tradisional,Persentase Puskesmas yang Menyelenggarakan Pelayanan Kesehatan Tradisional,Jumlah Puskesmas dengan Tenaga Kesehatan yang Sudah Dilatih,,,,Puskesmas yang melakukan Pembinaan Penyehat Tradisional (HATTRA),Puskesmas yang melakukan Pelayanan Kesehatan Tradisional,Puskesmas yang melakukan Pembinaan Kelompok Asuhan Mandiri,Puskesmas yang memiliki RTH,,,,,,,,,,,,,,,
,,,,,Dilatih Akupunktur,Dilatih Akupressur,Dilatih Pijat Baduta,"Asuhan Mandiri (ASMAN), Pemanfaatan TOGA, dan Akrupresur",,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,,,,,,,,,,,
1,Aceh,359,,"0,0",2,107,,107,73,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,601,,"0,0",0,74,,32,241,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,,"0,0",0,88,1,47,74,,,,,,,,,,,,,,,,,,
4,Riau,228,,"0,0",3,111,,36,18,,,,,,,,,,,,,,,,,,
5,Jambi,205,1,"0,5",3,73,41,42,100,3,13,12,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,,"0,0",0,72,,28,81,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,,"0,0",0,31,,20,50,,,,,,,,,,,,,,,,,,
8,Lampung,310,25,"8,1",3,81,1,38,267,31,126,224,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,,"0,0",1,50,,27,62,3,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,14,"16,3",4,58,,39,52,14,14,14,,,,,,,,,,,,,,,
11,DKI Jakarta,315,13,"4,1",4,43,,12,133,13,19,13,,,,,,,,,,,,,,,
12,Jawa Barat,1.072,1,"0,1",3,89,23,7,508,1,246,3,,,,,,,,,,,,,,,
13,Jawa Tengah,878,,"0,0",3,142,305,39,40,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,,"0,0",18,52,,28,54,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,102,"10,5",10,196,21,167,148,118,301,272,,,,,,,,,,,,,,,
16,Banten,243,,"0,0",7,96,15,36,26,,,,,,,,,,,,,,,,,,
17,Bali,120,53,"44,2",2,114,26,56,39,85,64,94,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,,"0,0",0,80,,53,141,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,,"0,0",0,73,,34,29,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,,"0,0",0,61,,59,51,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,,"0,0",2,25,1,19,35,20,14,7,,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,3,"1,3",5,15,,28,198,3,3,3,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,,"0,0",2,41,,42,151,,73,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,4,"7,3",0,32,,4,14,12,12,17,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,,"0,0",0,77,,60,21,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,8,"3,9",0,96,,12,74,21,9,13,,,,,,,,,,,,,,,
27,Sulawesi Selatan,459,22,"4,8",4,122,2,21,75,33,24,24,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,2,"0,7",1,70,,43,37,7,2,15,,,,,,,,,,,,,,,
29,Gorontalo,93,,"0,0",1,41,,34,55,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,,"0,0",1,29,,1,0,,,,,,,,,,,,,,,,,,
31,Maluku,209,,"0,0",1,98,,37,114,,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,13,"8,8",2,42,1,66,90,31,14,18,,,,,,,,,,,,,,,
33,Papua Barat,159,1,"0,6",1,24,,2,17,1,1,1,,,,,,,,,,,,,,,
34,Papua,420,,"0,0",0,15,,1,0,,,,,,,,,,,,,,,,,,
Indonesia,,10.134,262,"2,6",83,2.418,437,1.277,3.068,396,935,730,,,,,,,,,,,,,,,
No,Provinsi,Pelaksanaan Kesehatan Kerja di Tempat Kerja,,,,Jumlah Instansi Pemerintah yang melaksanakan Pengukuran Kebugaran Jasmani,Jumlah Pembinaan Pemeriksaan Kebugaran Jasmani bagi Jemaah Haji,Jumlah Kelompok Olah Raga,,,,,,,,,,,,,,,,,,,
,,Puskesmas,Perusahaan,POS UKK,GP2SP,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),,,,,,,,,,,,,,,,,,,
1,Aceh,33,9,167,0,24,178,1.863,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,132,56,313,4,51,232,4.149,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,62,24,232,3,14,110,2.110,,,,,,,,,,,,,,,,,,,
4,Riau,65,12,177,5,23,467,2.584,,,,,,,,,,,,,,,,,,,
5,Jambi,95,21,285,11,19,241,2.177,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,58,27,310,11,18,217,6.035,,,,,,,,,,,,,,,,,,,
7,Bengkulu,95,12,403,0,14,206,3.722,,,,,,,,,,,,,,,,,,,
8,Lampung,118,30,322,18,25,434,6.409,,,,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,45,17,123,6,12,84,1.963,,,,,,,,,,,,,,,,,,,
1 0,Kepulauan Riau,47,34,235,15,7,149,916,,,,,,,,,,,,,,,,,,,
1 1,DKI Jakarta,235,17,277,105,7,31,3.765,,,,,,,,,,,,,,,,,,,
1 2,Jawa Barat,303,156,883,158,67,1853,12.558,,,,,,,,,,,,,,,,,,,
1 3,Jawa Tengah,224,64,763,251,44,1395,12.267,,,,,,,,,,,,,,,,,,,
1 4,DI Yogyakarta,49,7,135,11,19,31,3.806,,,,,,,,,,,,,,,,,,,
1 5,Jawa Timur,401,105,975,50,67,2175,14.413,,,,,,,,,,,,,,,,,,,
1 6,Banten,167,32,359,45,20,1396,4.058,,,,,,,,,,,,,,,,,,,
1 7,Bali,13,2,25,2,6,0,547,,,,,,,,,,,,,,,,,,,
1 8,Nusa Tenggara Barat,35,9,287,1,4,157,920,,,,,,,,,,,,,,,,,,,
1 9,Nusa Tenggara Timur,124,9,685,0,17,173,1.781,,,,,,,,,,,,,,,,,,,
2 0,Kalimantan Barat,51,37,251,3,18,94,1.211,,,,,,,,,,,,,,,,,,,
2 1,Kalimantan Tengah,38,4,127,19,17,252,632,,,,,,,,,,,,,,,,,,,
2 2,Kalimantan Selatan,43,13,178,3,14,417,832,,,,,,,,,,,,,,,,,,,
2 3,Kalimantan Timur,41,37,184,5,13,68,2.326,,,,,,,,,,,,,,,,,,,
