Ta 20,rget Renstra 14: 78%,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Puskesmas,,,,,,,Rumah Sakit denga Pelayanan Obstetrik dan Neonatal Emergensi Komprehensif (PONEK),Rumah Sakit yang dilatih Akupuntur dan Herbal,,,,,,,,,,,,
,,Pelayanan Obstetrik dan Neonatal Emergensi Dasar (PONED),Pelayanan Kesehatan Peduli Remaja (PKPR),Upaya Kesehatan Kerja,Upaya Kesehatan Olahraga,"Upaya Kesehatan Tradisional, Alternatif dan Komplementer",Pembinaan Panti Anak Terlantar,Tatalaksana Kasus Kekerasan terhadap Anak,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,0,0,"0,00",1,120,"6,25",6,811,"37,50",6,392,"37,50",3,125,"18,75",16,1.448,"1,05",,,
10,Kepulauan Riau,0,0,"0,00",5,1.008,"20,00",11,977,"44,00",5,212,"20,00",4,122,"16,00",25,2.319,"1,14",,,
11,DKI Jakarta,13,5.028,"8,23",43,9.044,"27,22",40,2.983,"25,32",12,847,"7,59",50,3.523,"31,65",158,21.425,"2,11",,,
12,Jawa Barat,7,2.181,"2,39",47,11.963,"16,04",111,11.157,"37,88",52,3.470,"17,75",76,4.370,"25,94",293,33.141,"0,72",,,
13,Jawa Tengah,8,3.951,"2,67",31,9.952,"10,33",110,12.575,"36,67",95,6.064,"31,67",56,2.766,"18,67",300,35.308,"1,08",,,
14,DI Yogyakarta,3,992,"4,23",11,2.364,"15,49",11,4.335,"15,49",28,1.494,"39,44",18,950,"25,35",71,10.135,"2,82",,,
15,Jawa Timur,6,3.563,"1,73",42,10.239,"12,10",107,11.841,"30,84",69,4.263,"19,88",123,6.799,"35,45",347,36.705,"0,95",,,
16,Banten,2,275,"2,35",16,3.946,"18,82",27,2.380,"31,76",7,555,"8,24",33,2.204,"38,82",85,9.360,"0,79",,,
17,Bali,3,1.167,"5,26",7,1.397,"12,28",17,1.891,"29,82",12,690,"21,05",18,727,"31,58",57,5.872,"1,39",,,
18,Nusa Tenggara Barat,0,0,"0,00",3,679,"12,50",8,1.319,"33,33",11,925,"45,83",2,99,"8,33",24,3.022,"0,64",,,
19,Nusa Tenggara Timur,0,0,"0,00",1,361,"2,27",12,1.510,"27,27",22,1.616,"50,00",9,603,"20,45",44,4.090,"0,81",,,
20,Kalimantan Barat,1,486,"2,22",3,947,"6,67",14,1.660,"31,11",9,825,"20,00",18,1.256,"40,00",45,5.174,"1,14",,,
21,Kalimantan Tengah,0,0,"0,00",2,505,"10,53",7,746,"36,84",6,378,"31,58",4,160,"21,05",19,1.789,"0,76",,,
22,Kalimantan Selatan,2,1.064,"5,56",2,491,"5,56",17,2.101,"47,22",4,294,"11,11",11,367,"30,56",36,4.317,"1,10",,,
23,Kalimantan Timur,2,983,"4,55",6,1.246,"13,64",14,1.868,"31,82",18,702,"40,91",4,246,"9,09",44,5.045,"1,44",,,
24,Kalimantan Utara,0,0,"0,00",1,271,"14,29",3,431,"42,86",3,107,"42,86",0,0,"0,00",7,809,"1,33",,,
25,Sulawesi Utara,1,278,"2,38",2,1.182,"4,76",16,2.265,"38,10",10,550,"23,81",13,733,"30,95",42,5.008,"2,10",,,
26,Sulawesi Tengah,0,0,"0,00",3,1.012,"9,68",9,1.347,"29,03",4,245,"12,90",15,829,"48,39",31,3.433,"1,21",,,
27,Sulawesi Selatan,3,1.495,"3,41",18,3.803,"20,45",33,4.544,"37,50",9,523,"10,23",25,1.192,"28,41",88,11.557,"1,38",,,
28,Sulawesi Tenggara,0,0,"0,00",2,526,"8,00",7,579,"28,00",8,397,"32,00",8,403,"32,00",25,1.905,"0,79",,,
29,Gorontalo,0,0,"0,00",2,591,"16,67",3,330,"25,00",4,222,"33,33",3,149,"25,00",12,1.292,"1,14",,,
30,Sulawesi Barat,0,0,"0,00",0,0,"0,00",2,351,"20,00",1,138,"10,00",7,449,"70,00",10,938,"0,73",,,
31,Maluku,0,0,"0,00",2,461,"7,41",5,519,"18,52",15,762,"55,56",5,402,"18,52",27,2.144,"1,26",,,
32,Maluku Utara,0,0,"0,00",1,284,"5,26",3,270,"15,79",9,654,"47,37",6,142,"31,58",19,1.350,"1,18",,,
33,Papua Barat,0,0,"0,00",0,0,"0,00",4,636,"22,22",7,434,"38,89",7,312,"38,89",18,1.382,"1,58",,,
34,Papua,0,0,"0,00",2,452,"5,26",9,1.623,"23,68",11,747,"28,95",16,616,"42,11",38,3.438,"0,99",,,
Indonesia,,60,25.125,"2,49",308,76.955,"12,80",803,93.787,"33,37",537,33.827,"22,32",698,40.049,"29,01",2.406,269.743,"1,07",,,
No,Provinsi,Total Tempat Tidur*,Kelas Perawatan,,,,,,,,,,,,Ruang Non Rawat Inap ***,,,,,,,
,,,V V I P,,V I P,,Kelas I,,Kelas II,,Kelas III,,Ruang Rawat Inap Lainnya**,,,,,,,,,
,,,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),,,,,,
1,Aceh,7.118,137,"1,92",513,"7,21",677,"9,51",923,"12,97",4.033,"56,66",835,"11,73",769,"10,80",,,,,,
2,Sumatera Utara,20.010,416,"2,08",1.494,"7,47",2.928,"14,63",4.432,"22,15",8.357,"41,76",2.383,"11,91",1.509,"7,54",,,,,,
3,Sumatera Barat,5.994,130,"2,17",451,"7,52",792,"13,21",1.358,"22,66",2.608,"43,51",655,"10,93",563,"9,39",,,,,,
4,R i a u,5.892,196,"3,33",549,"9,32",770,"13,07",1.019,"17,29",2.450,"41,58",908,"15,41",540,"9,16",,,,,,
5,J a m b i,3.190,74,"2,32",306,"9,59",435,"13,64",540,"16,93",1.411,"44,23",424,"13,29",349,"10,94",,,,,,
6,Sumatera Selatan,7.567,159,"2,10",508,"6,71",1.009,"13,33",1.543,"20,39",3.514,"46,44",834,"11,02",551,"7,28",,,,,,
7,Bengkulu,1.881,21,"1,12",127,"6,75",211,"11,22",398,"21,16",860,"45,72",264,"14,04",246,"13,08",,,,,,
8,Lampung,5.685,144,"2,53",422,"7,42",634,"11,15",1.109,"19,51",2.561,"45,05",815,"14,34",503,"8,85",,,,,,
9,Bangka Belitung,1.448,46,"3,18",85,"5,87",169,"11,67",329,"22,72",647,"44,68",172,"11,88",171,"11,81",,,,,,
10,Kepulauan Riau,2.319,26,"1,12",165,"7,12",248,"10,69",455,"19,62",1.113,"47,99",312,"13,45",238,"10,26",,,,,,
11,DKI Jakarta,21.425,722,"3,37",2.271,"10,60",3.033,"14,16",4.354,"20,32",8.036,"37,51",3.009,"14,04",1.663,"7,76",,,,,,
12,Jawa Barat,33.141,514,"1,55",2.616,"7,89",4.408,"13,30",7.170,"21,63",13.401,"40,44",5.032,"15,18",3.201,"9,66",,,,,,
13,Jawa Tengah,35.308,622,"1,76",3.438,"9,74",4.956,"14,04",6.285,"17,80",15.230,"43,13",4.777,"13,53",2.993,"8,48",,,,,,
14,D.I. Yogyakarta,10.135,176,"1,74",608,"6,00",855,"8,44",1.584,"15,63",6.078,"59,97",834,"8,23",485,"4,79",,,,,,
15,Jawa Timur,36.705,602,"1,64",3.115,"8,49",5.022,"13,68",7.689,"20,95",15.230,"41,49",5.047,"13,75",3.091,"8,42",,,,,,
16,Banten,9.360,116,"1,24",730,"7,80",1.420,"15,17",2.162,"23,10",3.623,"38,71",1.309,"13,99",1.099,"11,74",,,,,,
17,B a l i,5.872,152,"2,59",784,"13,35",707,"12,04",977,"16,64",2.448,"41,69",804,"13,69",637,"10,85",,,,,,
18,Nusa Tenggara Barat,3.022,34,"1,13",258,"8,54",401,"13,27",383,"12,67",1.496,"49,50",450,"14,89",333,"11,02",,,,,,
19,Nusa Tenggara Timur,4.090,35,"0,86",234,"5,72",391,"9,56",709,"17,33",2.201,"53,81",520,"12,71",466,"11,39",,,,,,
20,Kalimantan Barat,5.174,27,"0,52",270,"5,22",556,"10,75",967,"18,69",2.674,"51,68",680,"13,14",480,"9,28",,,,,,
21,Kalimantan Tengah,1.789,21,"1,17",189,"10,56",181,"10,12",345,"19,28",762,"42,59",291,"16,27",183,"10,23",,,,,,
22,Kalimantan Selatan,4.317,77,"1,78",437,"10,12",505,"11,70",836,"19,37",1.904,"44,10",558,"12,93",356,"8,25",,,,,,
23,Kalimantan Timur,5.045,138,"2,74",578,"11,46",706,"13,99",1.047,"20,75",1.954,"38,73",622,"12,33",508,"10,07",,,,,,
24,Kalimantan Utara,809,15,"1,85",59,"7,29",54,"6,67",149,"18,42",360,"44,50",172,"21,26",106,"13,10",,,,,,
25,Sulawesi Utara,5.008,96,"1,92",270,"5,39",542,"10,82",1.030,"20,57",2.419,"48,30",651,"13,00",392,"7,83",,,,,,
26,Sulawesi Tengah,3.433,6,"0,17",247,"7,19",380,"11,07",505,"14,71",1.746,"50,86",549,"15,99",391,"11,39",,,,,,
27,Sulawesi Selatan,11.557,301,"2,60",1.246,"10,78",1.448,"12,53",1.912,"16,54",4.932,"42,68",1.718,"14,87",1.215,"10,51",,,,,,
28,Sulawesi Tenggara,1.905,14,"0,73",135,"7,09",204,"10,71",303,"15,91",1.014,"53,23",235,"12,34",329,"17,27",,,,,,
29,Gorontalo,1.292,31,"2,40",125,"9,67",109,"8,44",221,"17,11",650,"50,31",156,"12,07",131,"10,14",,,,,,
30,Sulawesi Barat,938,18,"1,92",55,"5,86",101,"10,77",196,"20,90",422,"44,99",146,"15,57",124,"13,22",,,,,,
31,Maluku,2.144,15,"0,70",116,"5,41",206,"9,61",355,"16,56",1.215,"56,67",237,"11,05",241,"11,24",,,,,,
32,Maluku Utara,1.350,32,"2,37",141,"10,44",155,"11,48",228,"16,89",608,"45,04",186,"13,78",171,"12,67",,,,,,
33,Papua Barat,1.382,6,"0,43",56,"4,05",97,"7,02",282,"20,41",824,"59,62",117,"8,47",177,"12,81",,,,,,
34,Papua,3.438,21,"0,61",126,"3,66",319,"9,28",698,"20,30",1.910,"55,56",364,"10,59",483,"14,05",,,,,,
Indonesia,,269.743,5.140,"1,91",22.724,"8,42",34.629,"12,84",52.493,"19,46",118.691,"44,00",36.066,"13,37",24.694,"9,15",,,,,,
No,Provinsi,Rumah Sakit Rujukan ODHA,Pencegahan Penularan Ibu ke Anak (PPIA),Konseling dan Tes HIV,"Perawatan, Dukungan, dan Pengobatan",Layanan Program Terapi Rumatan Metadon,Layanan TB HIV,Layanan Infeksi Menular Seksual (IMS),,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),,,,,,,,,,,,,,
1,Aceh,13,1,14,8,0,3,5,,,,,,,,,,,,,,
2,Sumatera Utara,22,2,49,16,4,14,31,,,,,,,,,,,,,,
3,Sumatera Barat,8,4,23,5,1,2,18,,,,,,,,,,,,,,
4,Riau,9,2,40,12,1,4,30,,,,,,,,,,,,,,
5,Jambi,10,2,11,10,1,2,10,,,,,,,,,,,,,,
6,Sumatera Selatan,13,2,23,10,2,5,10,,,,,,,,,,,,,,
7,Bengkulu,6,1,12,2,0,2,9,,,,,,,,,,,,,,
8,Lampung,10,1,16,2,1,5,8,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,4,2,4,3,0,4,7,,,,,,,,,,,,,,
10,Kepulauan Riau,10,3,17,7,1,7,7,,,,,,,,,,,,,,
11,DKI Jakarta,25,15,77,53,18,19,53,,,,,,,,,,,,,,
12,Jawa Barat,50,21,380,42,15,19,340,,,,,,,,,,,,,,
13,Jawa Tengah,48,23,174,46,7,16,96,,,,,,,,,,,,,,
14,DI Yogyakarta,10,1,39,8,5,8,26,,,,,,,,,,,,,,
15,Jawa Timur,43,11,211,48,10,20,168,,,,,,,,,,,,,,
16,Banten,11,21,66,11,7,5,160,,,,,,,,,,,,,,
17,Bali,11,3,48,12,6,6,21,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,11,9,21,7,0,6,29,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,19,2,4,8,0,2,5,,,,,,,,,,,,,,
20,Kalimantan Barat,11,4,25,9,3,6,19,,,,,,,,,,,,,,
21,Kalimantan Tengah,4,1,15,6,0,3,16,,,,,,,,,,,,,,
22,Kalimantan Selatan,7,2,9,3,0,4,7,,,,,,,,,,,,,,
23,Kalimantan Timur,15,4,35,9,2,5,36,,,,,,,,,,,,,,
24,Kalimantan Utara,3,0,0,0,0,0,0,,,,,,,,,,,,,,
25,Sulawesi Utara,6,3,25,6,0,5,10,,,,,,,,,,,,,,
26,Sulawesi Tengah,9,7,8,10,0,2,12,,,,,,,,,,,,,,
27,Sulawesi Selatan,17,4,89,20,6,10,27,,,,,,,,,,,,,,
28,Sulawesi Tenggara,5,1,3,2,0,3,25,,,,,,,,,,,,,,
29,Gorontalo,4,0,1,1,0,1,10,,,,,,,,,,,,,,
30,Sulawesi Barat,4,0,6,0,0,2,2,,,,,,,,,,,,,,
31,Maluku,7,1,21,3,0,3,9,,,,,,,,,,,,,,
32,Maluku Utara,2,1,1,3,0,2,3,,,,,,,,,,,,,,
33,Papua Barat,6,30,40,15,0,7,26,,,,,,,,,,,,,,
34,Papua,17,30,76,68,0,21,55,,,,,,,,,,,,,,
Indonesia,,450,214,1.583,465,90,223,1.290,,,,,,,,,,,,,,
No,Provinsi,Penggunaan di Puskesmas ( % ),Penggunaan di Rumah Sakit ( % ),Rata-Rata Penggunaan ( % ),,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,
1,Aceh,"99,59","72,91","86,25",,,,,,,,,,,,,,,,,,
2,Sumatera Utara,"96,94","84,47","90,71",,,,,,,,,,,,,,,,,,
3,Sumatera Barat,"98,16","73,12","85,64",,,,,,,,,,,,,,,,,,
4,Riau,"94,50","75,25","84,88",,,,,,,,,,,,,,,,,,
5,Kepulauan Riau,"97,00","89,33","93,17",,,,,,,,,,,,,,,,,,
6,Bengkulu,"92,00","78,00","85,00",,,,,,,,,,,,,,,,,,
7,Jambi,"97,96","65,69","81,83",,,,,,,,,,,,,,,,,,
8,Sumatera Selatan,"87,55","80,18","83,87",,,,,,,,,,,,,,,,,,
9,Lampung,"96,49","79,63","88,06",,,,,,,,,,,,,,,,,,
10,Kepuluan Bangka Belitung,"97,27","86,35","91,81",,,,,,,,,,,,,,,,,,
11,Banten,"94,42","65,82","80,12",,,,,,,,,,,,,,,,,,
12,DKI Jakarta,"95,50","66,31","80,91",,,,,,,,,,,,,,,,,,
13,Jawa Tengah,"82,07","64,32","73,20",,,,,,,,,,,,,,,,,,
14,Jawa Barat,"98,67","73,53","86,10",,,,,,,,,,,,,,,,,,
15,DI Yogyakarta,"98,22","68,84","83,53",,,,,,,,,,,,,,,,,,
16,Jawa Timur,"88,13","84,39","86,26",,,,,,,,,,,,,,,,,,
17,Bali,"96,14","51,66","73,90",,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,"98,66","76,32","87,49",,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,"86,61","73,22","79,92",,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,"96,44","73,77","85,11",,,,,,,,,,,,,,,,,,
21,Kalimantan Timur,"93,40","61,20","77,30",,,,,,,,,,,,,,,,,,
22,Kalimantan Tengah,"95,52","67,75","81,64",,,,,,,,,,,,,,,,,,
23,Kalimantan Selatan,"97,71","61,15","79,43",,,,,,,,,,,,,,,,,,
24,Sulawesi Utara,"100,00","94,96","97,48",,,,,,,,,,,,,,,,,,
25,Sulawesi Barat,"100,00","92,47","96,24",,,,,,,,,,,,,,,,,,
26,Sulawesi Tenggara,"95,00","87,00","91,00",,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,"99,56","78,31","88,94",,,,,,,,,,,,,,,,,,
28,Sulawesi Tengah,"88,54","93,67","91,11",,,,,,,,,,,,,,,,,,
29,Gorontalo,"100,00","84,07","92,04",,,,,,,,,,,,,,,,,,
30,Maluku,"97,28","81,23","89,26",,,,,,,,,,,,,,,,,,
31,Maluku Utara,"94,50","80,50","87,50",,,,,,,,,,,,,,,,,,
32,Papua,"100,00","71,13","85,57",,,,,,,,,,,,,,,,,,
