- Ansar. 2017. Problematika Alokasi dan Distribusi Anggaran Kesehatan pada Dinas Kesehatan,,,,,,,,,,,,,,,,,,,
"Provinsi Sulawesi Tengah. Kanun Jurnal Ilmu Hukum,","Vol 19, No 2",.,,,,,,,,,,,,,,,,,
http://www.jurnal.unsyiah.ac.id/kanun/article/view/6850,,,,,,,,,,,,,,,,,,,
No,Fasilitas Kesehatan,Pemilikan/Pengelola,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN/Kementerian Lain*,,Swasta,,Jumlah,,,,,
28,Sulawesi Tenggara,0,"0,0",0,2,"5,3",628,15,"39,5",2.181,19,"50,0",883,2,"5,3",0,,,
29,Gorontalo,0,"0,0",0,2,"11,8",683,6,"35,3",915,9,"52,9",608,0,"0,0",0,,,
30,Sulawesi Barat,0,"0,0",0,0,"0,0",0,7,"50,0",1.169,5,"35,7",312,2,"14,3",9,,,
31,Maluku,0,"0,0",0,4,"12,1",884,8,"24,2",1.126,20,"60,6",1.033,1,"3,0",0,,,
32,Maluku Utara,0,"0,0",0,1,"4,5",334,7,"31,8",760,12,"54,5",656,2,"9,1",49,,,
33,Papua Barat,0,"0,0",0,0,"0,0",0,7,"30,4",1.083,14,"60,9",936,2,"8,7",71,,,
34,Papua,0,"0,0",0,2,"4,3",450,14,"29,8",2.630,26,"55,3",1.282,5,"10,6",295,,,
Indonesia,,60,"2,0",28.187,437,"14,4",106.496,1.593,"52,4",179.565,905,"29,8",55.676,47,"1,5",1.271,,,
No,Provinsi,2020,,,,2021,,,,,,,,,,,,,
,,Estimasi Jumlah Penduduk 2020,Total,,,Estimasi Jumlah Penduduk 2021,Total,,,,,,,,,,,,
,,,RS,TT,,,RS,TT,,,,,,,,,,,
,,,,Jumlah,Rasio,,,Jumlah,Rasio,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,,,
1,Aceh,5.371.532,70,9.311,"1,7",5.459.114,"72,0",10.611,"1,9",,,,,,,,,,
2,Sumatera Utara,14.562.549,222,24.838,"1,7",14.954.028,"222,0",24.358,"1,6",,,,,,,,,,
3,Sumatera Barat,5.441.197,79,8.092,"1,5",5.610.859,"80,0",7.558,"1,3",,,,,,,,,,
4,Riau,6.971.745,73,8.467,"1,2",7.066.464,"76,0",8.438,"1,2",,,,,,,,,,
5,Jambi,3.624.579,42,4.701,"1,3",3.641.279,"41,0",4.746,"1,3",,,,,,,,,,
6,Sumatera Selatan,8.470.683,87,10.583,"1,2",8.702.628,"87,0",9.750,"1,1",,,,,,,,,,
7,Bengkulu,1.991.838,25,2.904,"1,5",2.016.437,"26,0",2.844,"1,4",,,,,,,,,,
8,Lampung,8.447.737,80,8.391,"1,0",8.609.884,"80,0",8.186,"1,0",,,,,,,,,,
9,Kep. Bangka Belitung,1.488.792,25,2.160,"1,5",1.488.245,"27,0",2.427,"1,6",,,,,,,,,,
10,Kepulauan Riau,2.189.653,36,3.712,"1,7",2.378.795,"36,0",4.036,"1,7",,,,,,,,,,
11,DKI Jakarta,10.557.810,193,32.284,"3,1",10.645.542,"193,0",25.222,"2,4",,,,,,,,,,
12,Jawa Barat,49.316.712,377,54.137,"1,1",50.103.251,"388,0",52.298,"1,0",,,,,,,,,,
13,Jawa Tengah,34.718.204,319,47.923,"1,4",34.917.040,"324,0",45.901,"1,3",,,,,,,,,,
14,DI Yogyakarta,3.842.932,85,7.219,"1,9",3.970.220,"81,0",7.143,"1,8",,,,,,,,,,
15,Jawa Timur,39.698.631,395,51.504,"1,3",40.156.672,"400,0",51.100,"1,3",,,,,,,,,,
16,Banten,12.927.316,120,13.881,"1,1",13.074.189,"123,0",13.426,"1,0",,,,,,,,,,
17,Bali,4.336.923,72,8.183,"1,9",4.466.595,"73,0",8.624,"1,9",,,,,,,,,,
18,Nusa Tenggara Barat,5.070.385,39,4.510,"0,9",5.298.471,"43,0",6.046,"1,1",,,,,,,,,,
19,Nusa Tenggara Timur,5.456.203,54,5.052,"0,9",5.588.744,"56,0",5.601,"1,0",,,,,,,,,,
20,Kalimantan Barat,5.069.127,55,5.922,"1,2",5.162.937,"53,0",6.556,"1,3",,,,,,,,,,
21,Kalimantan Tengah,2.714.859,28,3.885,"1,4",2.722.168,"30,0",4.002,"1,5",,,,,,,,,,
22,Kalimantan Selatan,4.244.096,47,6.187,"1,5",4.319.794,"52,0",6.478,"1,5",,,,,,,,,,
23,Kalimantan Timur,3.721.389,57,7.551,"2,0",3.708.936,"60,0",6.786,"1,8",,,,,,,,,,
24,Kalimantan Utara,742.245,11,1.177,"1,6",721.181,"12,0",1.371,"1,9",,,,,,,,,,
25,Sulawesi Utara,2.506.981,51,6.706,"2,7",2.530.967,"53,0",6.833,"2,7",,,,,,,,,,
26,Sulawesi Tengah,3.054.023,40,4.833,"1,6",3.120.863,"40,0",5.156,"1,7",,,,,,,,,,
27,Sulawesi Selatan,8.851.240,116,16.723,"1,9",8.956.181,"120,0",16.721,"1,9",,,,,,,,,,
28,Sulawesi Tenggara,2.704.737,37,3.496,"1,3",2.743.155,"38,0",3.692,"1,3",,,,,,,,,,
29,Gorontalo,1.202.631,16,2.335,"1,9",1.195.883,"17,0",2.206,"1,8",,,,,,,,,,
30,Sulawesi Barat,1.380.256,13,1.496,"1,1",1.396.749,"14,0",1.490,"1,1",,,,,,,,,,
31,Maluku,1.802.870,33,3.109,"1,7",1.805.376,"33,0",3.043,"1,7",,,,,,,,,,
32,Maluku Utara,1.255.771,21,1.608,"1,3",1.268.866,"22,0",1.799,"1,4",,,,,,,,,,
33,Papua Barat,959.617,20,2.160,"2,3",1.008.698,"23,0",2.090,"2,1",,,,,,,,,,
34,Papua,3.379.302,47,4.508,"1,3",3.438.243,"47,0",4.657,"1,4",,,,,,,,,,
Indonesia,,268.074.565,2.985,379.548,"1,4",272.248.454,"3.042,0",371.195,"1,4",,,,,,,,,,
No,Fasilitas Kesehatan,Jumlah RS,Jumlah TT,,,,,,,,,,,,,,,,
(1),(2),(3),(4),,,,,,,,,,,,,,,,
1,Aceh,0,0,,,,,,,,,,,,,,,,
2,Sumatera Utara,0,0,,,,,,,,,,,,,,,,
3,Sumatera Barat,1,0,,,,,,,,,,,,,,,,
4,Riau,0,0,,,,,,,,,,,,,,,,
5,Jambi,0,0,,,,,,,,,,,,,,,,
6,Sumatera Selatan,0,0,,,,,,,,,,,,,,,,
7,Bengkulu,0,0,,,,,,,,,,,,,,,,
8,Lampung,1,50,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,1,0,,,,,,,,,,,,,,,,
10,Kepulauan Riau,1,920,,,,,,,,,,,,,,,,
11,DKI Jakarta,3,8286,,,,,,,,,,,,,,,,
12,Jawa Barat,3,567,,,,,,,,,,,,,,,,
13,Jawa Tengah,5,1216,,,,,,,,,,,,,,,,
14,DI Yogyakarta,3,200,,,,,,,,,,,,,,,,
15,Jawa Timur,45,3338,,,,,,,,,,,,,,,,
16,Banten,0,0,,,,,,,,,,,,,,,,
17,Bali,0,0,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,0,0,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,0,0,,,,,,,,,,,,,,,,
20,Kalimantan Barat,2,290,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,0,0,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,1,266,,,,,,,,,,,,,,,,
23,Kalimantan Timur,0,0,,,,,,,,,,,,,,,,
24,Kalimantan Utara,0,0,,,,,,,,,,,,,,,,
25,Sulawesi Utara,3,626,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,1,57,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,2,66,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,0,0,,,,,,,,,,,,,,,,
29,Gorontalo,0,0,,,,,,,,,,,,,,,,
30,Sulawesi Barat,0,0,,,,,,,,,,,,,,,,
31,Maluku,4,520,,,,,,,,,,,,,,,,
32,Maluku Utara,0,0,,,,,,,,,,,,,,,,
33,Papua Barat,1,138,,,,,,,,,,,,,,,,
34,Papua,0,0,,,,,,,,,,,,,,,,
Indonesia,,77,16.540,,,,,,,,,,,,,,,,
"Sumber: Ditjen. Pelayanan Kesehatan, Kemenkes RI, 2021 per 2 Januari 2022",,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit,Rumah Sakit Pemerintah Terakreditasi,Rumah Sakit Swasta Terakreditasi,Total Rumah Sakit Terakreditasi,Persentase Rumah Sakit Terakreditasi,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,
1,Aceh,72,33,32,65,"90,3",,,,,,,,,,,,,
2,Sumatera Utara,222,46,118,164,"73,9",,,,,,,,,,,,,
3,Sumatera Barat,80,28,37,65,"81,3",,,,,,,,,,,,,
4,Riau,76,21,41,62,"81,6",,,,,,,,,,,,,
5,Jambi,41,16,17,33,"80,5",,,,,,,,,,,,,
6,Sumatera Selatan,87,32,33,65,"74,7",,,,,,,,,,,,,
7,Bengkulu,26,15,6,21,"80,8",,,,,,,,,,,,,
8,Lampung,80,18,48,66,"82,5",,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,27,10,8,18,"66,7",,,,,,,,,,,,,
10,Kepulauan Riau,36,14,15,29,"80,6",,,,,,,,,,,,,
11,DKI Jakarta,193,55,114,169,"87,6",,,,,,,,,,,,,
12,Jawa Barat,388,69,255,324,"83,5",,,,,,,,,,,,,
13,Jawa Tengah,324,75,203,278,"85,8",,,,,,,,,,,,,
14,DI Yogyakarta,81,14,54,68,"84,0",,,,,,,,,,,,,
15,Jawa Timur,400,100,253,353,"88,3",,,,,,,,,,,,,
16,Banten,123,14,84,98,"79,7",,,,,,,,,,,,,
17,Bali,73,21,43,64,"87,7",,,,,,,,,,,,,
18,Nusa Tenggara Barat,43,18,15,33,"76,7",,,,,,,,,,,,,
19,Nusa Tenggara Timur,56,24,21,45,"80,4",,,,,,,,,,,,,
20,Kalimantan Barat,53,25,20,45,"84,9",,,,,,,,,,,,,
21,Kalimantan Tengah,30,19,3,22,"73,3",,,,,,,,,,,,,
22,Kalimantan Selatan,52,22,20,42,"80,8",,,,,,,,,,,,,
23,Kalimantan Timur,60,20,23,43,"71,7",,,,,,,,,,,,,
24,Kalimantan Utara,12,7,1,8,"66,7",,,,,,,,,,,,,
25,Sulawesi Utara,53,22,19,41,"77,4",,,,,,,,,,,,,
26,Sulawesi Tengah,40,21,10,31,"77,5",,,,,,,,,,,,,
27,Sulawesi Selatan,120,46,48,94,"78,3",,,,,,,,,,,,,
28,Sulawesi Tenggara,38,21,9,30,"78,9",,,,,,,,,,,,,
29,Gorontalo,17,8,4,12,"70,6",,,,,,,,,,,,,
30,Sulawesi Barat,14,8,1,9,"64,3",,,,,,,,,,,,,
31,Maluku,33,18,5,23,"69,7",,,,,,,,,,,,,
32,Maluku Utara,22,12,4,16,"72,7",,,,,,,,,,,,,
33,Papua Barat,23,11,3,14,"60,9",,,,,,,,,,,,,
34,Papua,47,26,6,32,"68,1",,,,,,,,,,,,,
Indonesia,,3.042,909,1.573,2.482,"81,6",,,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit Kabupaten/Kota Kelas C yang Melaporkan Data,Jumlah RS yang Memiliki 4 Dokter Spesialis Dasar dan 3 Dokter Spesialis Penunjang,Persentase,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,
1,Aceh,24,24,"100,0",,,,,,,,,,,,,,,
2,Sumatera Utara,33,28,"84,8",,,,,,,,,,,,,,,
3,Sumatera Barat,21,15,"71,4",,,,,,,,,,,,,,,
4,Riau,16,12,"75,0",,,,,,,,,,,,,,,
5,Jambi,16,12,"75,0",,,,,,,,,,,,,,,
6,Sumatera Selatan,29,20,"69,0",,,,,,,,,,,,,,,
7,Bengkulu,10,8,"80,0",,,,,,,,,,,,,,,
8,Lampung,16,13,"81,3",,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,8,8,"100,0",,,,,,,,,,,,,,,
10,Kepulauan Riau,10,6,"60,0",,,,,,,,,,,,,,,
11,DKI Jakarta*,0,0,"0,0",,,,,,,,,,,,,,,
12,Jawa Barat,52,42,"80,8",,,,,,,,,,,,,,,
13,Jawa Tengah,56,53,"94,6",,,,,,,,,,,,,,,
14,DI Yogyakarta,9,8,"88,9",,,,,,,,,,,,,,,
15,Jawa Timur,60,52,"86,7",,,,,,,,,,,,,,,
16,Banten,11,9,"81,8",,,,,,,,,,,,,,,
17,Bali,11,9,"81,8",,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,13,9,"69,2",,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,21,15,"71,4",,,,,,,,,,,,,,,
20,Kalimantan Barat,19,11,"57,9",,,,,,,,,,,,,,,
21,Kalimantan Tengah,14,10,"71,4",,,,,,,,,,,,,,,
22,Kalimantan Selatan,18,13,"72,2",,,,,,,,,,,,,,,
23,Kalimantan Timur,12,10,"83,3",,,,,,,,,,,,,,,
24,Kalimantan Utara,5,4,"80,0",,,,,,,,,,,,,,,
25,Sulawesi Utara,17,9,"52,9",,,,,,,,,,,,,,,
26,Sulawesi Tengah,23,14,"60,9",,,,,,,,,,,,,,,
27,Sulawesi Selatan,32,25,"78,1",,,,,,,,,,,,,,,
28,Sulawesi Tenggara,16,8,"50,0",,,,,,,,,,,,,,,
29,Gorontalo,9,7,"77,8",,,,,,,,,,,,,,,
30,Sulawesi Barat,7,4,"57,1",,,,,,,,,,,,,,,
31,Maluku,13,5,"38,5",,,,,,,,,,,,,,,
32,Maluku Utara,7,4,"57,1",,,,,,,,,,,,,,,
33,Papua Barat,9,6,"66,7",,,,,,,,,,,,,,,
34,Papua,19,6,"31,6",,,,,,,,,,,,,,,
Indonesia,,636,479,"75,3",,,,,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit Pemerintah,Jumlah RS Pemerintah yang Menyelenggarakan Pelayanan Kesehatan Tradisional Integrasi,Persentase RS Pemerintah yang Menyelenggarakan Pelayanan Kesehatan Tradisional Integrasi,Jumlah Rumah Sakit Pemerintah dengan Tenaga Kesehatan yang Sudah Dilatih,,,,,,,,,,,,,,
,,,,,Dilatih Akupunktur,Dilatih Herbal Medik,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,
1,Aceh,34,3,"8,8",7,2,,,,,,,,,,,,,
2,Sumatera Utara,62,,"0,0",7,2,,,,,,,,,,,,,
3,Sumatera Barat,33,,"0,0",4,3,,,,,,,,,,,,,
4,Riau,26,,"0,0",8,3,,,,,,,,,,,,,
5,Jambi,18,,"0,0",7,,,,,,,,,,,,,,
6,Sumatera Selatan,44,,"0,0",6,1,,,,,,,,,,,,,
7,Bengkulu,17,,"0,0",4,1,,,,,,,,,,,,,
8,Lampung,20,,"0,0",6,1,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,12,,"0,0",6,1,,,,,,,,,,,,,
10,Kepulauan Riau,16,,"0,0",4,1,,,,,,,,,,,,,
11,DKI Jakarta,61,,"0,0",2,,,,,,,,,,,,,,
12,Jawa Barat,81,,"0,0",12,2,,,,,,,,,,,,,
13,Jawa Tengah,82,3,"3,7",14,5,,,,,,,,,,,,,
14,DI Yogyakarta,15,1,"6,7",7,,,,,,,,,,,,,,
15,Jawa Timur,106,3,"2,8",15,4,,,,,,,,,,,,,
16,Banten,18,,"0,0",5,2,,,,,,,,,,,,,
17,Bali,23,2,"8,7",3,4,,,,,,,,,,,,,
18,Nusa Tenggara Barat,20,1,"5,0",5,1,,,,,,,,,,,,,
19,Nusa Tenggara Timur,29,,"0,0",7,,,,,,,,,,,,,,
20,Kalimantan Barat,31,,"0,0",5,1,,,,,,,,,,,,,
21,Kalimantan Tengah,20,,"0,0",5,2,,,,,,,,,,,,,
22,Kalimantan Selatan,25,,"0,0",2,2,,,,,,,,,,,,,
23,Kalimantan Timur,27,1,"3,7",6,2,,,,,,,,,,,,,
24,Kalimantan Utara,10,,"0,0",1,,,,,,,,,,,,,,
25,Sulawesi Utara,27,,"0,0",6,,,,,,,,,,,,,,
26,Sulawesi Tengah,28,,"0,0",5,1,,,,,,,,,,,,,
27,Sulawesi Selatan,53,,"0,0",6,1,,,,,,,,,,,,,
28,Sulawesi Tenggara,22,,"0,0",5,,,,,,,,,,,,,,
29,Gorontalo,11,,"0,0",5,1,,,,,,,,,,,,,
30,Sulawesi Barat,9,,"0,0",4,1,,,,,,,,,,,,,
31,Maluku,23,1,"4,3",4,1,,,,,,,,,,,,,
32,Maluku Utara,16,,"0,0",4,,,,,,,,,,,,,,
33,Papua Barat,16,,"0,0",3,,,,,,,,,,,,,,
34,Papua,36,1,"2,8",5,1,,,,,,,,,,,,,
Indonesia,,1.071,16,"1,5",195,46,,,,,,,,,,,,,
No,Provinsi,Dokter Spesialis a,,,Dokter Umum,,,Total,,,Dokter Gigi Spesialis,,,Dokter Gigi,,,Total,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
1,Aceh,448,433,881,596,935,1.531,1.044,1.368,2.412,8,15,23,31,77,108,39,92,131
2,Sumatera Utara,1.238,849,2.087,1.442,1.929,3.371,2.680,2.778,5.458,30,62,92,189,555,744,219,617,836
3,Sumatera Barat,494,481,975,420,952,1.372,914,1.433,2.347,8,13,21,26,108,134,34,121,155
4,Riau,560,367,927,495,915,1.410,1.055,1.282,2.337,14,28,42,43,146,189,57,174,231
5,Jambi,228,172,400,210,414,624,438,586,1.024,5,10,15,16,62,78,21,72,93
6,Sumatera Selatan,524,480,1.004,646,1.022,1.668,1.170,1.502,2.672,12,22,34,30,118,148,42,140,182
7,Bengkulu,120,91,211,111,249,360,231,340,571,2,7,9,8,38,46,10,45,55
8,Lampung,452,245,697,381,661,1.042,833,906,1.739,7,15,22,23,59,82,30,74,104
9,Kep. Bangka Belitung,132,90,222,110,171,281,242,261,503,7,12,19,9,19,28,16,31,47
10,Kepulauan Riau,254,149,403,216,337,553,470,486,956,15,11,26,14,42,56,29,53,82
11,DKI Jakarta,3.120,2.846,5.966,1.817,3.113,4.930,4.937,5.959,10.896,211,467,678,384,1.515,1.899,595,1.982,2.577
12,Jawa Barat,3.441,2.583,6.024,3.164,4.317,7.481,6.605,6.900,13.505,151,301,452,225,762,987,376,1.063,1.439
13,Jawa Tengah,2.539,1.658,4.197,2.027,2.984,5.011,4.566,4.642,9.208,87,119,206,157,515,672,244,634,878
14,DI Yogyakarta,562,516,1.078,1.002,1.148,2.150,1.564,1.664,3.228,57,108,165,97,237,334,154,345,499
15,Jawa Timur,3.226,2.285,5.511,3.325,4.166,7.491,6.551,6.451,13.002,168,312,480,379,1.206,1.585,547,1.518,2.065
16,Banten,1.028,898,1.926,870,1.545,2.415,1.898,2.443,4.341,39,94,133,39,234,273,78,328,406
17,Bali,950,583,1.533,1.396,1.501,2.897,2.346,2.084,4.430,34,31,65,62,168,230,96,199,295
18,Nusa Tenggara Barat,240,185,425,266,390,656,506,575,1.081,6,14,20,7,44,51,13,58,71
19,Nusa Tenggara Timur,212,172,384,279,454,733,491,626,1.117,3,7,10,9,45,54,12,52,64
20,Kalimantan Barat,252,165,417,289,356,645,541,521,1.062,9,11,20,30,52,82,39,63,102
21,Kalimantan Tengah,161,137,298,171,226,397,332,363,695,6,8,14,12,33,45,18,41,59
22,Kalimantan Selatan,321,232,553,265,369,634,586,601,1.187,14,25,39,35,60,95,49,85,134
23,Kalimantan Timur,421,318,739,352,594,946,773,912,1.685,17,36,53,28,66,94,45,102,147
