,,Targe,t Renstra 20,19 : 90%,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,
1,Aceh,143,143,143,148,179,196,197,198,200,180,,,,,,,,,,,,,,,,
2,Sumatera Utara,164,164,163,175,184,407,407,408,406,417,,,,,,,,,,,,,,,,
3,Sumatera Barat,91,91,91,91,108,173,173,178,184,167,,,,,,,,,,,,,,,,
4,Riau,79,79,80,81,102,133,134,135,135,126,,,,,,,,,,,,,,,,
5,Jambi,68,68,71,74,81,108,115,115,121,124,,,,,,,,,,,,,,,,
6,Sumatera Selatan,95,95,95,95,98,227,227,227,237,243,,,,,,,,,,,,,,,,
7,Bengkulu,46,46,46,47,52,134,134,134,133,127,,,,,,,,,,,,,,,,
8,Lampung,112,112,115,119,136,179,180,182,183,174,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,21,21,21,21,21,41,41,42,43,43,,,,,,,,,,,,,,,,
10,Kepulauan Riau,28,28,29,32,36,44,45,45,51,50,,,,,,,,,,,,,,,,
11,DKI Jakarta,30,30,30,28,28,310,310,310,293,287,,,,,,,,,,,,,,,,
12,Jawa Barat,176,182,185,186,291,874,868,871,883,781,,,,,,,,,,,,,,,,
13,Jawa Tengah,320,320,322,361,368,555,555,554,520,510,,,,,,,,,,,,,,,,
14,DI Yogyakarta,43,43,43,49,49,78,78,78,72,72,,,,,,,,,,,,,,,,
15,Jawa Timur,519,519,520,534,553,441,441,443,433,415,,,,,,,,,,,,,,,,
16,Banten,56,56,56,56,82,177,177,177,186,161,,,,,,,,,,,,,,,,
17,Bali,35,35,35,38,42,85,85,85,82,78,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,109,109,110,111,122,49,49,50,55,47,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,137,137,137,151,163,234,234,235,230,239,,,,,,,,,,,,,,,,
20,Kalimantan Barat,95,95,95,118,125,143,143,146,126,121,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,73,73,73,75,88,122,122,123,125,115,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,46,50,50,50,50,184,180,180,183,185,,,,,,,,,,,,,,,,
23,Kalimantan Timur,95,95,96,97,102,79,80,83,86,84,,,,,,,,,,,,,,,,
24,Kalimantan Utara,32,32,32,32,27,17,17,17,24,28,,,,,,,,,,,,,,,,
25,Sulawesi Utara,92,92,92,92,94,95,96,97,101,101,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,79,79,79,84,102,110,110,114,118,104,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,227,227,257,269,301,221,221,194,189,158,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,80,82,81,82,93,189,187,193,202,197,,,,,,,,,,,,,,,,
29,Gorontalo,23,23,26,28,32,70,70,67,65,61,,,,,,,,,,,,,,,,
30,Sulawesi Barat,44,45,45,45,58,50,49,49,49,37,,,,,,,,,,,,,,,,
31,Maluku,64,64,64,64,77,135,135,135,144,132,,,,,,,,,,,,,,,,
32,Maluku Utara,27,27,27,36,45,100,101,102,98,102,,,,,,,,,,,,,,,,
33,Papua Barat,43,44,45,44,44,108,107,110,115,115,,,,,,,,,,,,,,,,
34,Papua,104,105,105,110,115,290,288,289,298,305,,,,,,,,,,,,,,,,
Indonesia,,3.396,3.411,3.459,3.623,4.048,6.358,6.356,6.366,6.370,6.086,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Kecamatan,Rasio Puskesmas per Kecamatan,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,359,289,"1,24",,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,601,450,"1,34",,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,179,"1,54",,,,,,,,,,,,,,,,,,,,,,,
4,Riau,228,169,"1,35",,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,205,141,"1,45",,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,241,"1,41",,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,129,"1,39",,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,310,228,"1,36",,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,47,"1,36",,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,75,"1,15",,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,44,"7,16",,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.072,627,"1,71",,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,576,"1,52",,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,78,"1,55",,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,666,"1,45",,,,,,,,,,,,,,,,,,,,,,,
16,Banten,243,155,"1,57",,,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,57,"2,11",,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,117,"1,44",,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,309,"1,30",,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,174,"1,41",,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,136,"1,49",,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,153,"1,54",,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,103,"1,81",,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,53,"1,04",,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,171,"1,14",,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,175,"1,18",,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,459,311,"1,48",,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,219,"1,32",,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,77,"1,21",,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,69,"1,38",,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,209,118,"1,77",,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,116,"1,27",,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,159,560,"0,28",,,,,,,,,,,,,,,,,,,,,,,
34,Papua,420,218,"1,93",,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.134,7.230,"1,40",,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Puskesmas Terakreditasi,Jumlah Kabupaten/Kota yang Memiliki Puskesmas Terakreditasi,Jumlah Kecamatan dengan Minimal 1 Puskesmas Terakreditasi,Persentase Puskesmas Terakreditasi (%),Status Akreditasi Puskesmas,,,,Jumlah Puskesmas Belum Terakreditasi,,,,,,,,,,,,,,,,
,,,,,,,Dasar,Madya,Utama,Purna,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,
1,Aceh,359,333,23,275,"92,76",100,203,28,2,26,,,,,,,,,,,,,,,,
2,Sumatera Utara,601,559,33,406,"93,01",236,293,29,1,42,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,271,19,165,"98,55",61,164,41,5,4,,,,,,,,,,,,,,,,
4,Riau,228,214,12,160,"93,86",66,120,28,0,14,,,,,,,,,,,,,,,,
5,Jambi,205,188,11,129,"91,71",54,112,19,3,17,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,333,17,212,"97,65",90,196,42,5,8,,,,,,,,,,,,,,,,
7,Bengkulu,179,179,10,121,"100,00",70,100,9,0,0,,,,,,,,,,,,,,,,
8,Lampung,310,296,15,220,"95,48",25,208,59,4,14,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,7,44,"100,00",8,36,19,1,0,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,83,7,66,"96,51",20,42,20,1,3,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,151,6,42,"47,94",11,89,20,31,164,,,,,,,,,,,,,,,,
12,Jawa Barat,1.072,1.028,27,620,"95,90",179,617,205,27,44,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,873,35,571,"99,43",97,467,270,39,5,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,5,78,"100,00",0,43,64,14,0,,,,,,,,,,,,,,,,
15,Jawa Timur,968,963,38,660,"99,48",72,530,316,45,5,,,,,,,,,,,,,,,,
16,Banten,243,231,8,147,"95,06",44,138,47,2,12,,,,,,,,,,,,,,,,
17,Bali,120,120,9,57,"100,00",13,66,31,10,0,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,163,10,115,"96,45",34,94,31,4,6,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,367,22,286,"91,29",166,180,21,0,35,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,230,14,164,"93,50",68,133,24,5,16,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,194,14,127,"95,57",72,100,20,2,9,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,233,13,150,"99,15",73,125,32,3,2,,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,182,10,103,"97,85",36,102,38,6,4,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,55,5,42,"100,00",21,24,9,1,0,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,169,15,125,"86,67",76,73,19,1,26,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,198,13,156,"96,12",70,109,19,0,8,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,459,454,24,296,"98,91",80,235,118,21,5,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,263,17,201,"90,69",94,140,27,2,27,,,,,,,,,,,,,,,,
29,Gorontalo,93,92,6,72,"98,92",22,50,17,3,1,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,85,6,64,"89,47",18,54,13,0,10,,,,,,,,,,,,,,,,
31,Maluku,209,156,11,83,"74,64",69,77,10,0,53,,,,,,,,,,,,,,,,
32,Maluku Utara,147,113,10,94,"76,87",42,64,6,1,34,,,,,,,,,,,,,,,,
33,Papua Barat,159,72,13,62,"45,28",35,32,5,0,87,,,,,,,,,,,,,,,,
34,Papua,420,120,20,99,"28,57",55,52,13,0,300,,,,,,,,,,,,,,,,
Indonesia,,10.134,9.153,505,6.212,"90,32",2.177,5.068,1.669,239,981,,,,,,,,,,,,,,,,
No,Provinsi,2018,,2019,,,,,,,,,,,,,,,,,,,,,,,
,,Jumlah Puskesmas*,Jumlah Puskesmas Memiliki 5 Jenis Tenaga Kesehatan Promotif Preventif,Jumlah Puskesmas,Jumlah Puskesmas Memiliki 5 Jenis Tenaga Kesehatan Promotif Preventif,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,345,179,359,163,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,570,142,601,191,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,276,133,275,172,,,,,,,,,,,,,,,,,,,,,,
4,Riau,232,99,228,95,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,207,124,205,95,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,162,341,146,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,180,72,179,56,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,295,84,310,148,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,45,64,59,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,85,36,86,36,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,343,32,315,43,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.070,237,1.072,406,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,882,406,878,613,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,92,121,102,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,965,469,968,437,,,,,,,,,,,,,,,,,,,,,,
16,Banten,237,51,243,80,,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,56,120,45,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,165,113,169,110,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,376,205,402,179,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,243,143,246,133,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,200,89,203,80,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,234,156,235,163,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,189,123,186,89,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,56,34,55,30,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,194,25,195,45,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,200,83,206,100,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,455,236,459,235,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,283,107,290,127,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,42,93,53,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,61,95,42,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,207,32,209,31,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,134,57,147,67,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,158,36,159,41,,,,,,,,,,,,,,,,,,,,,,
34,Papua,402,68,420,73,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.017,4.029,10.134,4.485,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Puskesmas yang Menyelenggarakan Kesehatan Kerja Dasar,Persentase Puskesmas yang Menyelenggarakan Kesehatan Kerja Dasar (%),Jumlah Puskesmas yang Melaksanakan Kegiatan Kesehatan Olahraga pada Kelompok Masyarakat di Wilayah Kerjanya,Persentase Puskesmas yang Melaksanakan Kegiatan Kesehatan Olahraga pada Kelompok Masyarakat di Wilayah Kerjanya (%),Jumlah Puskesmas yang Melaksanakan Kesehatan Olahraga bagi Anak Sekolah Dasar,Persentase Puskesmas yang Melaksanakan Kesehatan Olahraga bagi Anak Sekolah Dasar (%),Terbentuknya Pos UKK di wilayah kerja Puskesmas,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sasaran,Capaian,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,359,247,"68,80",265,"73,82",196,"54,60",53,53,,,,,,,,,,,,,,,,,
2,Sumatera Utara,601,437,"72,71",496,"82,53",485,"80,70",141,141,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,190,"69,09",209,"76,00",198,"72,00",284,284,,,,,,,,,,,,,,,,,
4,Riau,228,201,"88,16",201,"88,16",78,"34,21",230,230,,,,,,,,,,,,,,,,,
5,Jambi,205,175,"85,37",181,"88,29",178,"86,83",169,169,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,281,"82,40",235,"68,91",281,"82,40",174,174,,,,,,,,,,,,,,,,,
7,Bengkulu,179,179,"100,00",179,"100,00",174,"97,21",241,241,,,,,,,,,,,,,,,,,
8,Lampung,310,264,"85,16",257,"82,90",214,"69,03",190,190,,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,64,64,"100,00",64,"100,00",64,"100,00",88,88,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,80,"93,02",83,"96,51",83,"96,51",202,202,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,325,"103,17",330,"104,76",299,"94,92",99,99,,,,,,,,,,,,,,,,,
12,Jawa Barat,1072,693,"64,65",932,"86,94",513,"47,85",470,470,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,712,"81,09",688,"78,36",876,"99,77",789,789,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,"100,00",121,"100,00",121,"100,00",107,107,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,949,"98,04",923,"95,35",923,"95,35",1246,1336,,,,,,,,,,,,,,,,,
16,Banten,243,237,"97,53",235,"96,71",194,"79,84",194,194,,,,,,,,,,,,,,,,,
17,Bali,120,107,"89,17",118,"98,33",91,"75,83",29,29,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,162,"95,86",160,"94,67",89,"52,66",322,322,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,284,"70,65",272,"67,66",205,"51,00",300,300,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,195,"79,27",185,"75,20",237,"96,34",209,209,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,128,"63,05",95,"46,80",95,"46,80",86,86,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,178,"75,74",176,"74,89",73,"31,06",173,173,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,101,"54,30",116,"62,37",67,"36,02",57,57,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,37,"67,27",33,"60,00",40,"72,73",44,44,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,193,"98,97",193,"98,97",193,"98,97",64,64,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,192,"93,20",165,"80,10",146,"70,87",136,136,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,459,452,"98,47",447,"97,39",51,"11,11",624,624,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,254,"87,59",259,"89,31",286,"98,62",36,36,,,,,,,,,,,,,,,,,
29,Gorontalo,93,93,"100,00",93,"100,00",93,"100,00",46,46,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,94,"98,95",84,"88,42",71,"74,74",163,163,,,,,,,,,,,,,,,,,
31,Maluku,209,156,"74,64",126,"60,29",126,"60,29",107,107,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,109,"74,15",107,"72,79",81,"55,10",60,60,,,,,,,,,,,,,,,,,
33,Papua Barat,159,118,"74,21",98,"61,64",84,"52,83",17,17,,,,,,,,,,,,,,,,,
34,Papua,420,100,"23,81",93,"22,14",69,"16,43",49,49,,,,,,,,,,,,,,,,,
Indonesia,,10.134,8.108,"80,01",8.219,"81,10",6.974,"68,82",7.199,7.289,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Puskesmas yang Menyelenggarakan Pelayanan Kesehatan Tradisional,Persentase Puskesmasyang Menyelenggarakan Pelayanan Kesehatan Tradisional,Jumlah Puskesmas dengan Tenaga Kesehatan yang Sudah Dilatih,,,,Puskesmas yang melakukan Pembinaan Penyehat Tradisional (HATTRA),,,,,,,,,,,,,,,,,,
,,,,,Dilatih Ramuan,Dilatih Akupunktur,Dilatih Akupressur,"Asuhan Mandiri (ASMAN), Pemanfaatan TOGA, dan Akrupresur",,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,,,,,,,,,,,
1,Aceh,359,212,"59,05",21,107,2,107,73,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,601,296,"49,25",44,74,0,32,241,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,160,"58,18",10,88,0,47,74,,,,,,,,,,,,,,,,,,
4,Riau,228,143,"62,72",29,111,3,36,18,,,,,,,,,,,,,,,,,,
5,Jambi,205,149,"72,68",6,73,3,42,100,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,139,"40,76",9,72,0,28,81,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,73,"40,78",31,31,0,20,50,,,,,,,,,,,,,,,,,,
8,Lampung,310,271,"87,42",14,81,3,38,267,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,"100,00",1,50,1,27,62,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,74,"86,05",40,58,4,39,52,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,135,"42,86",18,43,4,12,133,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.072,553,"51,59",12,89,3,7,508,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,200,"22,78",38,142,3,39,40,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,97,"80,17",22,52,18,28,54,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,432,"44,63",17,196,10,167,148,,,,,,,,,,,,,,,,,,
16,Banten,243,146,"60,08",30,96,7,36,26,,,,,,,,,,,,,,,,,,
17,Bali,120,121,"100,83",48,114,2,56,39,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,161,"95,27",26,80,0,53,141,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,119,"29,60",5,73,0,34,29,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,134,"54,47",23,61,0,59,51,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,81,"39,90",21,25,2,19,35,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,208,"88,51",6,15,5,28,198,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,167,"89,78",9,41,2,42,151,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,37,"67,27",0,32,0,4,14,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,129,"66,15",22,77,0,60,21,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,106,"51,46",10,96,0,12,74,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,459,188,"40,96",10,122,4,21,75,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,118,"40,69",26,70,1,43,37,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,76,"81,72",17,41,1,34,55,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,33,"34,74",10,29,1,1,0,,,,,,,,,,,,,,,,,,
31,Maluku,209,148,"70,81",23,98,1,37,114,,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,110,"74,83",9,42,2,66,90,,,,,,,,,,,,,,,,,,
33,Papua Barat,159,34,"21,38",4,24,1,2,17,,,,,,,,,,,,,,,,,,
34,Papua,420,25,"5,95",13,15,0,1,0,,,,,,,,,,,,,,,,,,
Indonesia,,10.134,5.139,"50,71",624,2.418,83,1.277,3.068,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Puskesmas yang Melapor,Puskesmas Dengan Ketersediaan Obat & Vaksin Esensial*,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jumlah,%,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,359,350,348,"99,43",,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,601,569,545,"95,78",,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,272,268,"98,53",,,,,,,,,,,,,,,,,,,,,,
4,Riau,228,214,207,"96,73",,,,,,,,,,,,,,,,,,,,,,
5,Jambi,205,183,183,"100,00",,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,280,253,"90,36",,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,179,167,"93,30",,,,,,,,,,,,,,,,,,,,,,
8,Lampung,310,301,283,"94,02",,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,64,"100,00",,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,87,86,"98,85",,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,335,330,"98,51",,,,,,,,,,,,,,,,,,,,,,
