No,Fasilitas Kesehatan,Pemilikan/Pengelola,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN/Kementerian Lain*,,Swasta,,Jumlah,,,,,
Indonesia,,60,"2,0",32.402,436,"14,6",117.291,1.550,"51,9",172.948,877,"29,4",54.867,62,"2,1",2.040,,,
No,Provinsi,2019,,,,2020,,,,,,,,,,,,,
,,Estimasi Jumlah Penduduk 2019,Total,,,Estimasi Jumlah Penduduk 2020,Total,,,,,,,,,,,,
,,,RS,TT,,,RS,TT,,,,,,,,,,,
,,,,Jumlah,Rasio,,,Jumlah,Rasio,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,,,
1,Aceh,5.371.532,69,8.576,"1,6",5.371.532,70,9.311,"1,7",,,,,,,,,,
2,Sumatera Utara,14.562.549,217,21.979,"1,5",14.562.549,222,24.838,"1,7",,,,,,,,,,
3,Sumatera Barat,5.441.197,78,7.043,"1,3",5.441.197,79,8.092,"1,5",,,,,,,,,,
4,Riau,6.971.745,74,6.811,"1,0",6.971.745,73,8.467,"1,2",,,,,,,,,,
5,Jambi,3.624.579,40,4.038,"1,1",3.624.579,42,4.701,"1,3",,,,,,,,,,
6,Sumatera Selatan,8.470.683,84,8.996,"1,1",8.470.683,87,10.583,"1,2",,,,,,,,,,
7,Bengkulu,1.991.838,24,2.618,"1,3",1.991.838,25,2.904,"1,5",,,,,,,,,,
8,Lampung,8.447.737,78,7.640,"0,9",8.447.737,80,8.391,"1,0",,,,,,,,,,
9,Kep. Bangka Belitung,1.488.792,25,2.061,"1,4",1.488.792,25,2.160,"1,5",,,,,,,,,,
10,Kepulauan Riau,2.189.653,33,3.048,"1,4",2.189.653,36,3.712,"1,7",,,,,,,,,,
11,DKI Jakarta,10.557.810,190,23.664,"2,2",10.557.810,193,32.284,"3,1",,,,,,,,,,
12,Jawa Barat,49.316.712,361,43.042,"0,9",49.316.712,377,54.137,"1,1",,,,,,,,,,
13,Jawa Tengah,34.718.204,304,40.921,"1,2",34.718.204,319,47.923,"1,4",,,,,,,,,,
14,DI Yogyakarta,3.842.932,83,6.578,"1,7",3.842.932,85,7.219,"1,9",,,,,,,,,,
15,Jawa Timur,39.698.631,384,44.069,"1,1",39.698.631,395,51.504,"1,3",,,,,,,,,,
16,Banten,12.927.316,116,11.222,"0,9",12.927.316,120,13.881,"1,1",,,,,,,,,,
17,Bali,4.336.923,68,6.913,"1,6",4.336.923,72,8.183,"1,9",,,,,,,,,,
18,Nusa Tenggara Barat,5.070.385,37,3.767,"0,7",5.070.385,39,4.510,"0,9",,,,,,,,,,
19,Nusa Tenggara Timur,5.456.203,52,4.531,"0,8",5.456.203,54,5.052,"0,9",,,,,,,,,,
20,Kalimantan Barat,5.069.127,51,5.507,"1,1",5.069.127,55,5.922,"1,2",,,,,,,,,,
21,Kalimantan Tengah,2.714.859,26,2.556,"0,9",2.714.859,28,3.885,"1,4",,,,,,,,,,
22,Kalimantan Selatan,4.244.096,46,5.130,"1,2",4.244.096,47,6.187,"1,5",,,,,,,,,,
23,Kalimantan Timur,3.721.389,55,6.091,"1,6",3.721.389,57,7.551,"2,0",,,,,,,,,,
24,Kalimantan Utara,742.245,10,1.085,"1,5",742.245,11,1.177,"1,6",,,,,,,,,,
25,Sulawesi Utara,2.506.981,47,5.378,"2,1",2.506.981,51,6.706,"2,7",,,,,,,,,,
26,Sulawesi Tengah,3.054.023,38,4.409,"1,4",3.054.023,40,4.833,"1,6",,,,,,,,,,
27,Sulawesi Selatan,8.851.240,111,14.233,"1,6",8.851.240,116,16.723,"1,9",,,,,,,,,,
28,Sulawesi Tenggara,2.704.737,36,2.822,"1,0",2.704.737,37,3.496,"1,3",,,,,,,,,,
29,Gorontalo,1.202.631,14,2.001,"1,7",1.202.631,16,2.335,"1,9",,,,,,,,,,
30,Sulawesi Barat,1.380.256,12,1.266,"0,9",1.380.256,13,1.496,"1,1",,,,,,,,,,
31,Maluku,1.802.870,30,2.126,"1,2",1.802.870,33,3.109,"1,7",,,,,,,,,,
32,Maluku Utara,1.255.771,21,1.418,"1,1",1.255.771,21,1.608,"1,3",,,,,,,,,,
33,Papua Barat,959.617,19,1.402,"1,5",959.617,20,2.160,"2,3",,,,,,,,,,
34,Papua,3.379.302,44,4.055,"1,2",3.379.302,47,4.508,"1,3",,,,,,,,,,
Indonesia,,268.074.565,2.877,316.996,"1,2",268.074.565,2.985,379.548,"1,4",,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit,Rumah Sakit Pemerintah Terakreditasi,Rumah Sakit Swasta Terakreditasi,Total Rumah Sakit Terakreditasi,Persentase Rumah Sakit Terakreditasi,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,
1,Aceh,70,32,33,65,"92,9",,,,,,,,,,,,,
2,Sumatera Utara,222,46,118,164,"73,9",,,,,,,,,,,,,
3,Sumatera Barat,79,28,37,65,"82,3",,,,,,,,,,,,,
4,Riau,73,21,41,62,"84,9",,,,,,,,,,,,,
5,Jambi,42,16,17,33,"78,6",,,,,,,,,,,,,
6,Sumatera Selatan,87,32,33,65,"74,7",,,,,,,,,,,,,
7,Bengkulu,25,15,6,21,"84,0",,,,,,,,,,,,,
8,Lampung,80,18,48,66,"82,5",,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,25,10,8,18,"72,0",,,,,,,,,,,,,
10,Kepulauan Riau,36,14,15,29,"80,6",,,,,,,,,,,,,
11,DKI Jakarta,193,55,114,169,"87,6",,,,,,,,,,,,,
12,Jawa Barat,377,69,255,324,"85,9",,,,,,,,,,,,,
13,Jawa Tengah,319,75,204,279,"87,5",,,,,,,,,,,,,
14,DI Yogyakarta,85,14,54,68,"80,0",,,,,,,,,,,,,
15,Jawa Timur,395,100,254,354,"89,6",,,,,,,,,,,,,
16,Banten,120,14,84,98,"81,7",,,,,,,,,,,,,
17,Bali,72,21,43,64,"88,9",,,,,,,,,,,,,
18,Nusa Tenggara Barat,39,18,15,33,"84,6",,,,,,,,,,,,,
19,Nusa Tenggara Timur,54,24,21,45,"83,3",,,,,,,,,,,,,
20,Kalimantan Barat,55,25,20,45,"81,8",,,,,,,,,,,,,
21,Kalimantan Tengah,28,19,3,22,"78,6",,,,,,,,,,,,,
22,Kalimantan Selatan,47,22,20,42,"89,4",,,,,,,,,,,,,
23,Kalimantan Timur,57,20,23,43,"75,4",,,,,,,,,,,,,
24,Kalimantan Utara,11,7,1,8,"72,7",,,,,,,,,,,,,
25,Sulawesi Utara,51,22,19,41,"80,4",,,,,,,,,,,,,
26,Sulawesi Tengah,40,21,10,31,"77,5",,,,,,,,,,,,,
27,Sulawesi Selatan,116,46,48,94,"81,0",,,,,,,,,,,,,
28,Sulawesi Tenggara,37,21,9,30,"81,1",,,,,,,,,,,,,
29,Gorontalo,16,8,4,12,"75,0",,,,,,,,,,,,,
30,Sulawesi Barat,13,8,1,9,"69,2",,,,,,,,,,,,,
31,Maluku,33,18,5,23,"69,7",,,,,,,,,,,,,
32,Maluku Utara,21,12,4,16,"76,2",,,,,,,,,,,,,
33,Papua Barat,20,11,3,14,"70,0",,,,,,,,,,,,,
34,Papua,47,26,6,32,"68,1",,,,,,,,,,,,,
Indonesia,,2.985,908,1.576,2.484,"83,2",,,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit Kabupaten/Kota Kelas C yang Melaporkan Data,Jumlah RS yang Memiliki 4 Dokter Spesialis Dasar dan 3 Dokter Spesialis Penunjang,%,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,
1,Aceh,24,23,"95,8",,,,,,,,,,,,,,,
2,Sumatera Utara,33,27,"81,8",,,,,,,,,,,,,,,
3,Sumatera Barat,21,15,"71,4",,,,,,,,,,,,,,,
4,Riau,16,10,"62,5",,,,,,,,,,,,,,,
5,Jambi,13,8,"61,5",,,,,,,,,,,,,,,
6,Sumatera Selatan,28,16,"57,1",,,,,,,,,,,,,,,
7,Bengkulu,10,9,"90,0",,,,,,,,,,,,,,,
8,Lampung,16,13,"81,3",,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,8,7,"87,5",,,,,,,,,,,,,,,
10,Kepulauan Riau,8,2,"25,0",,,,,,,,,,,,,,,
11,DKI Jakarta*,0,0,"0,0",,,,,,,,,,,,,,,
12,Jawa Barat,43,34,"79,1",,,,,,,,,,,,,,,
13,Jawa Tengah,56,51,"91,1",,,,,,,,,,,,,,,
14,DI Yogyakarta,9,8,"88,9",,,,,,,,,,,,,,,
15,Jawa Timur,51,41,"80,4",,,,,,,,,,,,,,,
16,Banten,9,8,"88,9",,,,,,,,,,,,,,,
17,Bali,4,3,"75,0",,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,12,9,"75,0",,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,20,8,"40,0",,,,,,,,,,,,,,,
20,Kalimantan Barat,18,11,"61,1",,,,,,,,,,,,,,,
21,Kalimantan Tengah,12,8,"66,7",,,,,,,,,,,,,,,
22,Kalimantan Selatan,15,13,"86,7",,,,,,,,,,,,,,,
23,Kalimantan Timur,14,10,"71,4",,,,,,,,,,,,,,,
24,Kalimantan Utara,5,2,"40,0",,,,,,,,,,,,,,,
25,Sulawesi Utara,16,6,"37,5",,,,,,,,,,,,,,,
26,Sulawesi Tengah,20,11,"55,0",,,,,,,,,,,,,,,
27,Sulawesi Selatan,30,22,"73,3",,,,,,,,,,,,,,,
28,Sulawesi Tenggara,14,5,"35,7",,,,,,,,,,,,,,,
29,Gorontalo,8,5,"62,5",,,,,,,,,,,,,,,
30,Sulawesi Barat,7,3,"42,9",,,,,,,,,,,,,,,
31,Maluku,10,4,"40,0",,,,,,,,,,,,,,,
32,Maluku Utara,6,2,"33,3",,,,,,,,,,,,,,,
33,Papua Barat,8,2,"25,0",,,,,,,,,,,,,,,
34,Papua,5,1,"20,0",,,,,,,,,,,,,,,
Indonesia,,569,397,"69,8",,,,,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit Pemerintah,Jumlah RS Pemerintah yang Menyelenggarakan Pelayanan Kesehatan Tradisional Integrasi,Persentase RS Pemerintah yang Menyelenggarakan Pelayanan Kesehatan Tradisional Integrasi,Jumlah Rumah Sakit Pemerintah dengan Tenaga Kesehatan yang Sudah Dilatih,,,,,,,,,,,,,,
,,,,,Dilatih Akupunktur,Dilatih Herbal Medik,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,
1,Aceh,34,2,"5,9",10,2,,,,,,,,,,,,,
2,Sumatera Utara,62,0,"0,0",8,2,,,,,,,,,,,,,
3,Sumatera Barat,33,0,"0,0",5,3,,,,,,,,,,,,,
4,Riau,26,0,"0,0",8,3,,,,,,,,,,,,,
5,Jambi,18,0,"0,0",8,0,,,,,,,,,,,,,
6,Sumatera Selatan,44,0,"0,0",8,2,,,,,,,,,,,,,
7,Bengkulu,17,0,"0,0",4,1,,,,,,,,,,,,,
8,Lampung,20,0,"0,0",7,1,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,12,0,"0,0",6,1,,,,,,,,,,,,,
10,Kepulauan Riau,16,0,"0,0",5,1,,,,,,,,,,,,,
11,DKI Jakarta,61,0,"0,0",15,0,,,,,,,,,,,,,
12,Jawa Barat,81,0,"0,0",15,4,,,,,,,,,,,,,
13,Jawa Tengah,82,2,"2,4",17,5,,,,,,,,,,,,,
14,DI Yogyakarta,15,1,"6,7",6,1,,,,,,,,,,,,,
15,Jawa Timur,106,2,"1,9",18,3,,,,,,,,,,,,,
16,Banten,18,0,"0,0",6,2,,,,,,,,,,,,,
17,Bali,23,2,"8,7",4,3,,,,,,,,,,,,,
18,Nusa Tenggara Barat,20,0,"0,0",5,1,,,,,,,,,,,,,
19,Nusa Tenggara Timur,29,0,"0,0",7,0,,,,,,,,,,,,,
20,Kalimantan Barat,31,0,"0,0",6,1,,,,,,,,,,,,,
21,Kalimantan Tengah,20,0,"0,0",5,2,,,,,,,,,,,,,
22,Kalimantan Selatan,25,0,"0,0",2,2,,,,,,,,,,,,,
23,Kalimantan Timur,27,0,"0,0",5,1,,,,,,,,,,,,,
24,Kalimantan Utara,10,0,"0,0",1,0,,,,,,,,,,,,,
25,Sulawesi Utara,27,0,"0,0",6,1,,,,,,,,,,,,,
26,Sulawesi Tengah,28,0,"0,0",5,1,,,,,,,,,,,,,
27,Sulawesi Selatan,53,0,"0,0",7,1,,,,,,,,,,,,,
28,Sulawesi Tenggara,22,0,"0,0",5,0,,,,,,,,,,,,,
29,Gorontalo,11,0,"0,0",5,2,,,,,,,,,,,,,
30,Sulawesi Barat,9,0,"0,0",4,1,,,,,,,,,,,,,
31,Maluku,23,1,"4,3",3,1,,,,,,,,,,,,,
32,Maluku Utara,16,0,"0,0",5,0,,,,,,,,,,,,,
33,Papua Barat,16,0,"0,0",3,0,,,,,,,,,,,,,
34,Papua,36,0,"0,0",4,1,,,,,,,,,,,,,
Indonesia,,1.071,10,"0,9",228,49,,,,,,,,,,,,,
No,Provinsi,Dokter Spesialis a,,,Dokter Umum,,,Total,,,Dokter Gigi Spesialis,,,Dokter Gigi,,,Total,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
1,Aceh,405,390,795,553,1.335,1.888,958,1.725,2.683,7,13,20,78,325,403,85,338,423
2,Sumatera Utara,1.153,745,1.898,1.240,2.473,3.713,2.393,3.218,5.611,19,40,59,145,682,827,164,722,886
3,Sumatera Barat,484,448,932,458,1.236,1.694,942,1.684,2.626,7,14,21,72,403,475,79,417,496
4,Riau,492,325,817,603,1.214,1.817,1.095,1.539,2.634,10,16,26,84,393,477,94,409,503
5,Jambi,242,155,397,365,771,1.136,607,926,1.533,8,10,18,47,190,237,55,200,255
6,Sumatera Selatan,510,407,917,498,1.049,1.547,1.008,1.456,2.464,10,19,29,77,224,301,87,243,330
7,Bengkulu,116,89,205,204,378,582,320,467,787,2,6,8,28,109,137,30,115,145
8,Lampung,453,222,675,590,1.127,1.717,1.043,1.349,2.392,5,15,20,41,168,209,46,183,229
9,Kep. Bangka Belitung,122,88,210,205,336,541,327,424,751,6,11,17,32,66,98,38,77,115
10,Kepulauan Riau,247,138,385,296,507,803,543,645,1.188,16,10,26,43,125,168,59,135,194
11,DKI Jakarta,3.196,2.727,5.923,2.634,5.364,7.998,5.830,8.091,13.921,221,502,723,422,1.688,2.110,643,2.190,2.833
12,Jawa Barat,3.266,2.340,5.606,3.490,5.688,9.178,6.756,8.028,14.784,141,244,385,365,1.498,1.863,506,1.742,2.248
13,Jawa Tengah,2.569,1.613,4.182,3.034,4.758,7.792,5.603,6.371,11.974,82,126,208,348,1.220,1.568,430,1.346,1.776
14,DI Yogyakarta,617,506,1.123,698,1.196,1.894,1.315,1.702,3.017,61,126,187,92,393,485,153,519,672
15,Jawa Timur,3.171,2.154,5.325,3.117,4.448,7.565,6.288,6.602,12.890,145,240,385,451,1.670,2.121,596,1.910,2.506
16,Banten,908,764,1.672,985,1.788,2.773,1.893,2.552,4.445,22,63,85,92,572,664,114,635,749
17,Bali,964,544,1.508,1.008,1.091,2.099,1.972,1.635,3.607,27,28,55,163,423,586,190,451,641
18,Nusa Tenggara Barat,238,172,410,392,610,1.002,630,782,1.412,3,12,15,32,133,165,35,145,180
19,Nusa Tenggara Timur,110,123,233,308,528,836,418,651,1.069,2,1,3,37,132,169,39,133,172
20,Kalimantan Barat,218,120,338,399,505,904,617,625,1.242,7,8,15,47,112,159,54,120,174
21,Kalimantan Tengah,162,122,284,277,412,689,439,534,973,5,6,11,26,95,121,31,101,132
22,Kalimantan Selatan,341,217,558,344,627,971,685,844,1.529,11,19,30,81,181,262,92,200,292
23,Kalimantan Timur,403,288,691,449,776,1.225,852,1.064,1.916,15,34,49,61,217,278,76,251,327
24,Kalimantan Utara,75,52,127,138,155,293,213,207,420,3,4,7,18,38,56,21,42,63
25,Sulawesi Utara,280,243,523,601,921,1.522,881,1.164,2.045,4,7,11,42,106,148,46,113,159
26,Sulawesi Tengah,137,151,288,264,447,711,401,598,999,1,6,7,41,112,153,42,118,160
27,Sulawesi Selatan,651,755,1.406,568,1.293,1.861,1.219,2.048,3.267,24,64,88,121,605,726,145,669,814
28,Sulawesi Tenggara,122,98,220,216,411,627,338,509,847,3,6,9,40,165,205,43,171,214
29,Gorontalo,71,65,136,130,229,359,201,294,495,2,1,3,16,50,66,18,51,69
30,Sulawesi Barat,48,55,103,95,187,282,143,242,385,3,5,8,20,76,96,23,81,104
31,Maluku,68,62,130,168,351,519,236,413,649,3,4,7,14,52,66,17,56,73
32,Maluku Utara,46,41,87,142,209,351,188,250,438,3,1,4,18,35,53,21,36,57
33,Papua Barat,64,34,98,129,208,337,193,242,435,0,0,0,15,34,49,15,34,49
34,Papua,115,83,198,262,428,690,377,511,888,3,3,6,19,68,87,22,71,93
Indonesia,,22.064,16.336,38.400,24.860,43.056,67.916,46.924,59.392,106.316,881,1.664,2.545,3.228,12.360,15.588,4.109,14.024,18.133
No,Provinsi,Dokter Spesialis a,,,Dokter Umum,,,Total,,,Dokter Gigi Spesialis,,,Dokter Gigi,,,Total,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20)
1,Aceh,405,389,794,302,569,871,707,958,1.665,7,13,20,26,71,97,33,84,117
2,Sumatera Utara,1.160,749,1.909,708,1.165,1.873,1.868,1.914,3.782,19,40,59,57,195,252,76,235,311
3,Sumatera Barat,481,444,925,294,666,960,775,1.110,1.885,7,13,20,26,101,127,33,114,147
4,Riau,488,329,817,353,550,903,841,879,1.720,10,16,26,36,117,153,46,133,179
5,Jambi,239,155,394,172,334,506,411,489,900,8,10,18,15,62,77,23,72,95
6,Sumatera Selatan,510,408,918,329,575,904,839,983,1.822,10,18,28,30,95,125,40,113,153
7,Bengkulu,116,89,205,97,160,257,213,249,462,2,6,8,7,36,43,9,42,51
8,Lampung,452,219,671,346,536,882,798,755,1.553,5,15,20,21,50,71,26,65,91
9,Kep. Bangka Belitung,120,87,207,98,150,248,218,237,455,6,11,17,8,16,24,14,27,41
10,Kepulauan Riau,246,138,384,176,245,421,422,383,805,14,10,24,18,42,60,32,52,84
11,DKI Jakarta,3.133,2.648,5.781,1.411,2.319,3.730,4.544,4.967,9.511,202,445,647,121,520,641,323,965,1.288
12,Jawa Barat,3.237,2.336,5.573,2.027,2.865,4.892,5.264,5.201,10.465,142,242,384,160,532,692,302,774,1.076
13,Jawa Tengah,2.545,1.584,4.129,1.649,2.202,3.851,4.194,3.786,7.980,82,118,200,156,401,557,238,519,757
14,DI Yogyakarta,613,504,1.117,466,610,1.076,1.079,1.114,2.193,55,107,162,50,114,164,105,221,326
15,Jawa Timur,3.084,2.091,5.175,1.785,2.148,3.933,4.869,4.239,9.108,141,230,371,177,447,624,318,677,995
16,Banten,913,767,1.680,580,888,1.468,1.493,1.655,3.148,25,65,90,33,181,214,58,246,304
17,Bali,943,534,1.477,561,614,1.175,1.504,1.148,2.652,27,27,54,62,148,210,89,175,264
18,Nusa Tenggara Barat,236,171,407,227,313,540,463,484,947,3,12,15,7,37,44,10,49,59
19,Nusa Tenggara Timur,110,121,231,150,222,372,260,343,603,2,1,3,7,32,39,9,33,42
20,Kalimantan Barat,216,120,336,188,232,420,404,352,756,7,7,14,24,34,58,31,41,72
21,Kalimantan Tengah,162,121,283,151,199,350,313,320,633,5,6,11,10,29,39,15,35,50
