7,Bengkulu,1.934.269,-,-,-,2,"9 ,09",7 03,11,50,1113,9,41,512,-,-,-,22,2.328,"1,20",,,,,,,,
8,Lampung,8.289.577,-,-,-,5,"7 ,04",1 .670,52,73,4739,14,20,907,-,-,-,71,7.316,"0,88",,,,,,,,
9,Kepulauan Bangka Belitung,1.430.865,-,-,-,1,"5 ,26",1 52,11,58,1160,7,37,444,-,-,-,19,1.756,"1,23",,,,,,,,
10,Kepulauan Riau,2.082.694,-,-,-,6,"1 9,35",1 .210,16,52,1516,5,16,226,4,"1 2,90",9 5,31,3.047,"1,46",,,,,,,,
11,DKI Jakarta,10.374.235,16,"8,21",5 .167,62,"3 1,79",1 1.357,63,32,4164,28,14,1136,26,"1 3,33",1 .380,195,23.204,"2,24",,,,,,,,
12,Jawa Barat,48.037.827,8,"2,26",2 .724,59,"1 6,67",1 4.942,189,53,17212,74,21,3812,24,"6 ,78",1 .415,354,40.105,"0,83",,,,,,,,
13,Jawa Tengah,34.257.865,8,"2,70",3 .710,34,"1 1,49",1 1.272,139,47,16520,115,39,7576,-,-,-,296,39.078,"1,14",,,,,,,,
14,DI Yogyakarta,3.762.167,3,"3,70",1 .071,12,"1 4,81",2 .553,25,31,1168,36,44,1766,5,"6 ,17",3 12,81,6.870,"1,83",,,,,,,,
15,Jawa Timur,39.292.972,10,"2,54",4 .307,54,"1 3,74",1 3.330,169,43,14797,132,34,7669,28,"7 ,12",1 .281,393,41.384,"1,05",,,,,,,,
16,Banten,12.448.160,1,"0,94",2 07,22,"2 0,75",4 .906,73,69,5311,6,6,344,4,"3 ,77",1 27,106,10.895,"0,88",,,,,,,,
17,Bali,4.246.528,3,"4,76",1 .135,11,"1 7,46",2 .001,36,57,2885,12,19,637,1,"1 ,59",5 0,63,6.708,"1,58",,,,,,,,
18,Nusa Tenggara Barat,4.955.578,-,-,-,3,"9 ,38",7 88,16,50,1796,11,34,709,2,"6 ,25",9 6,32,3.389,"0,68",,,,,,,,
19,Nusa Tenggara Timur,5.287.302,-,-,-,2,"4 ,17",4 94,24,50,2538,20,42,1235,2,"4 ,17",8 4,48,4.351,"0,82",,,,,,,,
20,Kalimantan Barat,4.932.499,-,-,-,5,"1 0,87",1 .515,28,61,2965,10,22,571,3,"6 ,52",3 9,46,5.090,"1,03",,,,,,,,
21,Kalimantan Tengah,2.605.274,-,-,-,3,"1 4,29",7 52,9,43,853,7,33,376,2,"9 ,52",8 1,21,2.062,"0,79",,,,,,,,
22,Kalimantan Selatan,4.119.794,2,"4,88",9 45,6,"1 4,63",1 .024,26,63,2639,6,15,379,1,"2 ,44",2 9,41,5.016,"1,22",,,,,,,,
23,Kalimantan Timur,3.575.449,3,"5,45",1 .097,7,"1 2,73",1 .418,25,45,2543,12,22,535,8,"1 4,55",2 03,55,5.796,"1,62",,,,,,,,
24,Kalimantan Utara,691.058,-,-,-,1,"1 0,00",3 27,4,40,593,5,50,118,-,-,-,10,1.038,"1,50",,,,,,,,
25,Sulawesi Utara,2.461.028,2,"4,26",8 70,3,"6 ,38",6 81,20,43,2491,10,21,568,12,"2 5,53",6 89,47,5.299,"2,15",,,,,,,,
26,Sulawesi Tengah,2.966.325,-,-,-,2,"5 ,71",9 20,24,69,2962,6,17,220,3,"8 ,57",1 16,35,4.218,"1,42",,,,,,,,
27,Sulawesi Selatan,8.690.294,3,"3,00",1 .652,24,"2 4,00",4 .944,55,55,5487,15,15,980,3,"3 ,00",9 9,100,13.162,"1,51",,,,,,,,
28,Sulawesi Tenggara,2.602.389,-,-,-,2,"6 ,06",6 47,14,42,1324,12,36,423,5,"1 5,15",2 74,33,2.668,"1,03",,,,,,,,
29,Gorontalo,1.168.190,-,-,-,2,"1 5,38",6 00,5,38,590,6,46,369,-,-,-,13,1.559,"1,33",,,,,,,,
30,Sulawesi Barat,1.330.961,-,-,-,-,-,-,5,42,736,4,33,286,3,"2 5,00",7 8,12,1.100,"0,83",,,,,,,,
31,Maluku,1.744.654,-,-,-,3,"1 0,71",6 21,5,18,525,16,57,868,4,"1 4,29",2 16,28,2.230,"1,28",,,,,,,,
32,Maluku Utara,1.209.342,-,-,-,1,"4 ,55",2 77,4,18,440,12,55,696,5,"2 2,73",8 1,22,1.494,"1,24",,,,,,,,
33,Papua Barat,915.361,-,-,-,-,-,-,6,38,763,6,38,405,4,"2 5,00",1 74,16,1.342,"1,47",,,,,,,,
34,Papua,3.265.202,-,-,-,2,"4 ,76",5 56,13,31,2231,12,29,596,15,"3 5,71",5 06,42,3.889,"1,19",,,,,,,,
Indonesia,,261.890.872,71,"2,56",2 7.930,397,"1 4,30",9 4.107,1340,48,130367,737,27,41822,231,"8 ,32",1 0.829,2.776,3 05.055,"1,16",,,,,,,,
No,Provinsi,Total Tempat Tidur*,Kelas Perawatan,,,,,,,,,,,,,,,,,,,,,,,,,
,,,V V I P,,V I P,,Kelas I,,Kelas II,,Kelas III,,Ruang Rawat Inap Lainnya**,,Ruang Non Rawat Inap ***,,,,,,,,,,,,,
,,,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),,,,,,,,,,,,
1,Aceh,8.943,144,"1,61",536,"5,99",1.058,"11,83",1.306,"14,60",4.654,"52,04",1.245,"13,92",1.005,"11,24",,,,,,,,,,,,
2,Sumatera Utara,23.310,429,"1,84",1.735,"7,44",3.737,"16,03",4.997,"21,44",9.011,"38,66",3.401,"14,59",2.052,"8,80",,,,,,,,,,,,
3,Sumatera Barat,7.101,108,"1,52",529,"7,45",1.021,"14,38",1.365,"19,22",2.942,"41,43",1.136,"16,00",697,"9,82",,,,,,,,,,,,
4,R i a u,6.581,176,"2,67",612,"9,30",859,"13,05",1.138,"17,29",2.559,"38,88",1.237,"18,80",762,"11,58",,,,,,,,,,,,
5,J a m b i,4.012,122,"3,04",365,"9,10",581,"14,48",703,"17,52",1.634,"40,73",607,"15,13",447,"11,14",,,,,,,,,,,,
6,Sumatera Selatan,8.714,189,"2,17",645,"7,40",1.311,"15,04",1.714,"19,67",3.696,"42,41",1.159,"13,30",701,"8,04",,,,,,,,,,,,
7,Bengkulu,2.328,44,"1,89",182,"7,82",316,"13,57",441,"18,94",966,"41,49",379,"16,28",359,"15,42",,,,,,,,,,,,
8,Lampung,7.316,171,"2,34",726,"9,92",888,"12,14",1.298,"17,74",3.120,"42,65",1.113,"15,21",872,"11,92",,,,,,,,,,,,
9,Kepulauan Bangka Belitung,1.756,36,"2,05",88,"5,01",281,"16,00",336,"19,13",713,"40,60",302,"17,20",202,"11,50",,,,,,,,,,,,
10,Kepulauan Riau,3.047,32,"1,05",211,"6,92",403,"13,23",670,"21,99",1.185,"38,89",546,"17,92",382,"12,54",,,,,,,,,,,,
11,DKI Jakarta,23.204,620,"2,67",2.324,"10,02",3.267,"14,08",4.388,"18,91",8.681,"37,41",3.924,"16,91",2.350,"10,13",,,,,,,,,,,,
12,Jawa Barat,40.105,883,"2,20",3.256,"8,12",5.614,"14,00",8.640,"21,54",15.008,"37,42",6.704,"16,72",4.572,"11,40",,,,,,,,,,,,
13,Jawa Tengah,39.078,1.055,"2,70",4.085,"10,45",5.488,"14,04",6.923,"17,72",15.507,"39,68",6.020,"15,41",4.023,"10,29",,,,,,,,,,,,
14,DI Yogyakarta,6.870,212,"3,09",774,"11,27",699,"10,17",1.212,"17,64",2.923,"42,55",1.050,"15,28",668,"9,72",,,,,,,,,,,,
15,Jawa Timur,41.384,1.117,"2,70",3.425,"8,28",5.719,"13,82",8.426,"20,36",15.682,"37,89",7.015,"16,95",4.255,"10,28",,,,,,,,,,,,
16,Banten,10.895,160,"1,47",919,"8,44",1.591,"14,60",2.744,"25,19",3.584,"32,90",1.897,"17,41",1.302,"11,95",,,,,,,,,,,,
17,Bali,6.708,313,"4,67",1.113,"16,59",911,"13,58",909,"13,55",2.317,"34,54",1.145,"17,07",846,"12,61",,,,,,,,,,,,
18,Nusa Tenggara Barat,3.389,57,"1,68",402,"11,86",446,"13,16",398,"11,74",1.478,"43,61",608,"17,94",589,"17,38",,,,,,,,,,,,
19,Nusa Tenggara Timur,4.351,49,"1,13",270,"6,21",433,"9,95",747,"17,17",2.215,"50,91",637,"14,64",621,"14,27",,,,,,,,,,,,
20,Kalimantan Barat,5.090,49,"0,96",306,"6,01",631,"12,40",983,"19,31",2.237,"43,95",884,"17,37",616,"12,10",,,,,,,,,,,,
21,Kalimantan Tengah,2.062,18,"0,87",214,"10,38",236,"11,45",373,"18,09",868,"42,10",353,"17,12",281,"13,63",,,,,,,,,,,,
22,Kalimantan Selatan,5.016,166,"3,31",471,"9,39",776,"15,47",802,"15,99",2.028,"40,43",773,"15,41",628,"12,52",,,,,,,,,,,,
23,Kalimantan Timur,5.796,116,"2,00",573,"9,89",879,"15,17",1.100,"18,98",2.279,"39,32",849,"14,65",779,"13,44",,,,,,,,,,,,
24,Kalimantan Utara,1.038,14,"1,35",51,"4,91",126,"12,14",207,"19,94",451,"43,45",189,"18,21",165,"15,90",,,,,,,,,,,,
25,Sulawesi Utara,5.299,102,"1,92",245,"4,62",609,"11,49",1.120,"21,14",2.443,"46,10",780,"14,72",547,"10,32",,,,,,,,,,,,
26,Sulawesi Tengah,4.218,38,"0,90",264,"6,26",579,"13,73",704,"16,69",1.946,"46,14",687,"16,29",474,"11,24",,,,,,,,,,,,
27,Sulawesi Selatan,13.162,430,"3,27",1.429,"10,86",2.008,"15,26",2.315,"17,59",4.759,"36,16",2.221,"16,87",1.486,"11,29",,,,,,,,,,,,
28,Sulawesi Tenggara,2.668,26,"0,97",236,"8,85",314,"11,77",427,"16,00",1.258,"47,15",407,"15,25",392,"14,69",,,,,,,,,,,,
29,Gorontalo,1.559,45,"2,89",99,"6,35",155,"9,94",262,"16,81",677,"43,43",321,"20,59",291,"18,67",,,,,,,,,,,,
30,Sulawesi Barat,1.100,25,"2,27",79,"7,18",117,"10,64",207,"18,82",497,"45,18",175,"15,91",122,"11,09",,,,,,,,,,,,
31,Maluku,2.230,20,"0,90",127,"5,70",247,"11,08",324,"14,53",1.267,"56,82",245,"10,99",290,"13,00",,,,,,,,,,,,
32,Maluku Utara,1.494,39,"2,61",135,"9,04",176,"11,78",238,"15,93",697,"46,65",209,"13,99",233,"15,60",,,,,,,,,,,,
33,Papua Barat,1.342,16,"1,19",83,"6,18",108,"8,05",229,"17,06",744,"55,44",162,"12,07",254,"18,93",,,,,,,,,,,,
34,Papua,3.889,21,"0,54",155,"3,99",369,"9,49",603,"15,51",2.184,"56,16",557,"14,32",611,"15,71",,,,,,,,,,,,
Indonesia,,305.055,7.042,"2,31",26.664,"8,74",41.953,"13,75",58.249,"19,09",122.210,"40,06",48.937,"16,04",33.874,"11,10",,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit,Rumah Sakit Pemerintah Terakreditasi,Rumah Sakit Swasta Terakreditasi,Total Rumah Sakit Terakreditasi,Persentase Rumah Sakit Terakreditasi,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,70,17,12,29,"41,43",,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,219,23,77,100,"45,66",,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,78,20,21,41,"52,56",,,,,,,,,,,,,,,,,,,,,,
4,Riau,72,13,15,28,"38,89",,,,,,,,,,,,,,,,,,,,,,
5,Jambi,37,12,10,22,"59,46",,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,68,19,22,41,"60,29",,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,22,9,3,12,"54,55",,,,,,,,,,,,,,,,,,,,,,
8,Lampung,71,10,29,39,"54,93",,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,19,8,4,12,"63,16",,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,31,7,7,14,"45,16",,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,196,48,74,122,"62,24",,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,350,51,99,150,"42,86",,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,296,56,111,167,"56,42",,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,80,15,33,48,"60,00",,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,395,88,187,275,"69,62",,,,,,,,,,,,,,,,,,,,,,
16,Banten,105,12,39,51,"48,57",,,,,,,,,,,,,,,,,,,,,,
17,Bali,63,16,33,49,"77,78",,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,32,13,8,21,"65,63",,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,47,16,16,32,"68,09",,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,46,11,5,16,"34,78",,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,21,14,0,14,"66,67",,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,43,14,9,23,"53,49",,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,55,15,15,30,"54,55",,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,9,3,0,3,"33,33",,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,46,12,7,19,"41,30",,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,35,9,1,10,"28,57",,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,98,30,26,56,"57,14",,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,33,8,2,10,"30,30",,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,13,3,1,4,"30,77",,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,12,6,0,6,"50,00",,,,,,,,,,,,,,,,,,,,,,
31,Maluku,28,7,5,12,"42,86",,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,22,5,0,5,"22,73",,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,42,9,2,11,"26,19",,,,,,,,,,,,,,,,,,,,,,
34,Papua,16,5,4,9,"56,25",,,,,,,,,,,,,,,,,,,,,,
Indonesia,,2.770,604,877,1.481,"53,47",,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Tenaga Kesehatan,,,,,,,,,,,,,,,,Tenaga Penunjang Kesehatan,Total SDM Kesehatan,,,,,,,,,
,,sila isep S retk o D,m u m U retk o D,igiG retksila isep o DS,igiG retk o D,sin ilK igo lo k isP,ta w a re P,n a d iB,isa m ra F,ta k a ra y sa M n a ta h e seK,n agn u k gn iL n a ta h e seK,iziG,k isiF n a ip a reteK,sid e M n a isin k eteK,a k id e m o iB k in k eT,n a ta h aganlan e seK o isid a rT eT,h a lm u J,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,,,,,,,
1,Aceh,1.364,922,23,131,45,6.670,2.537,734,530,277,230,304,514,1.070,0,15.351,4.408,19.759,,,,,,,,,
2,Sumatera Utara,3.851,1.575,34,292,16,8.317,2.461,954,280,144,349,202,460,923,0,19.858,6.672,26.530,,,,,,,,,
3,Sumatera Barat,1.176,642,17,120,21,5.168,966,727,83,100,279,150,658,783,0,10.890,3.853,14.743,,,,,,,,,
4,Riau,1.352,725,37,152,30,4.559,1.600,759,162,64,201,179,377,684,1,10.882,4.742,15.624,,,,,,,,,
5,Jambi,567,382,7,57,11,4.230,1.023,475,66,97,175,99,257,484,0,7.930,2.662,10.592,,,,,,,,,
