,,,,,,Kasus Baru,,,,,,Angka Penemuan Kasus Baru
3,Sumatera Barat,5.675.357,54,17,"31,5",6,"11,1","1,1",6,"11,1",1,"16,7"
4,Riau,7.181.300,81,77,"95,1",0,"0,0","0,0",8,"9,9",0,"0,0"
5,Jambi,3.677.678,42,14,"33,3",10,"23,8","2,7",1,"2,4",0,"0,0"
6,Sumatera Selatan,8.803.213,227,180,"79,3",15,"6,6","1,7",8,"3,5",0,"0,0"
7,Bengkulu,2.038.146,26,16,"61,5",5,"19,2","2,5",3,"11,5",0,"0,0"
8,Lampung,8.683.167,127,91,"71,7",3,"2,4","0,3",5,"3,9",0,"0,0"
9,Kepulauan Bangka Belitung,1.506.505,32,28,"87,5",1,"3,1","0,7",2,"6,3",0,"0,0"
10,Kepulauan Riau,2.449.422,36,33,"91,7",1,"2,8","0,4",2,"5,6",0,"0,0"
11,DKI Jakarta,10.711.809,328,303,"92,4",5,"1,5","0,5",21,"6,4",2,"9,5"
12,Jawa Barat,50.639.156,1.721,1.238,"71,9",154,"8,9","3,0",128,"7,4",6,"4,7"
13,Jawa Tengah,35.090.378,973,814,"83,7",85,"8,7","2,4",50,"5,1",0,"0,0"
14,DI Yogyakarta,4.021.816,36,30,"83,3",2,"5,6","0,5",2,"5,6",0,"0,0"
15,Jawa Timur,40.348.441,2.223,1.687,"75,9",187,"8,4","4,6",125,"5,6",6,"4,8"
16,Banten,13.251.533,595,492,"82,7",56,"9,4","4,2",51,"8,6",4,"7,8"
17,Bali,4.518.680,100,91,"91,0",5,"5,0","1,1",2,"2,0",0,"0,0"
18,Nusa Tenggara Barat,5.370.302,166,151,"91,0",2,"1,2","0,4",14,"8,4",0,"0,0"
19,Nusa Tenggara Timur,5.662.948,447,355,"79,4",36,"8,1","6,4",35,"7,8",0,"0,0"
20,Kalimantan Barat,5.220.211,59,48,"81,4",6,"10,2","1,1",4,"6,8",0,"0,0"
21,Kalimantan Tengah,2.757.697,83,71,"85,5",6,"7,2","2,2",6,"7,2",0,"0,0"
22,Kalimantan Selatan,4.370.444,100,77,"77,0",5,"5,0","1,1",11,"11,0",1,"9,1"
23,Kalimantan Timur,3.752.605,124,105,"84,7",7,"5,6","1,9",7,"5,6",0,"0,0"
24,Kalimantan Utara,734.112,40,34,"85,0",3,"7,5","4,1",5,"12,5",1,"20,0"
25,Sulawesi Utara,2.548.338,480,455,"94,8",9,"1,9","3,5",53,"11,0",0,"0,0"
26,Sulawesi Tengah,3.159.749,306,287,"93,8",7,"2,3","2,2",38,"12,4",1,"2,6"
27,Sulawesi Selatan,9.022.276,744,621,"83,5",59,"7,9","6,5",48,"6,5",2,"4,2"
28,Sulawesi Tenggara,2.782.882,218,190,"87,2",14,"6,4","5,0",16,"7,3",0,"0,0"
29,Gorontalo,1.205.341,149,134,"89,9",10,"6,7","8,3",9,"6,0",1,"11,1"
30,Sulawesi Barat,1.415.130,155,147,"94,8",3,"1,9","2,1",13,"8,4",1,"7,7"
31,Maluku,1.823.518,308,259,"84,1",18,"5,8","9,9",42,"13,6",0,"0,0"
32,Maluku Utara,1.285.374,609,576,"94,6",11,"1,8","8,6",112,"18,4",1,"0,9"
33,Papua Barat,1.031.676,698,649,"93,0",18,"2,6","17,4",184,"26,4",2,"1,1"
34,Papua,3.482.891,964,941,"97,6",12,"1,2","3,4",193,"20,0",0,"0,0"
Indonesia,,274.859.094,12.612,10.497,"83,2",800,"6,3","2,9",1.230,"9,8",29,"2,4"
No,Provinsi,Jumlah Penduduk,Kasus Terdaftar,,,Provinsi dengan Eliminasi Kusta,,,,,,
,,,PB,MB,PB + MB,Angka Prevalensi Per 10.000 Penduduk,Status Eliminasi,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),,,,,
1,Aceh,5.529.773,28,277,305,"0,55",Eliminasi,,,,,
2,Sumatera Utara,15.107.226,4,155,159,"0,11",Eliminasi,,,,,
3,Sumatera Barat,5.675.357,4,51,55,"0,10",Eliminasi,,,,,
4,Riau,7.181.300,1,99,100,"0,14",Eliminasi,,,,,
5,Jambi,3.677.678,0,41,41,"0,11",Eliminasi,,,,,
6,Sumatera Selatan,8.803.213,20,245,265,"0,30",Eliminasi,,,,,
7,Bengkulu,2.038.146,2,26,28,"0,14",Eliminasi,,,,,
8,Lampung,8.683.167,5,125,130,"0,15",Eliminasi,,,,,
9,Kepulauan Bangka Belitung,1.506.505,5,39,44,"0,29",Eliminasi,,,,,
10,Kepulauan Riau,2.449.422,2,31,33,"0,13",Eliminasi,,,,,
11,DKI Jakarta,10.711.809,30,331,361,"0,34",Eliminasi,,,,,
12,Jawa Barat,50.639.156,124,1.867,1.991,"0,39",Eliminasi,,,,,
13,Jawa Tengah,35.090.378,46,1.244,1.290,"0,37",Eliminasi,,,,,
14,DI Yogyakarta,4.021.816,8,35,43,"0,11",Eliminasi,,,,,
15,Jawa Timur,40.348.441,77,2.326,2.403,"0,60",Eliminasi,,,,,
16,Banten,13.251.533,36,631,667,"0,50",Eliminasi,,,,,
17,Bali,4.518.680,6,116,122,"0,27",Eliminasi,,,,,
18,Nusa Tenggara Barat,5.370.302,17,196,213,"0,40",Eliminasi,,,,,
19,Nusa Tenggara Timur,5.662.948,21,486,507,"0,90",Eliminasi,,,,,
20,Kalimantan Barat,5.220.211,8,94,102,"0,20",Eliminasi,,,,,
21,Kalimantan Tengah,2.757.697,9,77,86,"0,31",Eliminasi,,,,,
22,Kalimantan Selatan,4.370.444,5,148,153,"0,35",Eliminasi,,,,,
23,Kalimantan Timur,3.752.605,17,133,150,"0,40",Eliminasi,,,,,
24,Kalimantan Utara,734.112,2,39,41,"0,56",Eliminasi,,,,,
25,Sulawesi Utara,2.548.338,27,475,502,"1,97",Non Eliminasi,,,,,
26,Sulawesi Tengah,3.159.749,19,290,309,"0,98",Eliminasi,,,,,
27,Sulawesi Selatan,9.022.276,41,708,749,"0,83",Eliminasi,,,,,
28,Sulawesi Tenggara,2.782.882,8,251,259,"0,93",Eliminasi,,,,,
29,Gorontalo,1.205.341,4,143,147,"1,22",Non Eliminasi,,,,,
30,Sulawesi Barat,1.415.130,9,146,155,"1,10",Non Eliminasi,,,,,
31,Maluku,1.823.518,7,392,399,"2,19",Non Eliminasi,,,,,
32,Maluku Utara,1.285.374,52,628,680,"5,29",Non Eliminasi,,,,,
33,Papua Barat,1.031.676,128,682,810,"7,85",Non Eliminasi,,,,,
34,Papua,3.482.891,246,1.276,1.522,"4,37",Non Eliminasi,,,,,
Indonesia,,274.859.094,1.018,13.803,14.821,"0,54",Eliminasi,,,,,
No,Provinsi,Kusta (PB),,Kusta (MB),,,,,,,,
,,Tahun 2021,,Tahun 2020,,,,,,,,
,,Penderita PBa,RFT PB (%),Penderita MBb,RFT MB (%),,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,
1,Aceh,31,"83,78",123,"83,7",,,,,,,
2,Sumatera Utara,8,"100,0",77,"83,7",,,,,,,
3,Sumatera Barat,5,"100,0",40,"93,0",,,,,,,
4,Riau,5,"100,0",62,"77,5",,,,,,,
5,Jambi,5,"100,0",47,"92,2",,,,,,,
6,Sumatera Selatan,16,"88,9",155,"96,3",,,,,,,
7,Bengkulu,2,"100,0",9,"75,0",,,,,,,
8,Lampung,5,"83,3",119,"93,0",,,,,,,
9,Kep. Bangka Belitung,6,"100,0",27,"87,1",,,,,,,
10,Kepulauan Riau,5,"100,0",40,"93,0",,,,,,,
11,DKI Jakarta,35,"100,0",242,"86,4",,,,,,,
12,Jawa Barat,73,"91,3",1.103,"85,3",,,,,,,
13,Jawa Tengah,53,"91,4",921,"91,7",,,,,,,
14,DI Yogyakarta,2,"100,0",19,"79,2",,,,,,,
15,Jawa Timur,96,"99,0",1.592,"91,28",,,,,,,
16,Banten,66,"94,3",460,"91,5",,,,,,,
17,Bali,1,"50,0",28,"87,5",,,,,,,
18,Nusa Tenggara Barat,18,"100,0",169,"85,4",,,,,,,
19,Nusa Tenggara Timur,18,"94,74",162,"86,6",,,,,,,
20,Kalimantan Barat,1,"100,0",23,"92,0",,,,,,,
21,Kalimantan Tengah,4,"100,0",27,"77,1",,,,,,,
22,Kalimantan Selatan,9,"100,0",57,"85,1",,,,,,,
23,Kalimantan Timur,10,"83,3",103,"88,0",,,,,,,
24,Kalimantan Utara,0,-,15,"78,9",,,,,,,
25,Sulawesi Utara,30,"96,8",301,"90,1",,,,,,,
26,Sulawesi Tengah,14,"100,0",178,"96,7",,,,,,,
27,Sulawesi Selatan,72,"97,3",461,"85,5",,,,,,,
28,Sulawesi Tenggara,9,"100,0",161,"89,4",,,,,,,
29,Gorontalo,5,"83,3",98,"94,2",,,,,,,
30,Sulawesi Barat,7,"100,0",106,"91,4",,,,,,,
31,Maluku,9,"75,0",116,"81,7",,,,,,,
32,Maluku Utara,48,"90,6",375,"83,9",,,,,,,
33,Papua Barat,165,"80,1",284,"67,3",,,,,,,
34,Papua,254,"84,1",702,"74,9",,,,,,,
Indonesia,,1.087,"88,5",8.402,"86,3",,,,,,,
