Targe,t: 80%,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bali,35,35,38,42,41,85,85,82,78,79,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,109,110,111,122,142,49,50,55,47,32,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,137,137,151,163,164,234,235,230,239,246,,,,,,,,,,,,,,,,
20,Kalimantan Barat,95,95,118,125,129,143,146,126,121,117,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,73,73,75,88,86,122,123,125,115,119,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,50,50,50,50,52,180,180,183,185,184,,,,,,,,,,,,,,,,
23,Kalimantan Timur,95,96,97,102,98,80,83,86,84,89,,,,,,,,,,,,,,,,
24,Kalimantan Utara,32,32,32,27,22,17,17,24,28,33,,,,,,,,,,,,,,,,
25,Sulawesi Utara,92,92,92,94,95,96,97,101,101,100,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,79,79,84,102,104,110,114,118,104,103,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,227,257,269,301,304,221,194,189,158,157,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,82,81,82,93,91,187,193,202,197,201,,,,,,,,,,,,,,,,
29,Gorontalo,23,26,28,32,26,70,67,65,61,67,,,,,,,,,,,,,,,,
30,Sulawesi Barat,45,45,45,58,60,49,49,49,37,36,,,,,,,,,,,,,,,,
31,Maluku,64,64,64,77,64,135,135,144,132,151,,,,,,,,,,,,,,,,
32,Maluku Utara,27,27,36,45,53,101,102,98,102,94,,,,,,,,,,,,,,,,
33,Papua Barat,44,45,44,44,45,107,110,115,115,116,,,,,,,,,,,,,,,,
34,Papua,105,105,110,115,126,288,289,298,305,302,,,,,,,,,,,,,,,,
Indonesia,,3.411,3.459,3.623,4.048,4.119,6.356,6.366,6.370,6.086,6.086,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Kecamatan,Rasio Puskesmas per Kecamatan,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,,,,,,
1,Aceh,359,289,"1,2",,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,608,450,"1,4",,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,276,179,"1,5",,,,,,,,,,,,,,,,,,,,,,,
4,Riau,231,169,"1,4",,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,207,141,"1,5",,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,343,241,"1,4",,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,129,"1,4",,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,312,228,"1,4",,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,47,"1,4",,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,88,75,"1,2",,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,44,"7,2",,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.083,627,"1,7",,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,576,"1,5",,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,78,"1,6",,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,666,"1,5",,,,,,,,,,,,,,,,,,,,,,,
16,Banten,245,155,"1,6",,,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,57,"2,1",,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,174,117,"1,5",,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,410,309,"1,3",,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,174,"1,4",,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,205,136,"1,5",,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,236,153,"1,5",,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,187,103,"1,8",,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,53,"1,0",,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,171,"1,1",,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,207,175,"1,2",,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,461,311,"1,5",,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,292,219,"1,3",,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,77,"1,2",,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,96,69,"1,4",,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,215,118,"1,8",,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,116,"1,3",,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,161,218,"0,7",,,,,,,,,,,,,,,,,,,,,,,
34,Papua,428,560,"0,8",,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.205,7.230,"1,4",,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Puskesmas Terakreditasi,Jumlah Kabupaten/Kota yang Memiliki Puskesmas Terakreditasi,Persentase Puskesmas Terakreditasi (%),Status Akreditasi Puskesmas,,,,Jumlah Puskesmas Belum Terakreditasi,,,,,,,,,,,,,,,,,
,,,,,,Dasar,Madya,Utama,Paripurna,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,359,333,23,"92,8",100,203,28,2,26,,,,,,,,,,,,,,,,,
2,Sumatera Utara,608,559,33,"91,9",236,293,29,1,49,,,,,,,,,,,,,,,,,
3,Sumatera Barat,276,271,19,"98,2",61,164,41,5,5,,,,,,,,,,,,,,,,,
4,Riau,231,214,12,"92,6",66,120,28,0,17,,,,,,,,,,,,,,,,,
5,Jambi,207,188,11,"90,8",54,112,19,3,19,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,343,333,17,"97,1",90,196,42,5,10,,,,,,,,,,,,,,,,,
7,Bengkulu,179,179,10,"100,0",70,100,9,0,0,,,,,,,,,,,,,,,,,
8,Lampung,312,296,15,"94,9",25,208,59,4,16,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,7,"100,0",8,36,19,1,0,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,88,83,7,"94,3",20,42,20,1,5,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,151,6,"47,9",11,89,20,31,164,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.083,1.028,27,"94,9",179,617,205,27,55,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,873,35,"99,4",97,467,270,39,5,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,5,"100,0",0,43,64,14,0,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,963,38,"99,5",72,530,316,45,5,,,,,,,,,,,,,,,,,
16,Banten,245,231,8,"94,3",44,138,47,2,14,,,,,,,,,,,,,,,,,
17,Bali,120,120,9,"100,0",13,66,31,10,0,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,174,163,10,"93,7",34,94,31,4,11,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,410,367,22,"89,5",166,180,21,0,43,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,230,14,"93,5",68,133,24,5,16,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,205,194,14,"94,6",72,99,21,2,11,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,236,233,13,"98,7",73,125,32,3,3,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,187,182,10,"97,3",36,102,38,6,5,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,55,5,"100,0",21,24,9,1,0,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,169,15,"86,7",76,74,18,1,26,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,207,198,13,"95,7",70,109,19,0,9,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,461,454,24,"98,5",80,235,118,21,7,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,292,263,17,"90,1",94,140,27,2,29,,,,,,,,,,,,,,,,,
29,Gorontalo,93,92,6,"98,9",22,50,17,3,1,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,96,85,6,"88,5",18,54,13,0,11,,,,,,,,,,,,,,,,,
31,Maluku,215,156,11,"72,6",69,77,10,0,59,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,113,10,"76,9",42,64,6,1,34,,,,,,,,,,,,,,,,,
33,Papua Barat,161,72,13,"44,7",35,32,5,0,89,,,,,,,,,,,,,,,,,
34,Papua,428,120,20,"28,0",55,52,13,0,308,,,,,,,,,,,,,,,,,
Indonesia,,10.205,9.153,505,"89,7",2.177,5.068,1.669,239,1052,,,,,,,,,,,,,,,,,
No,Provinsi,2019,,2020,,,,,,,,,,,,,,,,,,,,,,,
,,Jumlah Puskesmas,Jumlah Puskesmas Memiliki 5 Jenis Tenaga Kesehatan Promotif Preventif,Jumlah Puskesmas*),Jumlah Puskesmas Memiliki 5 Jenis Tenaga Kesehatan Promotif Preventif,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,359,163,359,225,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,601,191,609,207,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,172,278,205,,,,,,,,,,,,,,,,,,,,,,
4,Riau,228,95,236,115,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,205,95,206,114,,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,146,343,156,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,56,179,78,,,,,,,,,,,,,,,,,,,,,,
8,Lampung,310,148,314,164,,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,59,64,59,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,36,90,48,,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,43,333,46,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.072,406,1.092,526,,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,613,879,714,,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,102,121,108,,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,437,968,556,,,,,,,,,,,,,,,,,,,,,,
16,Banten,243,80,244,134,,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,45,120,62,,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,110,173,133,,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,179,414,239,,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,133,246,149,,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,80,203,88,,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,163,236,191,,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,89,187,122,,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,30,58,40,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,45,198,71,,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,100,207,123,,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,459,235,463,274,,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,127,292,139,,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,53,93,49,,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,42,97,54,,,,,,,,,,,,,,,,,,,,,,
31,Maluku,209,31,226,75,,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,67,146,65,,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,159,41,164,27,,,,,,,,,,,,,,,,,,,,,,
34,Papua,420,73,413,75,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.134,4.485,10.251,5.431,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,Total Puskesmas,% Memenuhi,,,,,,,,,,,,,,,,,,,,,,
,,Belum Memenuhi,Memenuhi,,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,196,163,359,"54,6",,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,168,441,609,"27,6",,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,190,88,278,"68,3",,,,,,,,,,,,,,,,,,,,,,
4,Riau,100,136,236,"42,4",,,,,,,,,,,,,,,,,,,,,,
5,Jambi,86,120,206,"41,7",,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,100,243,343,"29,2",,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,41,138,179,"22,9",,,,,,,,,,,,,,,,,,,,,,
8,Lampung,83,231,314,"26,4",,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,52,12,64,"81,3",,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,43,47,90,"47,8",,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,46,287,333,"13,8",,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,400,692,1.092,"36,6",,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,621,258,879,"70,6",,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,107,14,121,"88,4",,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,524,444,968,"54,1",,,,,,,,,,,,,,,,,,,,,,
16,Banten,126,118,244,"51,6",,,,,,,,,,,,,,,,,,,,,,
17,Bali,62,58,120,"51,7",,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,95,78,173,"54,9",,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,95,319,414,"22,9",,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,70,176,246,"28,5",,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,42,161,203,"20,7",,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,127,109,236,"53,8",,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,96,91,187,"51,3",,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,28,30,58,"48,3",,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,35,163,198,"17,7",,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,55,152,207,"26,6",,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,241,222,463,"52,1",,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,75,217,292,"25,7",,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,25,68,93,"26,9",,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,42,55,97,"43,3",,,,,,,,,,,,,,,,,,,,,,
31,Maluku,24,202,226,"10,6",,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,25,121,146,"17,1",,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,14,150,164,"8,5",,,,,,,,,,,,,,,,,,,,,,
34,Papua,25,388,413,"6,1",,,,,,,,,,,,,,,,,,,,,,
Indonesia,,4.059,6.192,10.251,"39,6",,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,,Total Puskesmas *),% Tanpa Dokter,,,,,,,,,,,,,,,,,,,,,,
,,Belum Memenuhi,Memenuhi,,,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,4,355,359,"1,1",,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,21,588,609,"3,4",,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,3,275,278,"1,1",,,,,,,,,,,,,,,,,,,,,,
4,Riau,3,233,236,"1,3",,,,,,,,,,,,,,,,,,,,,,
5,Jambi,1,205,206,"0,5",,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,32,311,343,"9,3",,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,10,169,179,"5,6",,,,,,,,,,,,,,,,,,,,,,
8,Lampung,4,310,314,"1,3",,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,0,64,64,"0,0",,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,1,89,90,"1,1",,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,0,333,333,"0,0",,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,7,1.085,1.092,"0,6",,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,0,879,879,"0,0",,,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,0,121,121,"0,0",,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,11,957,968,"1,1",,,,,,,,,,,,,,,,,,,,,,
16,Banten,1,243,244,"0,4",,,,,,,,,,,,,,,,,,,,,,
17,Bali,0,120,120,"0,0",,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,2,171,173,"1,2",,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,96,318,414,"23,2",,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,5,241,246,"2,0",,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,22,181,203,"10,8",,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,12,224,236,"5,1",,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,5,182,187,"2,7",,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,3,55,58,"5,2",,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,6,192,198,"3,0",,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,16,191,207,"7,7",,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,28,435,463,"6,0",,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,53,239,292,"18,2",,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,12,81,93,"12,9",,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,5,92,97,"5,2",,,,,,,,,,,,,,,,,,,,,,
31,Maluku,53,173,226,"23,5",,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,24,122,146,"16,4",,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,69,95,164,"42,1",,,,,,,,,,,,,,,,,,,,,,
34,Papua,199,214,413,"48,2",,,,,,,,,,,,,,,,,,,,,,
Indonesia,,708,9.543,10.251,"6,9",,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Jumlah Puskesmas yang Menyelenggarakan Pelayanan Kesehatan Tradisional,Persentase Puskesmas yang Menyelenggarakan Pelayanan Kesehatan Tradisional,Jumlah Puskesmas dengan Tenaga Kesehatan yang Sudah Dilatih,,,,Puskesmas yang melakukan Pembinaan Penyehat Tradisional (HATTRA),,,,,,,,,,,,,,,,,,
,,,,,Dilatih Ramuan,Dilatih Akupunktur,Dilatih Akupressur,"Asuhan Mandiri (ASMAN), Pemanfaatan TOGA, dan Akrupresur",,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,,,,,,,,,,,
1,Aceh,359,,"0,0",21,2,107,128,305,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,608,,"0,0",44,0,74,21,227,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,276,,"0,0",10,0,88,5,73,,,,,,,,,,,,,,,,,,
4,Riau,231,,"0,0",29,3,111,5,17,,,,,,,,,,,,,,,,,,
5,Jambi,207,,"0,0",17,1,41,,92,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,,"0,0",9,0,72,4,79,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,,"0,0",30,7,96,,50,,,,,,,,,,,,,,,,,,
8,Lampung,312,,"0,0",14,3,81,1,262,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,,"0,0",0,0,32,4,63,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,88,14,"15,9",40,4,58,8,52,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,13,"4,1",22,18,52,25,128,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.083,,"0,0",6,3,73,1,1,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,,"0,0",12,3,89,159,440,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,,"0,0",31,0,31,6,53,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,1,"0,1",38,3,142,154,267,,,,,,,,,,,,,,,,,,
16,Banten,245,,"0,0",1,1,50,22,54,,,,,,,,,,,,,,,,,,
17,Bali,120,52,"43,3",48,2,114,70,117,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,174,,"0,0",26,0,80,32,124,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,410,,"0,0",5,0,73,1,29,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,,"0,0",17,10,196,19,90,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,205,,"0,0",6,5,15,,35,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,236,3,"1,3",23,0,61,152,193,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,187,,"0,0",21,2,25,90,134,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,1,"1,8",9,2,41,11,21,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,,"0,0",22,0,77,2,1,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,207,8,"3,9",10,0,96,36,85,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,461,22,"4,8",10,4,122,142,284,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,292,2,"0,7",26,1,70,70,166,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,,"0,0",18,4,43,13,63,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,96,,"0,0",10,1,29,,,,,,,,,,,,,,,,,,,,
31,Maluku,215,,"0,0",23,1,98,64,111,,,,,,,,,,,,,,,,,,
